
[00:00:00.000 --> 00:00:03.680]  不如我們先有個祈禱開始
[00:00:03.680 --> 00:00:07.800]  天父我們懷著感恩的心去到您面前
[00:00:07.800 --> 00:00:11.440]  天父多謝您給我們一班弟兄姊妹今天聚集
[00:00:11.440 --> 00:00:13.280]  天氣縱然不好
[00:00:13.280 --> 00:00:17.280]  但是天父我們感謝您給我們有機會
[00:00:17.280 --> 00:00:18.320]  無論天氣如何
[00:00:18.320 --> 00:00:20.720]  我們仍然可以在一個很舒適的環境
[00:00:20.720 --> 00:00:23.200]  我們去敬拜您 讚美您
[00:00:23.200 --> 00:00:25.880]  求您帶領以下時間 祝福以下時間
[00:00:25.880 --> 00:00:28.800]  讓您的說話成為弟兄姊妹的幫助
[00:00:28.800 --> 00:00:30.800]  多謝您我們獻上禱告
[00:00:30.800 --> 00:00:34.360]  奉耶穌基督的名 阿彌陀佛
[00:00:58.800 --> 00:01:00.560]  哇 很吸引
[00:01:00.560 --> 00:01:02.880]  今天對不起 都是說敬拜生活
[00:01:02.880 --> 00:01:07.080]  但是當我仔細再去看今天那段經文的時候
[00:01:07.080 --> 00:01:09.920]  我會覺得其實都很多提醒
[00:01:09.920 --> 00:01:11.200]  對自己也是
[00:01:11.200 --> 00:01:13.600]  今天分享的經文是什麼呢
[00:01:13.600 --> 00:01:15.880]  大家看到了 就是《生命記》
[00:01:15.880 --> 00:01:17.240]  十二至十六章
[00:01:17.240 --> 00:01:18.600]  嘩 這麼厲害的
[00:01:18.600 --> 00:01:21.320]  講到可以講十二 十三 十四 十五 十六
[00:01:21.320 --> 00:01:23.440]  五章聖經 講到
[00:01:23.440 --> 00:01:26.800]  其實這次是一個叫做蓋籃
[00:01:26.800 --> 00:01:29.040]  在接下來一個月的時間
[00:01:29.040 --> 00:01:31.400]  恭喜大家 都會是這個題目
[00:01:31.400 --> 00:01:34.200]  不過就由其他的目者去分享
[00:01:34.200 --> 00:01:37.960]  今天我是以一個蓋籃的形式去講這段聖經
[00:01:37.960 --> 00:01:40.680]  究竟第十二至十六章講什麼呢
[00:01:40.680 --> 00:01:44.320]  我們可以繼續看看PowerPoint
[00:01:44.320 --> 00:01:48.840]  大家看到了 十二至十六章講很多東西
[00:01:48.840 --> 00:01:52.480]  分別講獻祭 講拜偶像的懲罰
[00:01:52.480 --> 00:01:54.480]  講食物 講奉獻
[00:01:54.480 --> 00:01:57.240]  講一些奴僕 講節旗
[00:01:57.240 --> 00:01:59.240]  那跟敬拜有什麼關係呢
[00:01:59.240 --> 00:02:00.680]  甚至你猜一猜
[00:02:00.680 --> 00:02:02.360]  在這麼多章聖經裡面
[00:02:02.360 --> 00:02:04.360]  有沒有敬拜兩個字出現呢
[00:02:04.360 --> 00:02:06.360]  我看到有人回答
[00:02:06.360 --> 00:02:09.160]  沒錯 我問大家是沒有的
[00:02:09.160 --> 00:02:12.000]  這麼多章聖經連敬拜兩個字都沒有出現
[00:02:12.000 --> 00:02:13.480]  那麼這麼多章聖經為什麼
[00:02:13.480 --> 00:02:18.640]  今天的講道會定為敬拜的題目呢
[00:02:18.640 --> 00:02:21.760]  其實當我再細心一點去想的時候
[00:02:21.760 --> 00:02:27.360]  這些經文其實就是正正在講當時候人的一些日常生活的事
[00:02:27.360 --> 00:02:28.360]  那我就明白了
[00:02:28.360 --> 00:02:33.240]  其實敬拜不是只是剛才可能唱詩那幾十分鐘
[00:02:33.240 --> 00:02:36.320]  不是只是說回教會那幾個小時
