
[00:00:00.000 --> 00:00:02.000]  各位靜靜平安
[00:00:02.000 --> 00:00:04.000]  我們先一起祈禱
[00:00:04.000 --> 00:00:06.000]  我們同心在仰望著
[00:00:06.000 --> 00:00:12.000]  我們所侍奉
[00:00:12.000 --> 00:00:14.000]  我們所跟隨的主
[00:00:14.000 --> 00:00:18.000]  你以後恩代你的子民
[00:00:18.000 --> 00:00:20.000]  你以你自己的恩典
[00:00:20.000 --> 00:00:22.000]  作為連帥的冠冕
[00:00:22.000 --> 00:00:24.000]  每一天賜下你的引導
[00:00:24.000 --> 00:00:26.000]  你的幫助 你的保守
[00:00:26.000 --> 00:00:30.000]  今天你的子民到你面前來
[00:00:30.000 --> 00:00:32.000]  一同來敬拜你
[00:00:32.000 --> 00:00:34.000]  主啊 月額我們的敬拜
[00:00:34.000 --> 00:00:36.000]  有賜下你自己的恩怨
[00:00:36.000 --> 00:00:40.000]  主啊 你的說話是靈 是生命
[00:00:40.000 --> 00:00:44.000]  求你常常將天上的糧食賜給我們
[00:00:44.000 --> 00:00:46.000]  讓我們因為你的道
[00:00:46.000 --> 00:00:48.000]  我們生命得到飽足
[00:00:48.000 --> 00:00:52.000]  因為你自己 我們常常滿足
[00:00:52.000 --> 00:00:56.000]  求主施恩在這段時間你賜下你的聖靈
[00:00:56.000 --> 00:01:00.000]  引導我們進入你的真理
[00:01:00.000 --> 00:01:02.000]  我們仰望祈禱
[00:01:02.000 --> 00:01:06.000]  奉耶穌基督 聖名求 阿們
[00:01:06.000 --> 00:01:08.000]  大家知道我們今天
[00:01:08.000 --> 00:01:12.000]  會一直思想到聖經第十誡當中
[00:01:12.000 --> 00:01:14.000]  第八誡不可偷渡
[00:01:14.000 --> 00:01:18.000]  我想回一件事情想和大家先分享
[00:01:18.000 --> 00:01:20.000]  都是很多年前的事情
[00:01:20.000 --> 00:01:24.000]  很多年前我自己去到加拿大那邊讀神學
[00:01:24.000 --> 00:01:26.000]  一個經歷
[00:01:26.000 --> 00:01:29.000]  在那次我們因為和太太兩個去讀書
[00:01:29.000 --> 00:01:32.000]  我們的經濟情況都有點緊張
[00:01:32.000 --> 00:01:37.000]  所以去到當地都不敢隨便買什麼物品
[00:01:37.000 --> 00:01:40.000]  有一次我記得在學校裡面一個壁布板
[00:01:40.000 --> 00:01:42.000]  就見到一張張貼
[00:01:42.000 --> 00:01:44.000]  一位同學他快畢業了
[00:01:44.000 --> 00:01:46.000]  要搬離開那個城市
[00:01:46.000 --> 00:01:50.000]  把他的物品全部列出來
[00:01:50.000 --> 00:01:52.000]  一張清單
[00:01:52.000 --> 00:01:55.000]  然後就告訴同學誰需要隨便和他聯絡
[00:01:55.000 --> 00:01:57.000]  會送給大家
[00:01:57.000 --> 00:01:59.000]  我一邊看清單一邊看一看
[00:01:59.000 --> 00:02:02.000]  哦 電燙豆
[00:02:02.000 --> 00:02:06.000]  我說對了 我正需要也不可以買
[00:02:06.000 --> 00:02:08.000]  我就聯絡他
[00:02:08.000 --> 00:02:10.000]  他說我們都沒見過面
[00:02:10.000 --> 00:02:12.000]  怎麼可以找到你
[00:02:12.000 --> 00:02:14.000]  他說這樣吧
[00:02:14.000 --> 00:02:17.000]  學校的圖書館當時圖書館都很小
[00:02:17.000 --> 00:02:20.000]  你看到桌邊有一個電燙豆放在那裡
[00:02:20.000 --> 00:02:23.000]  你就知道是我了
[00:02:23.000 --> 00:02:27.000]  我都從未試過憑燙豆認人
[00:02:27.000 --> 00:02:31.000]  到時候我就真的去到圖書館周圍去看
[00:02:31.000 --> 00:02:33.000]  發覺有一位同學他在讀書
[00:02:33.000 --> 00:02:37.000]  在他前面有一個燙豆放在他的眼前
[00:02:37.000 --> 00:02:39.000]  我就走過去跟他說
[00:02:39.000 --> 00:02:40.000]  是不是你呀
[00:02:40.000 --> 00:02:42.000]  他說是呀
[00:02:42.000 --> 00:02:45.000]  然後把燙豆給我
[00:02:45.000 --> 00:02:48.000]  我拿到燙豆的時候一方面很感恩
[00:02:48.000 --> 00:02:51.000]  但另一方面也覺得人家都是學生
[00:02:51.000 --> 00:02:54.000]  都不可以隨便拿別人的東西
[00:02:54.000 --> 00:02:58.000]  我就說不如你當二手貨品賣給我吧
[00:02:58.000 --> 00:03:00.000]  我很想可以給錢
[00:03:00.000 --> 00:03:02.000]  他一直說
[00:03:02.000 --> 00:03:05.000]  他說不用不用 我很夠了
[00:03:05.000 --> 00:03:07.000]  我足夠了
[00:03:07.000 --> 00:03:08.000]  然後他再說
[00:03:08.000 --> 00:03:10.000]  我一定不可以賣給你
[00:03:10.000 --> 00:03:13.000]  因為燙豆也不是我的
[00:03:13.000 --> 00:03:16.000]  在另一位同學畢業的時候
[00:03:16.000 --> 00:03:18.000]  也是這樣送給其他同學
[00:03:18.000 --> 00:03:20.000]  他說現在到我畢業了
[00:03:20.000 --> 00:03:24.000]  我很想按他的美德
[00:03:24.000 --> 00:03:28.000]  一直延續地送出去
[00:03:28.000 --> 00:03:31.000]  那次我帶著燙豆很開心地離開
[00:03:31.000 --> 00:03:33.000]  但我有很多的學習
[00:03:33.000 --> 00:03:35.000]  我體會到一個人
