
[00:00:00.000 --> 00:00:04.000]  今日我會和大家繼續講
[00:00:04.000 --> 00:00:08.000]  這個尼加書的下半卷書
[00:00:08.000 --> 00:00:12.000]  就是四至七章
[00:00:12.000 --> 00:00:18.000]  尼加書下半卷書是講什麼的呢?
[00:00:18.000 --> 00:00:23.000]  當然很直接講就是尼加書的下半卷書是承接
[00:00:23.000 --> 00:00:27.000]  尼加書的上半卷書是繼續講下去
[00:00:27.000 --> 00:00:33.000]  這次是講當時的猶大人猶大的百姓
[00:00:33.000 --> 00:00:36.000]  其實當我們這樣講的時候
[00:00:36.000 --> 00:00:39.000]  我們可以將我們自己現今的信徒
[00:00:39.000 --> 00:00:41.000]  我們自己代入去
[00:00:41.000 --> 00:00:43.000]  就是講當時猶大的百姓
[00:00:43.000 --> 00:00:47.000]  他們應該怎樣去回應神的救恩計劃
[00:00:47.000 --> 00:00:52.000]  怎樣去回應神的救恩
[00:00:52.000 --> 00:00:56.000]  這個也是我們今天想和大家一起去學的功課
[00:00:57.000 --> 00:01:01.000]  我們應該怎樣去回應神的救恩
[00:01:01.000 --> 00:01:07.000]  我是指我們應該怎樣去活出神給我們的救恩
[00:01:07.000 --> 00:01:15.000]  我會先和大家溫習一下
[00:01:15.000 --> 00:01:18.000]  我上次講的上半卷書
[00:01:18.000 --> 00:01:20.000]  就是一二三章裏面
[00:01:20.000 --> 00:01:22.000]  我講了些什麼
[00:01:22.000 --> 00:01:24.000]  大家就會較容易明白
[00:01:24.000 --> 00:01:27.000]  我今天繼續講下去的訊息
[00:01:27.000 --> 00:01:33.000]  上次我的講題叫做無法醫治的傷痕
[00:01:33.000 --> 00:01:35.000]  我想都還有些印象
[00:01:35.000 --> 00:01:37.000]  講什麼可能不記得
[00:01:37.000 --> 00:01:39.000]  但這個題目是特別的
[00:01:39.000 --> 00:01:42.000]  無法醫治的傷痕
[00:01:42.000 --> 00:01:46.000]  傷痕這個字可以其中一個解釋
[00:01:46.000 --> 00:01:48.000]  可以解釋做傷或者傷口
[00:01:48.000 --> 00:01:50.000]  我的解釋就是說
[00:01:50.000 --> 00:01:54.000]  不是那個傷口本身無法醫治
[00:01:54.000 --> 00:01:58.000]  而是受傷的人對那個傷口毫不理會
[00:01:58.000 --> 00:02:01.000]  他不去清洗、不消毒、不包紮
[00:02:01.000 --> 00:02:04.000]  任由傷口越爛越大
[00:02:04.000 --> 00:02:07.000]  爛到無可救治
[00:02:07.000 --> 00:02:14.000]  傷痕這個傷口可以比喻為犯罪
[00:02:14.000 --> 00:02:17.000]  無法醫治的傷痕
[00:02:17.000 --> 00:02:21.000]  可以比喻為無法赦免的罪
[00:02:21.000 --> 00:02:23.000]  無法赦免的罪
[00:02:23.000 --> 00:02:26.000]  不是那個罪本身無法赦免
[00:02:26.000 --> 00:02:30.000]  而是犯罪的人對那個罪毫不理會
[00:02:30.000 --> 00:02:36.000]  不知錯、不悔改、不肯接受神的勸告
