
[00:00:00.000 --> 00:00:03.260]  大型節目很高興能夠和大家分享聖經神的話語
[00:00:03.260 --> 00:00:09.520]  今天和大家講的題目是人說我人子至遂
[00:00:09.520 --> 00:00:17.260]  大型節目主人蘇基督是很關心那些人怎麼看他的
[00:00:17.260 --> 00:00:21.260]  你關不關心人怎麼看你?你關不關心?
[00:00:21.260 --> 00:00:25.240]  我想每一個人都很關心人怎麼看自己
[00:00:25.960 --> 00:00:35.520]  我最近真的有些美麗的誤會令到有人誤會了我
[00:00:35.520 --> 00:00:40.400]  你猜我緊不緊張這些東西?
[00:00:40.400 --> 00:00:44.960]  我真的不是很緊張,我真的不是太緊張
[00:00:44.960 --> 00:00:47.880]  但為什麼主人蘇這麼緊張呢?
[00:00:47.880 --> 00:00:51.600]  主人蘇為什麼這麼緊張人怎麼看他呢?
[00:00:51.600 --> 00:00:55.200]  不可以說嗎?不可以批評嗎?
[00:00:56.200 --> 00:00:59.400]  不可以背後被人批評嗎?不是啊
[00:00:59.400 --> 00:01:04.680]  因為你怎麼看他是關乎於你,不是關乎於他
[00:01:04.680 --> 00:01:07.040]  大家明白我說什麼嗎?
[00:01:07.040 --> 00:01:16.800]  你怎麼看耶穌就關乎於你的永恆將會在哪裡
[00:01:16.800 --> 00:01:24.240]  所以我很喜歡這個訊息
[00:01:25.680 --> 00:01:30.800]  我很喜歡,我在加拿大的時候我已經講過這篇道理
[00:01:30.800 --> 00:01:37.400]  在香港也講過,但今天我再講
[00:01:37.400 --> 00:01:43.040]  原因就是我真的很喜歡今天跟大家分享的這個訊息
[00:01:43.040 --> 00:01:47.920]  因為它是集中在耶穌基督的身上
[00:01:47.920 --> 00:01:55.000]  我首先開場的時候,其實我也不知道我應該怎麼開始
[00:01:55.800 --> 00:01:58.600]  因為實在有很多東西想跟大家分享
[00:01:58.600 --> 00:02:00.600]  我也不知道今天講不講得完
[00:02:00.600 --> 00:02:05.680]  幫我打這個筆記,大家看看你拿筆記出來有多少版
[00:02:05.680 --> 00:02:13.000]  多少版,如果以我自己就算說自己是烏龜也好
[00:02:13.000 --> 00:02:16.000]  我的龜速講道法
[00:02:16.000 --> 00:02:19.440]  這篇可以講大約十篇,行不行?
[00:02:19.440 --> 00:02:22.440]  行不行?行的,原來你在這裡
[00:02:23.640 --> 00:02:27.640]  可以講十篇,但我有個想法,不會
[00:02:27.640 --> 00:02:32.440]  我這次,本來我決定講一次
