
[00:00:00.000 --> 00:00:02.160]  各位電影師妹 主內平安
[00:00:02.160 --> 00:00:04.800]  感謝神 今天可以跟大家一起
[00:00:04.800 --> 00:00:07.520]  去查考新聞記第八章
[00:00:07.520 --> 00:00:09.880]  我給這個訊息的題目
[00:00:09.880 --> 00:00:14.520]  叫做「磨練與考驗」
[00:00:14.520 --> 00:00:16.960]  磨練和考驗
[00:00:16.960 --> 00:00:18.440]  不知道大家喜不喜歡呢
[00:00:18.440 --> 00:00:24.360]  我想大部分的人都是免得就免了
[00:00:24.360 --> 00:00:28.720]  但是 無論你喜不喜歡
[00:00:28.720 --> 00:00:32.680]  磨練和考驗是客觀存在的
[00:00:32.680 --> 00:00:36.920]  每個人都會經歷過生老病死
[00:00:36.920 --> 00:00:38.200]  天災人禍
[00:00:38.200 --> 00:00:43.480]  包括現在全球的新冠肺炎
[00:00:43.480 --> 00:00:47.480]  這些都是我們的磨練和考驗
[00:00:47.480 --> 00:00:52.920]  有沒有想過我們為何會有磨練和考驗呢
[00:00:52.920 --> 00:00:56.560]  當這些磨練和考驗來到的時候
[00:00:56.560 --> 00:00:59.320]  我們應該怎樣去面對呢
[00:00:59.320 --> 00:01:04.280]  這是我們今天一起探討的問題
[00:01:04.280 --> 00:01:10.720]  這張照片是巴勒斯坦其中一個礦業的照片
[00:01:10.720 --> 00:01:15.800]  在這些地方最少有六十萬的以色列人
[00:01:15.800 --> 00:01:22.000]  曾經在這裡生活過四十年
[00:01:22.000 --> 00:01:28.120]  在這裡礦業 水、食物都很缺乏
[00:01:28.120 --> 00:01:33.880]  在這裡 這些以色列人經歷了很多挑戰和困難
[00:01:33.880 --> 00:01:37.560]  在《生命記》第八章
[00:01:37.560 --> 00:01:42.920]  神就說這些是對他們的磨練和考驗
[00:01:42.920 --> 00:01:45.400]  為何神要這樣對待他們呢
[00:01:45.400 --> 00:01:47.720]  在今天的訊息裡
[00:01:47.720 --> 00:01:52.440]  求神幫助我們明白這個問題的答案
[00:01:52.440 --> 00:01:55.640]  讓我們能夠多一點知道
[00:01:55.640 --> 00:02:01.280]  怎樣去面對在我們人生路途上的磨練和考驗
[00:02:01.280 --> 00:02:05.280]  讓我們一起祈禱
[00:02:05.280 --> 00:02:09.040]  至愛父神 感謝祢賜下寶貴的話語
