
[00:00:00.000 --> 00:00:01.800]  兄弟姐妹,平安!
[00:00:01.800 --> 00:00:05.520]  眨眼又來到新一日,又看多一集《聖經》了
[00:00:05.520 --> 00:00:10.840]  《生命說》和大家看《聖經》人士看背後上帝奇妙的
[00:00:10.840 --> 00:00:12.720]  昨天的題目來的
[00:00:12.720 --> 00:00:16.040]  今天這個題目是我作的,不是《聖經》的
[00:00:16.040 --> 00:00:17.360]  這個題目是我作的
[00:00:17.360 --> 00:00:19.320]  你講人壞話
[00:00:19.320 --> 00:00:21.960]  是呀,是我的感覺
[00:00:21.960 --> 00:00:25.560]  參孫的爸爸馬羅亞呢
[00:00:25.560 --> 00:00:28.480]  馬羅亞真的弱一點
[00:00:28.480 --> 00:00:31.440]  他是比較愚鈍一點
[00:00:31.440 --> 00:00:33.800]  屬靈上,他真的愚鈍一點
[00:00:33.800 --> 00:00:38.200]  反而他的妻子,可惜沒有他的名字
[00:00:38.200 --> 00:00:41.640]  他的妻子屬靈上,敏銳很多
[00:00:41.640 --> 00:00:45.520]  看看他們的對答,比對一下
[00:00:45.520 --> 00:00:49.520]  馬羅亞好像屬靈上,可能他人很聰明
[00:00:49.520 --> 00:00:53.440]  不過屬靈上,這次他又真的比較慢一點
[00:00:53.440 --> 00:00:55.680]  Slow一點,愚鈍一點
[00:00:55.680 --> 00:00:58.360]  應該慢一點,Slow一點
[00:00:58.360 --> 00:01:00.120]  有很多時候都說
[00:01:00.120 --> 00:01:02.680]  這件事我未能夠明白
[00:01:02.680 --> 00:01:04.320]  可能這件事我可以Slow一點
[00:01:04.320 --> 00:01:06.840]  譬如你講數學給我聽
[00:01:06.840 --> 00:01:09.280]  我真的Slow一點,我Very Slow
[00:01:09.280 --> 00:01:12.680]  在數學上我是非常愚鈍的
[00:01:12.680 --> 00:01:15.560]  吃東西我真的敏銳很多
[00:01:15.560 --> 00:01:18.720]  愚鈍一點,敏銳一點,每個人不同的
[00:01:18.720 --> 00:01:20.960]  不過在這件事見到馬羅亞
[00:01:20.960 --> 00:01:24.000]  在屬靈上沒有那麼好反應的
[00:01:24.000 --> 00:01:25.600]  沒有那麼快
[00:01:25.600 --> 00:01:34.200]  史詩記十三章十九節,馬羅亞將一隻山羊羔掃祭獻給耶和華
[00:01:34.200 --> 00:01:41.440]  耶和華的使者就在其中期間給馬羅亞和他的妻子觀寒
[00:01:41.440 --> 00:01:44.360]  火焰在壇上升起的時候
[00:01:44.360 --> 00:01:47.080]  耶和華的使者,他們認為是神人
[00:01:47.080 --> 00:01:50.120]  忽然間在火裏面,你沒事,為甚麼在火裏面
[00:01:50.120 --> 00:01:53.120]  跟著他跟火一起升上去
[00:01:53.120 --> 00:01:56.000]  沒有燒傷,沒有很痛
[00:01:56.000 --> 00:02:00.000]  於是他們就知道,原來是神啊
