
[00:00:00.000 --> 00:00:05.000]  在復活節的主日 向各位問安 祝你平安
[00:00:05.000 --> 00:00:09.000]  願意我們帶著一份感恩 謝喜樂的心
[00:00:09.000 --> 00:00:13.000]  讓上帝的說話成為我們的鼓勵 我們同心的禱告
[00:00:13.000 --> 00:00:18.000]  在復活節的主日 我們去回望我們走過的信仰路
[00:00:18.000 --> 00:00:23.000]  在上帝你的恩典 白白的恩典 讓我們今天有這份福氣
[00:00:23.000 --> 00:00:26.000]  帶著一份謝喜樂 讚頌的心
[00:00:26.000 --> 00:00:30.000]  願上帝你的話語 成為我們的激勵 以致無論講的
[00:00:30.000 --> 00:00:35.000]  聽的也同為蒙福 聽我們的禱告 奉教的救主 耶穌基督
[00:00:35.000 --> 00:00:38.000]  寶貴聖名去求 阿們
[00:00:38.000 --> 00:00:41.000]  大家身體上有沒有留下一些記號呢?
[00:00:41.000 --> 00:00:44.000]  我二十多歲的時候 做了一個手術
[00:00:44.000 --> 00:00:47.000]  所以這個禱福 現在仍然有一個包含在這裡
[00:00:47.000 --> 00:00:51.000]  記得那時候 醫生帶著一些很大的歉意 很鄭重地跟我說
[00:00:51.000 --> 00:00:57.000]  他說 因為有實際的需要 他要打直幫我開這個傷口 不可以打橫
[00:00:57.000 --> 00:01:00.000]  一方面 癒合需要比較多的時間
[00:01:00.000 --> 00:01:04.000]  他更加著意的是 見我當時也是二十多歲的年輕人
[00:01:04.000 --> 00:01:09.000]  如果我會穿一些露出肚腹的服飾 可能就遮不到包含
[00:01:09.000 --> 00:01:13.000]  他怕我介意 好像身體留下了一點點瑕疵
[00:01:13.000 --> 00:01:21.000]  同樣 在肚子上的包含 對一個開刀 生孩子的媽媽來說
[00:01:21.000 --> 00:01:24.000]  相信有著完全不一樣的意義
[00:01:24.000 --> 00:01:28.000]  她絕對不會看來這是一個瑕疵 一個羞辱
[00:01:28.000 --> 00:01:33.000]  是一個美麗 偉大 愛的印記
[00:01:33.000 --> 00:01:37.000]  今天是復活節主日 主耶穌復活升天之前
[00:01:37.000 --> 00:01:40.000]  曾經向很多人去顯現
