
[00:00:00.000 --> 00:00:03.880]  這本書的作者提醒我們作為領袖有三件事
[00:00:03.880 --> 00:00:05.520]  這三件事我上一次提過
[00:00:05.520 --> 00:00:07.880]  我今天只是提一提的標題
[00:00:07.880 --> 00:00:09.480]  第一就是我們作為領袖
[00:00:09.480 --> 00:00:14.280]  我們要時刻反省我們自己的生活方式
[00:00:14.280 --> 00:00:19.360]  是否有一些地方值得別人去效法
[00:00:19.360 --> 00:00:22.640]  以致到今天我們要反省我們自己
[00:00:22.640 --> 00:00:24.520]  究竟我們有沒有一些生活方式
[00:00:24.520 --> 00:00:26.040]  當我們讀聖經的時候
[00:00:26.040 --> 00:00:28.240]  我們看著這些雲彩
[00:00:28.240 --> 00:00:30.680]  看著舊約的信心偉人
[00:00:30.680 --> 00:00:34.880]  我們看著阿寶加罕 摩西 約書夏這班偉人
[00:00:34.880 --> 00:00:38.360]  究竟他們的信心是否成為了我們的榜樣
[00:00:38.360 --> 00:00:40.480]  就算我們不說舊約的信心偉人
[00:00:40.480 --> 00:00:43.280]  我們看回我們自己某些的前輩
[00:00:43.280 --> 00:00:44.920]  包括我自己的一些前輩
[00:00:44.920 --> 00:00:48.640]  包括中國內地會一個創辦人達德森醫生
[00:00:48.640 --> 00:00:52.080]  當他自己面對信心上的功課的時候
[00:00:52.080 --> 00:00:56.520]  他自己願意離開自己一個很舒服的環境
[00:00:56.520 --> 00:00:58.240]  走去中國的內地
[00:00:58.240 --> 00:01:00.600]  建立了一個中國內地會
[00:01:00.600 --> 00:01:03.240]  他在樓邊他能夠可以穿中國衣服
[00:01:03.240 --> 00:01:05.080]  學中國話 吃中國東西
[00:01:05.080 --> 00:01:08.080]  以致希望中國人能夠得到福音
[00:01:08.080 --> 00:01:10.360]  同樣沒有說到百多年前
[00:01:10.360 --> 00:01:11.120]  說到幾十年前
[00:01:11.120 --> 00:01:13.040]  當我自己離開加拿大
[00:01:13.040 --> 00:01:16.360]  最後兩個月住在一對宣教士的夫婦
[00:01:16.360 --> 00:01:19.080]  我看著這對夫婦他們對中國人的心
[00:01:19.080 --> 00:01:21.880]  他自己的女兒 兩個女兒死在中國
[00:01:21.880 --> 00:01:24.560]  但他仍然都是很愛中國
[00:01:24.560 --> 00:01:26.440]  他仍然都是為中國祈禱
[00:01:26.440 --> 00:01:29.760]  他仍然在中國服侍了差不多四十年的時間
[00:01:29.760 --> 00:01:34.240]  他是無悔將自己的生命交給我們中國人
[00:01:34.240 --> 00:01:36.520]  甚至很簡單的
[00:01:36.520 --> 00:01:41.440]  他對太太的那份愛 那份的心
[00:01:41.440 --> 00:01:43.960]  由早上六點開始服侍太太
[00:01:43.960 --> 00:01:45.600]  服侍到晚上睡覺
[00:01:45.600 --> 00:01:47.440]  因為他太太不可以做任何事情
[00:01:47.440 --> 00:01:49.200]  他太太已經沒有記憶力
[00:01:49.200 --> 00:01:53.000]  但他仍然每一天如是者去服侍他太太
[00:01:53.000 --> 00:01:56.400]  那份的愛 那份很細微的那種愛
