
[00:00:00.000 --> 00:00:05.640]  今天早上的訊息是我星期五有感而發臨時改寫的
[00:00:05.640 --> 00:00:09.920]  今天早上的訊息是我星期五臨時寫的
[00:00:09.920 --> 00:00:11.840]  由有感而發所寫的
[00:00:11.840 --> 00:00:17.560]  我希望嘗試回應現時香港的處境
[00:00:17.560 --> 00:00:21.160]  我希望嘗試去回應香港現在的處境
[00:00:21.160 --> 00:00:26.360]  我想明白到很多頂尖會過去這段時間出現
[00:00:26.360 --> 00:00:29.200]  或者過去這幾個月出現的社會動亂
[00:00:29.200 --> 00:00:34.240]  我們明白弟兄姊妹過去這幾個月出現的社會動亂
[00:00:34.240 --> 00:00:35.960]  大家心裏都很難受
[00:00:35.960 --> 00:00:37.560]  大家心裏都很難受
[00:00:37.560 --> 00:00:39.560]  很沮喪
[00:00:39.560 --> 00:00:43.760]  每天從新聞看到我們很多不想見到的畫面
[00:00:43.760 --> 00:00:46.840]  每天從新聞看到我們很多不想看見的畫面
[00:00:46.840 --> 00:00:48.120]  流了不少的眼淚
[00:00:48.120 --> 00:00:49.760]  流了不少的眼淚
[00:00:49.760 --> 00:00:52.440]  很多個晚上難以入睡
[00:00:52.440 --> 00:00:54.440]  很多個晚上難以入睡
[00:00:54.440 --> 00:00:58.360]  很多個禱告彷彿對著空氣得不到回應
[00:00:58.360 --> 00:01:01.360]  很多個禱告彷彿對著空氣得不到回應
[00:01:01.360 --> 00:01:06.560]  我們的經歷是經歷了很多次的盼望、失望
[00:01:06.560 --> 00:01:09.240]  我們的經歷是經歷了很多次的盼望、失望
[00:01:09.240 --> 00:01:10.840]  無奈無助
[00:01:10.840 --> 00:01:11.880]  無奈無助
[00:01:11.880 --> 00:01:12.880]  甚至是絕望
[00:01:12.880 --> 00:01:14.160]  甚至是絕望
[00:01:14.160 --> 00:01:16.600]  如同詩人的說話
[00:01:16.600 --> 00:01:18.600]  如同詩人的說話
[00:01:25.600 --> 00:01:28.600]  上主啊,您忘記我們要到幾時呢?
[00:01:28.600 --> 00:01:30.600]  上主啊,您忘記我們要到幾時呢?
[00:01:30.600 --> 00:01:31.600]  要到永遠嗎?
[00:01:31.600 --> 00:01:32.600]  要到永遠嗎?
[00:01:32.600 --> 00:01:34.600]  您掩面不顧我們要到幾時呢?
[00:01:34.600 --> 00:01:36.600]  您掩面不顧我們要到幾時呢?
[00:01:36.600 --> 00:01:38.600]  如果我們改寫這篇圖文
