
[00:00:00.000 --> 00:00:04.000]  由我們一起禱告
[00:00:04.000 --> 00:00:07.000]  讚美主時常對我們講說話
[00:00:07.000 --> 00:00:10.000]  讚美祢的話是我們腳前的燈
[00:00:10.000 --> 00:00:12.000]  是我們路上的光
[00:00:12.000 --> 00:00:14.000]  願主得著榮耀稱讚
[00:00:14.000 --> 00:00:16.000]  多謝祢的救贖
[00:00:16.000 --> 00:00:18.000]  讚美祢自己無所不能
[00:00:18.000 --> 00:00:21.000]  無所不在、無所不知
[00:00:21.000 --> 00:00:24.000]  祢自己充滿整個世界
[00:00:24.000 --> 00:00:27.000]  祢用祢的權能托住萬有
[00:00:27.000 --> 00:00:30.000]  讚美耶穌
[00:00:30.000 --> 00:00:31.000]  這個時間我們記得
[00:00:31.000 --> 00:00:33.000]  祢曾經來到這個世界
[00:00:33.000 --> 00:00:35.000]  為我們降生
[00:00:35.000 --> 00:00:38.000]  為我們受苦
[00:00:38.000 --> 00:00:40.000]  主我們再看到經文
[00:00:40.000 --> 00:00:42.000]  見到祢受浸
[00:00:42.000 --> 00:00:44.000]  其實祢不需要受浸
[00:00:44.000 --> 00:00:47.000]  不過祢就和我們人一樣
[00:00:47.000 --> 00:00:50.000]  走相同的路受浸
[00:00:50.000 --> 00:00:52.000]  見到三一上主
[00:00:52.000 --> 00:00:55.000]  在這件事上同時顯現
[00:00:55.000 --> 00:00:57.000]  給了我們一個提示
[00:00:57.000 --> 00:00:59.000]  來開始工作
[00:00:59.000 --> 00:01:01.000]  多謝祢的工作
[00:01:01.000 --> 00:01:04.000]  多謝祢救贖的偉大功勞
[00:01:04.000 --> 00:01:06.000]  讓我們被稱為義人
[00:01:06.000 --> 00:01:08.000]  白白的稱義
[00:01:08.000 --> 00:01:10.000]  這個恩信稱義的道理
[00:01:10.000 --> 00:01:12.000]  是表明了我們無能為力
[00:01:12.000 --> 00:01:16.000]  而是祢自己完全的救贖與大能
[00:01:16.000 --> 00:01:18.000]  讚美祢的工作
[00:01:18.000 --> 00:01:20.000]  願祢得著榮耀稱讚
[00:01:20.000 --> 00:01:22.000]  國道權兵榮耀
[00:01:22.000 --> 00:01:23.000]  全是祢的
[00:01:23.000 --> 00:01:25.000]  直到永遠 阿們
[00:01:53.000 --> 00:01:55.000]  這是九個角度
[00:01:55.000 --> 00:01:57.000]  在主耶穌進一步認識祂
[00:02:23.000 --> 00:02:25.000]  我所喜悅的
[00:02:25.000 --> 00:02:27.000]  大家如果有留意
[00:02:27.000 --> 00:02:29.000]  昨天第八講
[00:02:29.000 --> 00:02:31.000]  是去到「你是誰?」
[00:02:31.000 --> 00:02:33.000]  主耶穌說你是哪位?
[00:02:33.000 --> 00:02:35.000]  昨天我們看了
[00:02:35.000 --> 00:02:39.000]  主耶穌是上帝的同在
[00:02:39.000 --> 00:02:41.000]  Emmanuel
[00:02:41.000 --> 00:02:43.000]  大家看了
[00:02:43.000 --> 00:02:47.000]  今天開始一個新的段落題目
[00:02:47.000 --> 00:02:51.000]  主耶穌生平的重要事件
[00:02:51.000 --> 00:02:53.000]  其中一個重要事件當然
[00:02:53.000 --> 00:02:55.000]  你不說祂出生
[00:02:55.000 --> 00:02:57.000]  出生固然是重要
[00:02:57.000 --> 00:02:59.000]  不過你剛剛才說完
