
[00:00:00.000 --> 00:00:05.000]  西法亞書是十二仙之書的第九卷
[00:00:05.000 --> 00:00:07.000]  一共是三章的書
[00:00:07.000 --> 00:00:09.000]  五十三節的經文
[00:00:09.000 --> 00:00:11.000]  我們說十二仙之書
[00:00:11.000 --> 00:00:13.000]  前面的六卷書
[00:00:13.000 --> 00:00:16.000]  主題都是與舊因有關
[00:00:16.000 --> 00:00:17.000]  與舊俗有關
[00:00:17.000 --> 00:00:19.000]  但是後面的六卷書
[00:00:19.000 --> 00:00:24.000]  就是與神與人的關係有關
[00:00:24.000 --> 00:00:26.000]  例如是那紅書
[00:00:26.000 --> 00:00:31.000]  是講到在審判中認識神
[00:00:31.000 --> 00:00:33.000]  又例如是哈巴谷書
[00:00:33.000 --> 00:00:38.000]  是講到在苦難中擁抱神
[00:00:38.000 --> 00:00:42.000]  究竟西法亞書的主題又是什麼呢?
[00:00:42.000 --> 00:00:46.000]  我們一起來看看西法亞仙之明治的意思
[00:00:46.000 --> 00:00:48.000]  西法亞明治的意思
[00:00:48.000 --> 00:00:50.000]  就是耶和華隱藏
[00:00:50.000 --> 00:00:52.000]  或者是耶和華躲藏
[00:00:52.000 --> 00:00:56.000]  你問究竟是耶和華
[00:00:56.000 --> 00:01:00.000]  向屬於他的人來躲藏來隱藏呢?
[00:01:00.000 --> 00:01:04.000]  還是耶和華令到屬於他的人
[00:01:04.000 --> 00:01:06.000]  能夠在有危難中的時候
[00:01:06.000 --> 00:01:08.000]  得到保護得到隱藏?
[00:01:08.000 --> 00:01:12.000]  在這裡結束的時候
[00:01:12.000 --> 00:01:15.000]  我們會有一個很詳細的解釋
[00:01:15.000 --> 00:01:18.000]  西法亞是皇室的後裔
[00:01:18.000 --> 00:01:21.000]  他在西法亞書一章一節
[00:01:21.000 --> 00:01:25.000]  用了四代來證明自己的身世
[00:01:25.000 --> 00:01:31.000]  在聖經裡面唯一的先知
[00:01:31.000 --> 00:01:35.000]  是用了四代來證明自己的身份
[00:01:35.000 --> 00:01:41.000]  西法亞是希西加的元孫
[00:01:41.000 --> 00:01:43.000]  是亞瑪利亞的曾孫
[00:01:43.000 --> 00:01:45.000]  是基大利的孫
[00:01:45.000 --> 00:01:48.000]  是古時的兒子
[00:01:48.000 --> 00:01:51.000]  西法亞他事公的時候
[00:01:51.000 --> 00:01:54.000]  應該和耶利米差不多
[00:01:54.000 --> 00:01:58.000]  而西法亞書的對象就是猶大國
[00:01:58.000 --> 00:02:03.000]  就是全人類
[00:02:03.000 --> 00:02:05.000]  西法亞書的背景
[00:02:05.000 --> 00:02:08.000]  西法亞是預言的時候
[00:02:08.000 --> 00:02:12.000]  猶大國是面臨著政治社會
[00:02:12.000 --> 00:02:17.000]  和宗教靈明上的倒退
[00:02:17.000 --> 00:02:20.000]  猶大人正面臨57年
[00:02:20.000 --> 00:02:23.000]  由馬拿西和他的兒子阿門
[00:02:23.000 --> 00:02:26.000]  專政之後的後遺症
[00:02:26.000 --> 00:02:30.000]  馬拿西一個已經是專政了55年
[00:02:30.000 --> 00:02:33.000]  是一個很長的時間
[00:02:33.000 --> 00:02:35.000]  而馬拿西和阿門
[00:02:35.000 --> 00:02:37.000]  都是聖經裡面說
[00:02:37.000 --> 00:02:41.000]  行耶和華眼中為戶的事
[00:02:41.000 --> 00:02:44.000]  跟著馬拿西和阿門
[00:02:44.000 --> 00:02:47.000]  坐上王位的就是約西亞
[00:02:47.000 --> 00:02:50.000]  約西亞在八歲的時候坐上王位
[00:02:50.000 --> 00:02:53.000]  他十六歲的時候他是尋求神
[00:02:53.000 --> 00:02:56.000]  十八歲的時候他是修理聖殿
[00:02:56.000 --> 00:02:58.000]  而當他是修理聖殿的時候
[00:02:58.000 --> 00:03:00.000]  他是找到律法書
[00:03:00.000 --> 00:03:02.000]  當他讀了律法書之後
[00:03:02.000 --> 00:03:05.000]  他就撕裂他的衣服
[00:03:05.000 --> 00:03:09.000]  他立志要行耶和華眼中
[00:03:09.000 --> 00:03:12.000]  跟從耶和華的說話
[00:03:12.000 --> 00:03:14.000]  在他二十歲的時候
[00:03:14.000 --> 00:03:16.000]  他拆毀了丘壇
[00:03:16.000 --> 00:03:19.000]  他打碎了所有的偶像
[00:03:19.000 --> 00:03:22.000]  在約西亞的統治下
[00:03:22.000 --> 00:03:24.000]  猶大人有一個復興
[00:03:24.000 --> 00:03:26.000]  就在這個時候
[00:03:26.000 --> 00:03:30.000]  神差派西班牙先知去到猶大國
[00:03:30.000 --> 00:03:32.000]  來幫助約西亞
[00:03:32.000 --> 00:03:36.000]  有很多的聖經學者他們都認為
[00:03:36.000 --> 00:03:38.000]  約西亞的復興
[00:03:38.000 --> 00:03:41.000]  西班牙絕對有它的影響力
[00:03:41.000 --> 00:03:44.000]  在約西亞在位的時候
[00:03:44.000 --> 00:03:47.000]  猶大國是一個非常繁榮的地方
[00:03:47.000 --> 00:03:49.000]  北國已經滅亡了
[00:03:49.000 --> 00:03:51.000]  是被亞述國所滅
[00:03:51.000 --> 00:03:55.000]  而亞述國自己也開始衰落
[00:03:55.000 --> 00:03:57.000]  當我們說那紅書的時候
[00:03:57.000 --> 00:03:59.000]  我們也說過
[00:03:59.000 --> 00:04:04.000]  亞述國開始衰退
[00:04:04.000 --> 00:04:08.000]  被巴比倫、波斯和西古提
[00:04:08.000 --> 00:04:11.000]  三國聯軍來攻擊他
