
[00:00:00.000 --> 00:00:08.000]  各位弟兄姊妹平安,我們一起來禱告仰望主在今天把祂這次美好的信息賜給我們。
[00:00:08.000 --> 00:00:20.000]  主啊,我們在祢的位置裡面,稍微安頓的時候就看見了神豐富的預備。
[00:00:20.000 --> 00:00:29.000]  感謝主藉著祢的聖福讓我們看見天賦的愛,我們讚美天賦。
[00:00:29.000 --> 00:00:38.000]  因著祢顧念我們,就把祢的獨生子耶穌基督賜給我們。
[00:00:38.000 --> 00:00:50.000]  好就把你心意當中一切對人所做的工作都顯露在你的愛子耶穌基督的身上。
[00:00:50.000 --> 00:00:58.000]  我們要歌頌那一位教我們認識耶穌救贖的聖靈。
[00:00:58.000 --> 00:01:05.000]  主祢在檢選以先所預備了我們。
[00:01:05.000 --> 00:01:17.000]  而在我們在認識你的時候,就曉得這一位的父帶來的是永遠的救贖。
[00:01:17.000 --> 00:01:24.000]  也教我們能得恩典,能夠進入神的同在裡面。
[00:01:24.000 --> 00:01:37.000]  願今天主祢自著的言語,借助聖靈的感動住在我們的裡面,也成為我們今天敬拜的主要的學習。
[00:01:37.000 --> 00:01:42.000]  要我們從祢的言語中能知透天賦的心意。
[00:01:42.000 --> 00:01:58.000]  我們歌頌讚美祢,就在這個時候繼續的來紀念到神家裡面,神的兒女們每一個時刻中的需要。
[00:01:58.000 --> 00:02:14.000]  主啊,施恩典,施憐憫,做代理的工作,好將我們能夠深深體會主與我們同行一切的喜樂。
[00:02:14.000 --> 00:02:22.000]  幫助我們也繼續的聆聽我們在祢面前的禱告,靠恩主耶穌基督的聖名。
[00:02:22.000 --> 00:02:33.000]  今天跟大家來分享一個題目叫做,愛在照會生活的重要性。
[00:02:33.000 --> 00:02:47.000]  若是大家還沒有知道我今年跟大家來分享的這個主題的話,我希望在這個時候很簡單的跟大家來重新的來看。
[00:02:47.000 --> 00:02:55.000]  上帝的愛是實在的,祂採選祂的愛子來到我們的生命的裡面,
[00:02:55.000 --> 00:03:03.000]  我們就曉得原來愛臨到我們的身上,我們開始感應祂在我們永恆中的復還。
[00:03:03.000 --> 00:03:17.000]  所以祂的愛也是救贖性,因為祂把愛子拆到人間,也在聖經的言語當中告訴了我們。
[00:03:17.000 --> 00:03:24.000]  所以我們越來越發現原來主的愛真的能夠激勵我們,
[00:03:24.000 --> 00:03:34.000]  以致我們在祂的愛的裡面,曉得我們開始能分辨我們的生活。
[00:03:34.000 --> 00:03:44.000]  原來真愛能夠測驗了我們的內心,也讓我們能夠分別我們在地上的日子,
[00:03:44.000 --> 00:03:48.000]  當如何的來服侍祂,榮耀祂。
[00:03:48.000 --> 00:03:59.000]  今天特別來講到這個愛的實在的層面,我們叫這個愛是一個照會合一性的表達。
[00:03:59.000 --> 00:04:06.000]  所以我就把這個題目定為愛在照會生活中的重要性。
[00:04:06.000 --> 00:04:15.000]  剛才唐濤弟兄跟我們念,我相信這個經文裡面很清楚重複的講到一個很重要的事情,
[00:04:15.000 --> 00:04:25.000]  就是在愛中沒有虛假的人,他的愛的生活應該在照會裡面彰顯出來。
[00:04:25.000 --> 00:04:33.000]  神把祂的聖靈賜給我們,來要我們住在祂的裡面。
[00:04:33.000 --> 00:04:44.000]  我們今天在受到世界的世俗的影響,往往很多時候我們也不能夠分辨我們照會的生活應該是怎麼樣。
[00:04:44.000 --> 00:04:56.000]  最近十幾年來有一些人就特別來說,認識照會很簡單,就用ABC這三個來分辨就好。
[00:04:56.000 --> 00:05:16.000]  第一個,照會的人有多少? 照會有沒有他的建築物? 照會有沒有財力的支配?
[00:05:16.000 --> 00:05:26.000]  所以第一個A就是Attendance, B就是Building,第三個就是Cash。
[00:05:26.000 --> 00:05:33.000]  到底這個真的是我們照會生活的元素嗎? 神就很清楚的告訴我們不是。
