
[00:00:00.000 --> 00:00:05.400]  很光榮有一次能夠在當中跟大家分享神奇妙的說話
[00:00:05.400 --> 00:00:08.920]  今天我們分享的經文是
[00:00:08.920 --> 00:00:13.180]  提摩太前書二章的八至十五節
[00:00:13.180 --> 00:00:17.240]  關於《斷聖經》我有幾個思考
[00:00:17.240 --> 00:00:21.940]  我會從教會的標記
[00:00:21.940 --> 00:00:27.500]  以及一個信心與行為的展現
[00:00:28.000 --> 00:00:31.780]  來將小淘寶羅對教會的期望
[00:00:31.780 --> 00:00:35.120]  如何在這段聖經裡呈現出來
[00:00:35.120 --> 00:00:36.520]  來跟大家分享
[00:00:36.520 --> 00:00:40.100]  在這個思考的過程當中
[00:00:40.100 --> 00:00:44.940]  我看到今天教會要迎向一個新的轉變
[00:00:44.940 --> 00:00:49.280]  我們在近日也體會到這種轉變
[00:00:49.280 --> 00:00:53.200]  我們在不知不覺之間進入了一個
[00:00:53.200 --> 00:00:57.600]  科技時代的一個體驗
[00:00:58.320 --> 00:01:00.360]  以前從未試過的
[00:01:00.360 --> 00:01:01.260]  想過的
[00:01:01.260 --> 00:01:03.520]  online的崇拜
[00:01:03.520 --> 00:01:06.080]  今天我們變得純熟了
[00:01:06.080 --> 00:01:08.620]  我們從未去試過的
[00:01:08.620 --> 00:01:10.060]  online的
[00:01:10.060 --> 00:01:11.040]  上網的
[00:01:11.040 --> 00:01:14.940]  看著鏡頭的查經團契
[00:01:14.940 --> 00:01:17.380]  我們也越來越純熟了
[00:01:17.380 --> 00:01:21.860]  教會面對著這個轉變
[00:01:21.860 --> 00:01:25.800]  的確有一個處境性
[00:01:25.800 --> 00:01:27.800]  時間性
[00:01:28.760 --> 00:01:31.040]  特別的要求之下
[00:01:31.040 --> 00:01:33.480]  我們要有相應的措施
[00:01:33.480 --> 00:01:35.120]  然而
[00:01:35.120 --> 00:01:36.280]  更加重要的是
[00:01:36.280 --> 00:01:38.080]  在這個轉變的世代當中
[00:01:38.080 --> 00:01:41.420]  教會如何來去持守真理
[00:01:41.420 --> 00:01:43.880]  來去見證耶穌基督呢
[00:01:43.880 --> 00:01:45.500]  我們見證
[00:01:45.500 --> 00:01:49.320]  我們如何來去安定於真理之上
[00:01:49.320 --> 00:01:52.520]  面對著社會的轉變
[00:01:52.520 --> 00:01:55.440]  這個價值觀
[00:01:55.440 --> 00:01:58.720]  一路一路去衝擊著我們的一個現實呢
[00:01:58.720 --> 00:02:02.960]  這個思考
[00:02:02.960 --> 00:02:05.160]  是我從這段經文當中
[00:02:05.160 --> 00:02:08.960]  從保羅去期望提摩泰
[00:02:08.960 --> 00:02:10.640]  要在即是上面
[00:02:10.640 --> 00:02:13.800]  牧羊裏面要留心的一個勸誡當中
[00:02:13.800 --> 00:02:14.920]  來去思考
[00:02:14.920 --> 00:02:17.680]  保羅提醒提摩泰
[00:02:17.680 --> 00:02:19.040]  勸勉他
[00:02:19.040 --> 00:02:21.680]  要留心聽姊妹他們的處境
[00:02:21.680 --> 00:02:24.560]  留意到他們的需要
[00:02:24.560 --> 00:02:26.480]  甚至乎要
[00:02:26.480 --> 00:02:28.920]  挑戰他們
[00:02:28.920 --> 00:02:30.040]  提醒他們
[00:02:30.040 --> 00:02:32.440]  要有一個很重要的
[00:02:32.440 --> 00:02:35.600]  從內心裏面的一個對上帝的信念
[00:02:35.600 --> 00:02:37.880]  和來生活見證
[00:02:37.880 --> 00:02:40.200]  來反映自己的信仰
[00:02:40.200 --> 00:02:41.840]  在信什麼呢
[00:02:41.840 --> 00:02:43.840]  信得真不真
[00:02:43.840 --> 00:02:45.720]  信得準不準呢
[00:02:45.720 --> 00:02:49.600]  保羅昔日對提摩泰的勸勉
[00:02:49.600 --> 00:02:52.200]  同樣對我們今天的處境
[00:02:52.200 --> 00:02:54.240]  對我們教會的處境
[00:02:54.240 --> 00:02:57.320]  對我們作為牧者的一個提醒
[00:02:57.320 --> 00:02:59.120]  會有什麼啟發呢
[00:02:59.120 --> 00:03:02.800]  在進入經文的分享之前
