
[00:00:00.000 --> 00:00:02.000]  讓我們同心土告
[00:00:02.000 --> 00:00:09.000]  愛我們三一上帝 主我們多謝祢
[00:00:09.000 --> 00:00:12.000]  祢的靈在我們中間工作 感謝祢
[00:00:12.000 --> 00:00:16.000]  祢在年輕人中間興起 感動他們
[00:00:16.000 --> 00:00:19.000]  也使他們滿有能力 信心
[00:00:19.000 --> 00:00:22.000]  在敬拜的侍奉中獻上他們自己
[00:00:22.000 --> 00:00:24.000]  侯主祢也與我們同在
[00:00:24.000 --> 00:00:27.000]  因為我們知道祢繼續在我們中間工作
[00:00:27.000 --> 00:00:31.000]  也會在我們每一個人的生命中工作
[00:00:31.000 --> 00:00:34.000]  讓我們今天敞開我們的心
[00:00:34.000 --> 00:00:36.000]  歡迎祢
[00:00:36.000 --> 00:00:39.000]  我們願意去聆聽祢的話
[00:00:39.000 --> 00:00:41.000]  求祢與我們同在 我們深信
[00:00:41.000 --> 00:00:44.000]  祢必然賜予我們安慰
[00:00:44.000 --> 00:00:46.000]  祢必然賜予我們激勵
[00:00:46.000 --> 00:00:49.000]  祢必然帶給我們有話語
[00:00:49.000 --> 00:00:52.000]  我們願意知取祢的話語來度日
[00:00:52.000 --> 00:00:53.000]  幫助我們
[00:00:53.000 --> 00:00:55.000]  我們在祈禱 奉耶穌名求
[00:00:55.000 --> 00:01:00.000]  不知大家有沒有聽過一句說話
[00:01:00.000 --> 00:01:04.000]  One book, one pen can change the world
[00:01:04.000 --> 00:01:08.000]  一枝筆,一本書可以改變世界
[00:01:08.000 --> 00:01:12.000]  這是一句很驚人的說話
[00:01:12.000 --> 00:01:17.000]  因為我們聽到這個世界改變
[00:01:17.000 --> 00:01:20.000]  一些國家領袖改變這個世界
[00:01:20.000 --> 00:01:22.000]  他們透過什麼呢
[00:01:22.000 --> 00:01:26.000]  他們透過征戰 透過打仗
[00:01:26.000 --> 00:01:29.000]  透過貿易戰 透過核武
[00:01:29.000 --> 00:01:33.000]  所以為什麼會是一枝筆 一本書
[00:01:33.000 --> 00:01:38.000]  其實這句說話是來自一個女孩子
[00:01:38.000 --> 00:01:42.000]  叫做馬拉拉優薩夫扎爾
[00:01:42.000 --> 00:01:44.000]  不知大家認不認識她
[00:01:44.000 --> 00:01:48.000]  她是2014年諾貝爾和平獎的得主
[00:01:48.000 --> 00:01:51.000]  她是一個巴基斯坦的人權鬥士
[00:01:51.000 --> 00:01:54.000]  當時她領獎的時候只有17歲
[00:01:54.000 --> 00:01:57.000]  原來她11歲的時候已經開始寫文
[00:01:57.000 --> 00:02:02.000]  為穆斯林女性爭取教育權
[00:02:02.000 --> 00:02:08.000]  因為她家鄉長期受塔利班的管制影響
[00:02:08.000 --> 00:02:10.000]  令女性受打壓
[00:02:10.000 --> 00:02:13.000]  塔利班炸了她家鄉的女子學校
[00:02:13.000 --> 00:02:16.000]  令女孩子不能上學
[00:02:16.000 --> 00:02:19.000]  馬拉拉就寫信給政府
[00:02:19.000 --> 00:02:24.000]  寫信給當時的奧巴馬總統
[00:02:24.000 --> 00:02:27.000]  去爭取女子讀書的權利
[00:02:27.000 --> 00:02:31.000]  但就因為這樣她被塔利班追殺
[00:02:31.000 --> 00:02:34.000]  有一天她被塔利班開槍
[00:02:34.000 --> 00:02:37.000]  子彈打中她的頭
[00:02:37.000 --> 00:02:39.000]  雖然她不能死
[00:02:39.000 --> 00:02:44.000]  但她心裡的追求公義
[00:02:44.000 --> 00:02:49.000]  為女孩子爭取教育權的心沒有減弱
