
[00:00:00.000 --> 00:00:03.300]  各位聽衆姐妹,我想問問大家一個問題
[00:00:03.300 --> 00:00:12.500]  有多少個時候,小時候是被阿爸,阿媽,阿爺或者阿媽打過的?
[00:00:12.500 --> 00:00:14.800]  可不可以舉手?
[00:00:14.800 --> 00:00:16.800]  哇!這麼多!
[00:00:16.800 --> 00:00:20.800]  第二個問題想問大家
[00:00:20.800 --> 00:00:24.000]  有多少人是有小孩的?
[00:00:24.000 --> 00:00:25.500]  可不可以舉手?
[00:00:25.500 --> 00:00:26.500]  有子女的?
[00:00:26.500 --> 00:00:28.000]  哇!又是很多!
[00:00:28.000 --> 00:00:32.500]  有多少人是曾經看伐過你的子女的?
[00:00:32.500 --> 00:00:34.000]  打過他們的,舉手?
[00:00:34.000 --> 00:00:36.000]  哇!很多哦!
[00:00:36.000 --> 00:00:40.000]  有一個比例給大家知道的
[00:00:40.000 --> 00:00:44.000]  如果你超過50歲的那些
[00:00:44.000 --> 00:00:50.000]  以前被阿爸,阿媽打,他們叫做很正常
[00:00:50.000 --> 00:00:56.000]  如果你是30歲以下的那些
[00:00:56.000 --> 00:00:59.000]  如果你打子女
[00:00:59.000 --> 00:01:03.000]  你隨時可能會被警告
[00:01:03.000 --> 00:01:06.000]  不要再打
[00:01:06.000 --> 00:01:10.000]  再打的時候,可能會惹上官非
[00:01:10.000 --> 00:01:14.000]  這個報告是美國那邊調查得來的結果
[00:01:14.000 --> 00:01:17.000]  但實際上在今天的香港一樣
[00:01:17.000 --> 00:01:23.000]  如果學校的老師、社工知道那些學生曾經被父母打過
[00:01:23.000 --> 00:01:28.000]  打到臉上有點瘀瘀的
[00:01:28.000 --> 00:01:31.000]  你很麻煩的,告訴大家
[00:01:31.000 --> 00:01:35.000]  我記得我自己在大陸偷渡出來之後
[00:01:35.000 --> 00:01:39.000]  最新鮮熱辣的一個經歷
[00:01:39.000 --> 00:01:47.000]  就是曾經因爲和那條村的青少年不熟
[00:01:47.000 --> 00:01:50.000]  不熟的時候,我發覺我是被排斥的
[00:01:50.000 --> 00:01:53.000]  被排斥的時候,他們自己一羣人
[00:01:53.000 --> 00:01:57.000]  很容易會和我之間有些言語上的衝突
[00:01:57.000 --> 00:02:00.000]  言語上的衝突很自然
[00:02:00.000 --> 00:02:03.000]  接着就是出手打架
[00:02:03.000 --> 00:02:05.000]  我記得我第一次的時候
[00:02:05.000 --> 00:02:08.000]  我不禁被人侮辱
[00:02:08.000 --> 00:02:11.000]  所以就打他
