
[00:00:00.000 --> 00:00:04.340]  好,再一次歡迎大家回來YAS崇伯
[00:00:04.340 --> 00:00:08.340]  在預備這篇講道的時候,大家想起
[00:00:08.340 --> 00:00:11.160]  我們中間應該有些人是做marketing
[00:00:11.160 --> 00:00:13.120]  做sales的,我猜
[00:00:13.120 --> 00:00:15.000]  至少我認識一個,是啦
[00:00:15.000 --> 00:00:16.220]  OK
[00:00:16.220 --> 00:00:19.640]  我不知道大家有沒有聽過一些營銷策略
[00:00:19.640 --> 00:00:22.760]  一些marketing strategy
[00:00:22.760 --> 00:00:27.360]  就是探討有什麼技巧可以推動人去購物
[00:00:27.360 --> 00:00:29.180]  是最有效的,OK
[00:00:29.180 --> 00:00:31.120]  有些marketing strategy
[00:00:31.120 --> 00:00:34.760]  有一個就是標榜方便的策略
[00:00:34.760 --> 00:00:36.480]  例如什麼呢?就是比如他說
[00:00:36.480 --> 00:00:40.480]  你有了這個智能電話,你的生活就會方便很多
[00:00:40.480 --> 00:00:41.840]  簡單很多
[00:00:41.840 --> 00:00:45.640]  這個就是sell by 方便,convenience
[00:00:45.640 --> 00:00:48.200]  也有一些是利用人的貪心
[00:00:48.200 --> 00:00:52.920]  例如JPE不知什麼網站
[00:00:52.920 --> 00:00:56.360]  就是說你今天投資一百元
[00:00:56.360 --> 00:00:58.360]  三個月之後
[00:00:58.360 --> 00:01:01.400]  我保證你,就會有
[00:01:01.400 --> 00:01:02.240]  二百
[00:01:02.240 --> 00:01:05.560]  或者是三百,三倍的增長
[00:01:05.560 --> 00:01:09.440]  這個是利用人的貪心,sell by greed
[00:01:09.440 --> 00:01:13.400]  不過我看一些研究,原來最有用的一樣東西是什麼呢?
[00:01:13.400 --> 00:01:15.800]  sell by fear
[00:01:15.800 --> 00:01:19.240]  用恐懼來做一個營銷的策略
[00:01:19.240 --> 00:01:21.000]  例如
[00:01:21.000 --> 00:01:25.520]  你不買這個寶品,不買這個健康的器材儀器
[00:01:25.520 --> 00:01:28.640]  你怎樣頂得住在空氣當中的細菌呢?
[00:01:28.640 --> 00:01:31.360]  你知不知道細菌的種類是以百計
[00:01:31.360 --> 00:01:32.800]  數量是以億計的
[00:01:32.800 --> 00:01:34.600]  你不買這個產品
[00:01:34.600 --> 00:01:39.320]  你怎樣頂得住這些細菌,病毒,尤其是新冠肺炎等等
[00:01:39.320 --> 00:01:42.440]  這個是sell by fear
[00:01:42.440 --> 00:01:47.400]  剛纔Kenneth爲我們讀出我們應該都頗熟識的一段經文
[00:01:47.400 --> 00:01:49.640]  其中有一句是這樣說的
[00:01:49.640 --> 00:01:52.840]  可以出個經文
[00:01:52.840 --> 00:01:56.840]  第二節你有沒有留意他說"凡屬我不結果子的他"就怎樣?
[00:01:56.840 --> 00:01:58.200]  經文說
[00:01:58.200 --> 00:02:00.000]  剪掉它
[00:02:00.000 --> 00:02:03.240]  不知道你讀的時候有沒有一個恐懼的感覺
[00:02:03.240 --> 00:02:06.000]  不結果子就會被剪掉
[00:02:06.000 --> 00:02:07.680]  活在惶恐當中
[00:02:07.680 --> 00:02:11.400]  好像經常都被人監察那樣,監察些什麼呢?
[00:02:11.400 --> 00:02:13.920]  你返崇拜足不足呢?
[00:02:13.920 --> 00:02:15.840]  你返小組足不足呢?
[00:02:15.840 --> 00:02:18.200]  做得夠不夠好呢?多不多侍奉呢?有沒有大人信耶穌呢?
[00:02:18.200 --> 00:02:20.440]  好像經常都被人監察着
[00:02:20.440 --> 00:02:24.240]  不結果子就怎樣?剪掉它
[00:02:24.240 --> 00:02:29.000]  有時候我都會想這個其實不是一種sell by fear
[00:02:29.000 --> 00:02:33.320]  用恐懼作爲推動力的一種信仰
[00:02:33.320 --> 00:02:36.160]  之後我都會再和大家探討第二節
[00:02:36.160 --> 00:02:39.560]  不過在探討第二節之前
[00:02:39.560 --> 00:02:42.920]  我們先講一個更加重要的信息
[00:02:42.920 --> 00:02:44.840]  是一個什麼樣的信息呢?
[00:02:44.840 --> 00:02:47.600]  今晚只有三點,這個已經是第一點了
[00:02:47.600 --> 00:02:49.840]  第一點叫起落
[00:02:49.840 --> 00:02:52.240]  這段經文說明了
[00:02:52.240 --> 00:02:54.920]  爲什麼耶穌會講這段經文
[00:02:54.920 --> 00:02:57.680]  不是因爲要sell恐懼
[00:02:57.680 --> 00:02:59.680]  不是因爲要抽清你
[00:02:59.680 --> 00:03:04.920]  而是因爲有一個很令人喜樂的信息要和大家分享的
[00:03:04.920 --> 00:03:06.600]  怎麼知道呢?
[00:03:06.600 --> 00:03:07.680]  十一節講的
[00:03:07.680 --> 00:03:10.040]  他說我這些事已經告訴你了
[00:03:10.040 --> 00:03:12.080]  這些事就是這段經文
[00:03:12.080 --> 00:03:15.280]  事要叫你的喜樂可以存在你的心裏
[00:03:15.280 --> 00:03:18.320]  並且你們的喜樂可以滿足
[00:03:18.320 --> 00:03:24.000]  是在講一個令人振奮、很興奮、很盼望、很有喜樂
[00:03:24.000 --> 00:03:26.200]  是一等一的好消息
[00:03:26.200 --> 00:03:29.080]  是什麼好消息呢?
[00:03:29.080 --> 00:03:32.560]  我愛你們
[00:03:32.560 --> 00:03:34.320]  人爲朋友寫命
[00:03:34.320 --> 00:03:36.760]  以後我不再稱你爲僕人
[00:03:36.760 --> 00:03:38.760]  我乃稱你爲朋友
[00:03:38.760 --> 00:03:41.640]  快樂喜樂的原因是什麼呢?
[00:03:41.640 --> 00:03:43.120]  耶穌說很簡單
[00:03:43.120 --> 00:03:44.360]  我愛你們
[00:03:44.360 --> 00:03:45.920]  我愛你們
[00:03:45.920 --> 00:03:48.160]  甚至爲你寫命
[00:03:48.160 --> 00:03:50.040]  這個好消息是什麼呢?
[00:03:50.040 --> 00:03:51.480]  這個好消息就是
[00:03:51.480 --> 00:03:53.600]  我們有人愛
[00:03:53.600 --> 00:03:55.200]  有人疼愛
[00:03:55.200 --> 00:03:56.640]  有人喜歡
[00:03:56.640 --> 00:03:58.400]  有人記得我們
[00:03:58.400 --> 00:04:03.000]  這個是一個好消息
[00:04:03.000 --> 00:04:05.800]  最近看了幾部戲
[00:04:05.800 --> 00:04:07.200]  不知道你有沒有看過
[00:04:07.200 --> 00:04:10.080]  其中一部叫做《年少日記》
[00:04:10.080 --> 00:04:12.080]  可以播放powerpoint
[00:04:12.080 --> 00:04:15.720]  《年少日記》
[00:04:15.720 --> 00:04:16.480]  這部戲
[00:04:16.480 --> 00:04:18.080]  誰看過?
[00:04:18.080 --> 00:04:20.560]  至少有兩個人看
[00:04:20.560 --> 00:04:21.600]  我有想過
[00:04:21.600 --> 00:04:23.680]  其實我們Y.A.應該一起去看
[00:04:23.680 --> 00:04:25.280]  非常有意思
[00:04:25.280 --> 00:04:27.080]  這部戲講什麼呢?
[00:04:27.080 --> 00:04:30.120]  是講兩個年紀相弱的兄弟
[00:04:30.120 --> 00:04:33.880]  他們讀小學
[00:04:33.880 --> 00:04:36.720]  哥哥光芒四射
[00:04:36.720 --> 00:04:38.240]  將弟弟
[00:04:38.240 --> 00:04:40.800]  應該這麼說
