
[00:00:00.000 --> 00:00:02.480]  今天說的是婚姻秘笈
[00:00:02.480 --> 00:00:05.320]  一個非常實際的內容
[00:00:05.320 --> 00:00:09.280]  不知道大家想起秘笈有沒有想起什麼
[00:00:09.280 --> 00:00:15.200]  特別有一句電影內容的一句話
[00:00:15.200 --> 00:00:19.680]  「細路,睇你骨骼精奇」
[00:00:19.680 --> 00:00:23.680]  「實在是百年難得一見的練武奇才」
[00:00:23.680 --> 00:00:25.280]  大家記不記得哪部電影
[00:00:25.280 --> 00:00:27.760]  當然記得了
[00:00:27.760 --> 00:00:29.680]  秘笈有很多種
[00:00:29.680 --> 00:00:32.280]  當然秘笈的原因
[00:00:32.280 --> 00:00:34.720]  是讓我們可以藉著裡面的錦囊
[00:00:34.720 --> 00:00:37.480]  裡面有些值得學習的地方
[00:00:37.480 --> 00:00:40.680]  我們經歷之後不再一樣
[00:00:40.680 --> 00:00:42.560]  當然秘笈其實有很多種
[00:00:42.560 --> 00:00:44.520]  當然未必一定叫秘笈
[00:00:44.520 --> 00:00:47.120]  例如投資的秘笈
[00:00:47.120 --> 00:00:49.400]  運動的秘笈
[00:00:49.400 --> 00:00:51.720]  有些秘笈是很有用的
[00:00:51.720 --> 00:00:53.880]  你學習到,運用得到
[00:00:53.880 --> 00:00:56.240]  有些例如運動的秘笈
[00:00:56.240 --> 00:01:00.440]  當然我們在YouTube有很多,十分鐘做什麼運動
[00:01:00.440 --> 00:01:02.320]  三十分鐘是怎麼做
[00:01:02.320 --> 00:01:04.200]  其實我都看了很多
[00:01:04.200 --> 00:01:05.080]  不過現在看了那麼多
[00:01:05.080 --> 00:01:06.320]  你發現我都沒什麼變化
[00:01:06.320 --> 00:01:09.120]  因為我看而已,我沒說做
[00:01:09.120 --> 00:01:10.840]  秘笈其中很重要的
[00:01:10.840 --> 00:01:13.240]  就是你看完,你要跟著去做
[00:01:13.240 --> 00:01:15.640]  那就會發生一些事情
[00:01:15.640 --> 00:01:18.440]  婚姻當然也有很多秘笈
[00:01:18.440 --> 00:01:21.320]  當然它的主題不是你單單聽
[00:01:21.320 --> 00:01:23.440]  有時候聽完也很開心
[00:01:23.440 --> 00:01:27.520]  但不做的話,依然是顧我的
[00:01:27.520 --> 00:01:30.600]  婚姻其實是一個很神秘的東西
[00:01:30.600 --> 00:01:32.800]  一個很奇怪的奧秘
[00:01:32.800 --> 00:01:33.760]  為什麼呢?
[00:01:33.760 --> 00:01:36.920]  維繫一段婚姻的確是很困難的
[00:01:36.920 --> 00:01:38.640]  你想想,我不知道你自己
[00:01:38.640 --> 00:01:40.640]  就算我不結婚
[00:01:40.640 --> 00:01:43.560]  我想起自己也很麻煩
[00:01:43.560 --> 00:01:47.480]  一歲、十歲、二十歲、三十歲、四十歲、五十歲
[00:01:47.480 --> 00:01:48.880]  都覺得很麻煩
[00:01:48.880 --> 00:01:50.160]  有時候想一些事情自己又不知道
[00:01:50.160 --> 00:01:51.880]  有時候做一些事情自己突然覺得
[00:01:51.880 --> 00:01:53.640]  為什麼會這樣呢?
[00:01:53.640 --> 00:01:56.840]  還要跟一個你本來不認識的人
[00:01:56.840 --> 00:01:58.840]  接著拍拖結婚
[00:01:58.840 --> 00:02:00.680]  接著要一輩子
[00:02:00.680 --> 00:02:03.760]  兩個麻煩的人走在一起
[00:02:03.760 --> 00:02:05.040]  還可以走在一起
[00:02:05.040 --> 00:02:08.400]  簡直真的是恩典之路
[00:02:08.400 --> 00:02:09.160]  不容易
[00:02:09.160 --> 00:02:12.680]  最近聽到一個我覺得挺有趣的笑話
[00:02:12.680 --> 00:02:13.880]  是這麼說的
