
[00:00:00.000 --> 00:00:04.000]  今天和大家分享《熱忽所書》一段經文
[00:00:04.000 --> 00:00:06.000]  其中一個重點一節經文
[00:00:06.000 --> 00:00:08.000]  如果大家有聖經打開
[00:00:08.000 --> 00:00:10.000]  《熱忽所書》第三章十六節
[00:00:10.000 --> 00:00:12.000]  如果沒有就請聽我讀出
[00:00:12.000 --> 00:00:17.000]  求他按著他豐盛的榮耀
[00:00:17.000 --> 00:00:19.000]  截著他的靈
[00:00:19.000 --> 00:00:22.000]  叫你們心裡的力量剛強起來
[00:00:22.000 --> 00:00:25.000]  不如我讀一句 大家又讀一句好嗎
[00:00:25.000 --> 00:00:29.000]  求他按著他豐盛的榮耀
[00:00:29.000 --> 00:00:32.000]  (求他按著他豐盛的榮耀)
[00:00:32.000 --> 00:00:34.000]  截著他的靈
[00:00:34.000 --> 00:00:36.000]  (截著他的靈)
[00:00:36.000 --> 00:00:39.000]  叫你們心裡的力量
[00:00:39.000 --> 00:00:41.000]  (叫你們心裡的力量)
[00:00:41.000 --> 00:00:43.000]  剛強起來
[00:00:43.000 --> 00:00:44.000]  (剛強起來)
[00:00:44.000 --> 00:00:47.000]  《熱忽所書》三章十六節
[00:00:47.000 --> 00:00:48.000]  (三章十六節)
[00:00:48.000 --> 00:00:50.000]  有時我們熟悉經經常背
[00:00:50.000 --> 00:00:51.000]  要學呼音三章十六節
[00:00:51.000 --> 00:00:54.000]  《熱忽所書》三章十六節是很感動的經文
[00:00:54.000 --> 00:00:55.000]  今天談的就是
[00:00:55.000 --> 00:00:58.000]  讓你裡面的人剛強起來
[00:00:58.000 --> 00:01:00.000]  人生很多挑戰的
[00:01:00.000 --> 00:01:02.000]  《辣機圖》也是挑戰不少的
[00:01:02.000 --> 00:01:05.000]  舉例我們紫禧神學院
[00:01:05.000 --> 00:01:07.000]  上年三月的時候
[00:01:07.000 --> 00:01:10.000]  我們有個老師叫郭鴻彪博士
[00:01:10.000 --> 00:01:12.000]  他兒子叫尹衡
[00:01:12.000 --> 00:01:15.000]  突然間中學一、二年級
[00:01:15.000 --> 00:01:19.000]  心裡想著去東京醫院看急症
[00:01:19.000 --> 00:01:21.000]  去了一兩天就昏迷
[00:01:21.000 --> 00:01:24.000]  昏迷了十個月到現在
[00:01:24.000 --> 00:01:28.000]  師母那裡有個教會單位
[00:01:28.000 --> 00:01:30.000]  有人幫她在那裡
[00:01:30.000 --> 00:01:33.000]  一個很小的房間住在那裡為主
[00:01:33.000 --> 00:01:36.000]  出入看著她看著十個月
[00:01:36.000 --> 00:01:38.000]  人生挑戰很多
[00:01:38.000 --> 00:01:41.000]  我們見到風格很多學生
