
[00:00:00.000 --> 00:00:04.120]  今天我們要講道的系列
[00:00:04.120 --> 00:00:07.080]  來到彼得前書的最後
[00:00:07.080 --> 00:00:09.280]  我們已經講了幾個月
[00:00:09.280 --> 00:00:10.760]  彼得前書的最後
[00:00:10.760 --> 00:00:15.360]  我經歷了昨天講了四次之後
[00:00:15.360 --> 00:00:17.920]  今天就講第五次
[00:00:17.920 --> 00:00:19.760]  我覺得還是不要講得這麼複雜
[00:00:19.760 --> 00:00:21.760]  講得簡單一點比較好
[00:00:21.760 --> 00:00:23.720]  所以我今天跟大家分享的聖經
[00:00:23.720 --> 00:00:25.320]  主要是兩節聖經
[00:00:25.320 --> 00:00:29.040]  彼得前書的五章八和第九節
[00:00:29.040 --> 00:00:30.320]  來到這裡
[00:00:30.320 --> 00:00:33.440]  彼得前書主要的題材
[00:00:33.440 --> 00:00:35.000]  或者主要的背景
[00:00:35.000 --> 00:00:38.040]  就是透過當代第一世紀
[00:00:38.040 --> 00:00:40.800]  那些弟兄姊妹面對困難的處境
[00:00:40.800 --> 00:00:42.640]  面對一個被迫害
[00:00:42.640 --> 00:00:45.280]  面對一個被誣衊被毀謗
[00:00:45.280 --> 00:00:46.880]  在異教世界裏面
[00:00:46.880 --> 00:00:49.120]  他們經歷很多艱苦困難
[00:00:49.120 --> 00:00:50.360]  怎樣去面對呢
[00:00:50.360 --> 00:00:51.880]  透過耶穌基督的榜樣
[00:00:51.880 --> 00:00:54.480]  面對甚至是受苦
[00:00:54.480 --> 00:00:56.360]  但是有耶穌基督作為我們的力量
[00:00:56.360 --> 00:00:57.960]  其實都是有益處的
[00:00:57.960 --> 00:01:00.560]  主題一直這樣去
[00:01:00.560 --> 00:01:01.760]  到了最後
[00:01:01.760 --> 00:01:04.640]  最後彼得要修筆的時候
[00:01:04.640 --> 00:01:08.440]  他開了一個很特別的課題
[00:01:08.440 --> 00:01:10.000]  講得好一點
[00:01:10.000 --> 00:01:11.840]  但我覺得這也是一個
[00:01:11.840 --> 00:01:14.120]  在我們生命的成熟成長
[00:01:14.120 --> 00:01:16.400]  裏面一個很重要
[00:01:16.400 --> 00:01:18.920]  是我們不可以忽略的一個課題
[00:01:18.920 --> 00:01:20.600]  我們看看這篇經文好不好
