
[00:00:00.000 --> 00:00:01.600]  「踏入2023年」
[00:00:01.600 --> 00:00:04.000]  我想問問大家
[00:00:04.000 --> 00:00:09.300]  你怎樣去形容自己「踏入2023年」呢?
[00:00:09.300 --> 00:00:12.400]  會不會呢?
[00:00:12.400 --> 00:00:18.000]  你說都是過去一年裡面輕輕鬆鬆走過一年了
[00:00:18.000 --> 00:00:19.100]  又到新的一年
[00:00:19.100 --> 00:00:20.300]  有沒有這樣的人?
[00:00:20.300 --> 00:00:23.300]  都是領頭啊
[00:00:23.300 --> 00:00:28.100]  那麼會不會又好像打遊戲機那樣
[00:00:28.200 --> 00:00:30.500]  「過五關斬六將」
[00:00:30.500 --> 00:00:36.400]  終於來到「2023年」了
[00:00:36.400 --> 00:00:38.300]  有沒有這樣的感覺?
[00:00:38.300 --> 00:00:42.800]  好像過去一年裡面都好像坐過山車一樣
[00:00:42.800 --> 00:00:44.300]  跌跌撞撞
[00:00:44.300 --> 00:00:45.800]  又很刺激這樣
[00:00:45.800 --> 00:00:47.700]  充滿了驚嚇
[00:00:47.700 --> 00:00:48.900]  又過了一年
[00:00:48.900 --> 00:00:54.000]  又會不會好像跑完一場馬拉松一樣
[00:00:54.000 --> 00:00:56.500]  滿身是疲乏
[00:00:57.000 --> 00:00:59.000]  終於是衝過終點
[00:00:59.000 --> 00:01:02.200]  又到達「2023年」呢?
[00:01:02.200 --> 00:01:04.800]  或者會不會好像覺得
[00:01:04.800 --> 00:01:07.800]  過去一年裡面好像什麼都沒做過一樣
[00:01:07.800 --> 00:01:09.100]  這樣又過了一年了
[00:01:09.100 --> 00:01:12.500]  其中有沒有你們的寫照呢?
[00:01:12.500 --> 00:01:17.800]  我有一點像是跑完馬拉松一樣
[00:01:17.800 --> 00:01:20.300]  所以現在都挺累的感覺
[00:01:20.300 --> 00:01:22.600]  那麼其實
[00:01:22.600 --> 00:01:24.600]  因為為什麼這麼說呢?
[00:01:24.900 --> 00:01:27.700]  其實我大家都明白過去幾年裡面
[00:01:27.700 --> 00:01:32.900]  我們都是在對抗疫情裡面疲於奔命
[00:01:32.900 --> 00:01:34.800]  我們都很小心
[00:01:34.800 --> 00:01:38.200]  避免我們會受到疫情裡面
[00:01:38.200 --> 00:01:40.500]  或者我們叫做確診中招
[00:01:40.500 --> 00:01:45.700]  但是有時候我們都最高峰
