
[00:00:00.000 --> 00:00:02.000]  剛才Crystal姐妹帶領我們敬拜
[00:00:02.000 --> 00:00:03.500]  好好在開始的時候說
[00:00:03.500 --> 00:00:06.600]  今天是聖靈降臨的主日
[00:00:06.600 --> 00:00:08.900]  也是今天是五巡節
[00:00:08.900 --> 00:00:11.600]  五巡節是一個猶太的節期
[00:00:11.600 --> 00:00:13.200]  又稱為修葛節
[00:00:13.200 --> 00:00:15.000]  或者叫做七七節
[00:00:15.000 --> 00:00:18.500]  是,麻煩可以開一下
[00:00:18.500 --> 00:00:19.500]  是,謝謝
[00:00:19.500 --> 00:00:23.000]  是和餘節有關的
[00:00:23.000 --> 00:00:25.500]  是餘節之後的五個十日
[00:00:25.500 --> 00:00:27.100]  五個十日,一巡就是十日
[00:00:27.100 --> 00:00:28.400]  所以叫做五巡節
[00:00:28.400 --> 00:00:31.000]  又叫做七,在七個七日,七七四十九
[00:00:31.000 --> 00:00:32.500]  即是七個七日之後
[00:00:32.500 --> 00:00:34.300]  亦都叫做七七節
[00:00:34.300 --> 00:00:39.600]  所以在昔日耶穌被釘在十字架的時間
[00:00:39.600 --> 00:00:42.000]  正正亦就是餘節的節期
[00:00:42.000 --> 00:00:44.700]  但是我們耶穌聖過死亡復活
[00:00:44.700 --> 00:00:46.600]  當祂復活,在地上行走
[00:00:46.600 --> 00:00:48.000]  去建立信徒
[00:00:48.000 --> 00:00:49.600]  祂在地上四十日
[00:00:49.600 --> 00:00:51.200]  然後就升天
[00:00:51.200 --> 00:00:53.200]  祂臨走升天的時間
[00:00:53.200 --> 00:00:56.800]  祂吩咐門徒要去等候聖靈
[00:00:56.800 --> 00:00:58.600]  不要離開耶路撒冷
[00:00:58.600 --> 00:01:01.600]  於是門徒就是禱告了十日
[00:01:01.600 --> 00:01:03.900]  然後四十日,耶穌在地上四十日
[00:01:03.900 --> 00:01:05.400]  門徒禱告了十日
[00:01:05.400 --> 00:01:07.800]  就在五十日之後,餘節
[00:01:07.800 --> 00:01:11.400]  就在五巡節的節期上面
[00:01:11.400 --> 00:01:14.900]  他們就經歷聖靈的降臨和充滿
[00:01:14.900 --> 00:01:18.000]  所以自從新約時代開始
[00:01:18.000 --> 00:01:20.800]  他們除了去慶祝
[00:01:20.800 --> 00:01:23.000]  基督徒除了慶祝五巡節之外
[00:01:23.000 --> 00:01:27.600]  也同時去慶祝聖靈降臨節
[00:01:27.600 --> 00:01:29.600]  我們就在這個一直到現在
[00:01:29.600 --> 00:01:33.200]  今天就是昔日復活節之後的五十日
[00:01:33.200 --> 00:01:37.000]  來到今天我們這個週末裡面
[00:01:37.000 --> 00:01:42.200]  教會說今年的講道主題就是活出愛
[00:01:42.200 --> 00:01:44.300]  而每一季都有它的分題
[00:01:44.300 --> 00:01:48.100]  第二季的分題就是愛惜自己
[00:01:48.100 --> 00:01:49.700]  我們要去活惜愛之前
[00:01:49.700 --> 00:01:53.000]  我首先要學習怎樣去愛惜自己
[00:01:53.000 --> 00:01:56.200]  而每一季我們都有一句金句
[00:01:56.200 --> 00:02:00.400]  這句金句金句就是羅馬書的八章十五至十六節
[00:02:00.400 --> 00:02:02.000]  我們一起讀這段經文
[00:02:02.000 --> 00:02:03.000]  一二三
[00:02:03.000 --> 00:02:06.000]  你們所受的不是勞僕的心
[00:02:06.000 --> 00:02:07.500]  認舊害怕
[00:02:07.500 --> 00:02:10.400]  所受的乃是兒子的心
[00:02:10.400 --> 00:02:13.400]  因此我們呼叫阿爸父
[00:02:13.400 --> 00:02:15.700]  聖靈與我們的心同症
[00:02:15.700 --> 00:02:18.200]  我們是神的兒女
[00:02:18.200 --> 00:02:22.000]  愛惜自己就是要很清楚認定
[00:02:22.000 --> 00:02:24.000]  我們在神裡面的身份
[00:02:24.000 --> 00:02:26.400]  我們是兒子是神的兒女
[00:02:26.400 --> 00:02:27.800]  我們不是勞僕
[00:02:27.800 --> 00:02:30.600]  誰幫我們一起去認定這個身份呢
[00:02:30.600 --> 00:02:32.000]  聖經說是聖靈
[00:02:32.000 --> 00:02:36.000]  聖靈與我們的心同症
[00:02:36.000 --> 00:02:38.700]  我們是神的兒女
[00:02:38.700 --> 00:02:41.500]  大家手上在按的
[00:02:41.500 --> 00:02:42.900]  或者沒有在按的
[00:02:42.900 --> 00:02:49.800]  都是一些很先進很精美的手機
[00:02:49.800 --> 00:02:51.800]  電子產品
[00:02:51.800 --> 00:02:55.800]  但是當大家去選購這些產品的時候
[00:02:55.800 --> 00:02:58.400]  除了選購它本身出廠的時候
[00:02:58.400 --> 00:03:01.200]  它的品質它的效能之外
[00:03:01.200 --> 00:03:03.400]  你們會不會同時去考慮一下
[00:03:03.400 --> 00:03:07.200]  它這個產品的維修保養是怎樣的
[00:03:07.200 --> 00:03:10.400]  會不會有一些功能更新
[00:03:10.400 --> 00:03:13.500]  究竟這些更新是免費給我們
[00:03:13.500 --> 00:03:15.900]  下載還是要收費的
[00:03:15.900 --> 00:03:18.600]  它會不會有一些增值的附件呢
[00:03:18.600 --> 00:03:21.800]  會不會配一個很美的手機殼
[00:03:21.800 --> 00:03:24.000]  或者是有一對很美的耳筒
[00:03:24.000 --> 00:03:28.600]  幫助我們聽一些很美的裡面的聲音
[00:03:28.600 --> 00:03:30.200]  神和創造我們都一樣
[00:03:30.200 --> 00:03:33.000]  我相信神創造我們是極其美好
[00:03:33.000 --> 00:03:34.300]  極其完美的
[00:03:34.300 --> 00:03:36.200]  我們出廠的時候
[00:03:36.200 --> 00:03:38.400]  我們都是完美的
[00:03:38.400 --> 00:03:41.600]  但是當人在社會裡面走走
[00:03:41.600 --> 00:03:44.600]  在社會在世界裡面去接受衝擊
[00:03:44.600 --> 00:03:46.900]  去接受磨擦的時候
[00:03:46.900 --> 00:03:48.100]  我們
[00:03:48.100 --> 00:03:49.900]  我自己也看看自己
[00:03:49.900 --> 00:03:52.300]  少不免都會
[00:03:52.300 --> 00:03:53.600]  刮花啦
[00:03:53.600 --> 00:03:55.000]  碰撞啦
[00:03:55.000 --> 00:03:56.300]  損壞啦
[00:03:56.300 --> 00:03:58.600]  甚至乎有機會我們偏差了
[00:03:58.600 --> 00:04:00.500]  偏離了我們原先
[00:04:00.500 --> 00:04:05.300]  神創造我們那個的功能效用等等
[00:04:05.300 --> 00:04:06.800]  愛惜自己
[00:04:06.800 --> 00:04:09.400]  就是我今天要跟大家分享的一個內容
[00:04:09.400 --> 00:04:12.400]  就是聖靈去建造我們的生命
[00:04:12.400 --> 00:04:15.700]  我相信沒有什麼比我們的生命好
[00:04:15.700 --> 00:04:17.300]  是有我們的創造者
[00:04:17.300 --> 00:04:19.100]  我們幫我們出廠的人
[00:04:19.100 --> 00:04:21.700]  常常時時刻刻在我們的生命裡面
[00:04:21.700 --> 00:04:22.800]  去幫助我們
[00:04:22.800 --> 00:04:24.300]  去建造我們
[00:04:24.300 --> 00:04:26.100]  就是沒有什麼比聖靈好
[00:04:26.100 --> 00:04:27.600]  可以去幫助我們
[00:04:27.600 --> 00:04:30.300]  去幫我們做一下保養
[00:04:30.300 --> 00:04:33.200]  幫我們有時維修一下我們
