
[00:00:00.000 --> 00:00:05.400]  今次的題目是以認罪和代求來建立神家
[00:00:05.400 --> 00:00:10.620]  其實我一連三個系列的題目都在配合今季的季題
[00:00:10.620 --> 00:00:12.620]  季題是建立門徒愛在神家
[00:00:12.620 --> 00:00:19.620]  李六任在晚間的讀經園或提示園有什麼題目都會提醒我們
[00:00:19.620 --> 00:00:23.120]  在這一段也跟大家看了兩遍
[00:00:23.120 --> 00:00:25.520]  重點就在中間
[00:00:25.520 --> 00:00:31.400]  我們如何能夠建立門徒愛在神家呢?就是透過欣賞、督責、認罪、悔改
[00:00:31.400 --> 00:00:34.660]  彼此相愛我們共同成長,一個屬靈的大家庭
[00:00:34.660 --> 00:00:37.940]  所以在過去的幾堂崇拜裡面
[00:00:37.940 --> 00:00:42.160]  在一月之前我們就以欣賞和勸架建立神家
[00:00:42.160 --> 00:00:43.220]  欣賞是什麼?
[00:00:43.220 --> 00:00:47.200]  欣賞就是我們看到弟兄姊妹有什麼值得我們讚賞的地方
[00:00:47.200 --> 00:00:48.960]  我們透過欣賞去建立它
[00:00:48.960 --> 00:00:50.280]  其實勸架也是的
[00:00:50.280 --> 00:00:52.880]  勸架就是我們看到弟兄姊妹可能走歪路
[00:00:52.880 --> 00:00:56.600]  或者我們給她一些屬靈的指引,讓她走回正路
[00:00:56.600 --> 00:01:00.400]  待會我們也會提及勸架在雅各書裡面
[00:01:00.400 --> 00:01:02.480]  在兩星期前的講道
[00:01:02.480 --> 00:01:05.360]  我們說以道歉和原諒去建立神家
[00:01:05.360 --> 00:01:07.040]  特別是在弟兄姊妹裡面
[00:01:07.040 --> 00:01:08.320]  我們也有很多結
[00:01:08.320 --> 00:01:12.360]  什麼結?就是可能之前的恩怨情仇
[00:01:12.360 --> 00:01:15.680]  你得罪我,我得罪你,諸如此類
[00:01:15.680 --> 00:01:22.140]  我們能不能夠像主人去赦免他的僕人一樣
[00:01:22.140 --> 00:01:24.320]  我們有很多債欠
[00:01:24.320 --> 00:01:26.560]  我們是一個大蒙饒恕者
[00:01:26.560 --> 00:01:27.880]  還記得兩星期前說
[00:01:27.880 --> 00:01:29.840]  我們是大蒙饒恕者
[00:01:29.840 --> 00:01:33.240]  當我們願意去原諒別人的時候
[00:01:33.240 --> 00:01:34.800]  其實就是釋放自己
[00:01:34.800 --> 00:01:36.480]  當你願意去原諒別人的時候
[00:01:36.480 --> 00:01:37.720]  其實就是釋放自己
[00:01:37.720 --> 00:01:39.280]  放開了自己的心中的懷抱
[00:01:39.280 --> 00:01:42.400]  不用再被仇結框著自己
[00:01:42.400 --> 00:01:46.420]  今天我們會說認罪和代求
[00:01:46.420 --> 00:01:49.680]  如何能夠以認罪和代求去建立神家呢?
[00:01:49.680 --> 00:01:53.580]  在剛才所讀的《雅各書》裡面已經說得非常清楚
[00:01:53.580 --> 00:01:56.320]  在進入經文之前,我們再有一個禱告
[00:01:56.320 --> 00:02:00.780]  秋天我們求祢帶領我們今晚的晚上
[00:02:00.780 --> 00:02:02.180]  一個特別的晚上
[00:02:02.180 --> 00:02:04.000]  一個三號風球的晚上
[00:02:04.000 --> 00:02:07.220]  一個超級風暴將要來臨的晚上
[00:02:07.220 --> 00:02:09.680]  但上帝祢的話語是永恆不變
[00:02:09.680 --> 00:02:11.420]  祢仍然要提醒我們
[00:02:11.420 --> 00:02:14.300]  我們如何去做一個合神理心意的門徒
[00:02:14.300 --> 00:02:18.760]  如何靠著祢的話語去建立門徒的群體
[00:02:18.760 --> 00:02:20.280]  這個屬靈的家庭
[00:02:20.280 --> 00:02:21.780]  求主祢帶領我們今晚
[00:02:21.780 --> 00:02:23.420]  讓我們能夠透過祢的話語
[00:02:23.420 --> 00:02:26.220]  讓我們的生命能夠再去認識祢更多
[00:02:26.220 --> 00:02:28.380]  祢的聖靈打開我們屬靈的心窗
[00:02:28.380 --> 00:02:29.960]  打開我們屬靈的耳朵
[00:02:29.960 --> 00:02:33.020]  讓祢的話語進入我們生命裡面
[00:02:33.020 --> 00:02:35.160]  讓孩子作為祢的僕人
[00:02:35.160 --> 00:02:38.360]  能夠很按正義去分解真理的道
[00:02:38.360 --> 00:02:40.060]  也靠著上帝的恩典
[00:02:40.060 --> 00:02:42.620]  將祢的話語能夠講述清楚
[00:02:42.620 --> 00:02:44.160]  能夠轉化生命
[00:02:44.160 --> 00:02:46.560]  求祢使用我這個流通的管子
[00:02:46.560 --> 00:02:49.260]  奉耶穌基督得性命治祈求 阿們
[00:03:16.760 --> 00:03:18.560]  下一個是很重要很重要
[00:03:18.560 --> 00:03:20.460]  想提醒在你們中間
[00:03:20.460 --> 00:03:25.460]  在我們中間的一些生命的訊息
[00:03:25.460 --> 00:03:27.660]  大家望向你左右 弟兄姊妹
[00:03:27.660 --> 00:03:28.960]  前後左右
[00:03:28.960 --> 00:03:31.960]  可能有些今晚平常沒有見到的
[00:03:31.960 --> 00:03:33.260]  我看到也很醒目
