
[00:00:00.000 --> 00:00:04.000]  網上的頂梓妹 網上的何清 早安
[00:00:04.000 --> 00:00:11.000]  沒想過新一年裡的第一篇稿會用這樣的形式和大家分享
[00:00:11.000 --> 00:00:13.000]  很多東西都沒想過
[00:00:13.000 --> 00:00:18.000]  但我站在這裡又覺得又熟悉又陌生的感覺
[00:00:18.000 --> 00:00:22.000]  很多東西不是在我們控制的之內
[00:00:22.000 --> 00:00:25.000]  我不知道為什麼 是不是大家不在
[00:00:25.000 --> 00:00:27.000]  我覺得這個台或者這裡特別冷
[00:00:27.000 --> 00:00:30.000]  不要說笑 真的有點冷
[00:00:30.000 --> 00:00:32.000]  不過都有一些人在我前面
[00:00:32.000 --> 00:00:36.000]  敬拜隊或者頂梓妹有幾個在我們前面
[00:00:36.000 --> 00:00:38.000]  不過我相信無論是任何的境況
[00:00:38.000 --> 00:00:42.000]  都無阻上帝今天要和我們每一個人去說話
[00:00:42.000 --> 00:00:45.000]  即使我們在家裡睡到昏昏沉沉
[00:00:45.000 --> 00:00:49.000]  剛剛才起床 頭又未gel 牙又未拆
[00:00:49.000 --> 00:00:53.000]  相信上帝的說話都能夠直達我們的心
[00:00:53.000 --> 00:00:59.000]  我們在聽到之前再一次將我們的生命交託給主
[00:00:59.000 --> 00:01:02.000]  我們再一次有一個簡短的祈禱
[00:01:02.000 --> 00:01:03.000]  真是天父我們多謝祢
[00:01:03.000 --> 00:01:08.000]  在這個早晨我們宣告祢是我們生命的主
[00:01:08.000 --> 00:01:10.000]  也是我們全個教會的主
[00:01:10.000 --> 00:01:14.000]  天父雖然我們不是在同一個時空
[00:01:14.000 --> 00:01:16.000]  我們透過Zoom去見面
[00:01:16.000 --> 00:01:19.000]  但我們相信祢正在我們中間
[00:01:19.000 --> 00:01:22.000]  每一個的生命 每一個都是祢所愛的兒女
[00:01:22.000 --> 00:01:24.000]  每一個都是按著祢的名去呼召的人
[00:01:24.000 --> 00:01:28.000]  所以天父我求祢保守我們親愛的弟兄姊妹
[00:01:28.000 --> 00:01:30.000]  親愛的學青和Mentor
[00:01:30.000 --> 00:01:34.000]  在家裡也好 願祢親自與我們同在
[00:01:34.000 --> 00:01:36.000]  也親自用祢的說話
[00:01:36.000 --> 00:01:39.000]  用微聲去和我們說話
