
[00:00:00.000 --> 00:00:01.320]  敬姐妹早晨
[00:00:01.320 --> 00:00:03.220]  主佑平安
[00:00:03.220 --> 00:00:06.620]  很開心今天我們又來參與敬拜
[00:00:06.620 --> 00:00:08.100]  在主日的時候
[00:00:08.100 --> 00:00:11.180]  來到一同親近主
[00:00:11.180 --> 00:00:14.840]  今天我們去到
[00:00:14.840 --> 00:00:16.260]  十二月
[00:00:16.260 --> 00:00:18.060]  差不多結尾了
[00:00:18.060 --> 00:00:20.060]  所以我們完成了
[00:00:20.060 --> 00:00:22.780]  上一次未完成的講章
[00:00:22.780 --> 00:00:25.220]  和大家繼續分享迦勒
[00:00:25.220 --> 00:00:27.900]  上次和大家講迦勒
[00:00:27.900 --> 00:00:30.180]  讓我們能夠像祂一樣
[00:00:30.180 --> 00:00:33.220]  祂特別的地方就是專心跟從神
[00:00:33.220 --> 00:00:36.140]  所以讓我們也像迦勒一樣
[00:00:36.140 --> 00:00:37.860]  專心跟從神
[00:00:37.860 --> 00:00:40.660]  來到年終的時候更加提醒我們自己
[00:00:40.660 --> 00:00:42.180]  跟從主到底
[00:00:42.180 --> 00:00:46.340]  跟從主開始新的一年
[00:00:46.340 --> 00:00:50.940]  跟從主帶領我們人生每一個歲月
[00:00:50.940 --> 00:00:56.260]  今天我們看《出入書下記》十四章六至十五節
[00:00:56.260 --> 00:01:01.420]  我們一起看看這十節的經文
[00:01:01.420 --> 00:01:05.620]  請大家如果可以的話跟著一起讀
[00:01:05.620 --> 00:01:10.220]  《出入書下記》十四章第六節請讀
[00:01:10.220 --> 00:01:15.540]  那時有大人來到吉甲見約書亞
[00:01:15.540 --> 00:01:21.780]  有基尼洗族耶夫尼的兒子迦勒對約書亞說
[00:01:22.100 --> 00:01:26.260]  耶和華在迦底斯巴尼亞指著我與你
[00:01:26.260 --> 00:01:28.980]  對神人摩西所說的話
[00:01:28.980 --> 00:01:30.580]  你都知道了
[00:01:30.580 --> 00:01:36.140]  耶和華的僕人摩西從迦底斯巴尼亞打發我窺探這地
[00:01:36.140 --> 00:01:38.740]  那時我正四十歲
[00:01:38.740 --> 00:01:41.140]  我按著心意回報他
[00:01:41.140 --> 00:01:47.380]  然而同我上去的眾弟兄使百姓的心消化
[00:01:47.380 --> 00:01:52.060]  但我專心跟從耶和華我的上帝
[00:01:53.060 --> 00:01:55.740]  第九節當日摩西起誓說
[00:01:55.740 --> 00:02:00.460]  你腳踏所踏之地要歸你和你的子孫永遠為業
[00:02:00.460 --> 00:02:05.420]  因為你專心跟從耶和華我的上帝
[00:02:05.420 --> 00:02:07.540]  這是摩西說的
