
[00:00:00.000 --> 00:00:02.000]  上個星期跟大家說到
[00:00:02.000 --> 00:00:05.500]  我們的教會好像一個冰雪的城堡
[00:00:05.500 --> 00:00:07.500]  有一天都會融化的
[00:00:07.500 --> 00:00:12.000]  基督徒相信這個世界是會有一天完結的
[00:00:12.000 --> 00:00:14.000]  聖經也不斷地提醒我們
[00:00:14.000 --> 00:00:17.500]  在完結的時候會有不同的徵兆
[00:00:17.500 --> 00:00:21.000]  我相信最近這兩年大家都經驗到了
[00:00:21.000 --> 00:00:24.500]  戰爭四處都有
[00:00:24.500 --> 00:00:27.500]  天災、人禍、極端的天氣
[00:00:27.500 --> 00:00:29.000]  從來都沒有的
[00:00:29.000 --> 00:00:31.500]  病毒還要不斷地演變
[00:00:31.500 --> 00:00:34.500]  我們的道德不斷地向下走
[00:00:34.500 --> 00:00:37.500]  不知道是不是這個原因
[00:00:37.500 --> 00:00:40.000]  你會發覺這個世界越來越多的下一代
[00:00:40.000 --> 00:00:42.000]  不再想生兒子了
[00:00:42.000 --> 00:00:48.500]  在這個皮休研究中心
[00:00:48.500 --> 00:00:51.500]  在去年很近就做了一個研究
[00:00:51.500 --> 00:00:57.000]  它說發現40%的美國人
[00:00:57.000 --> 00:01:00.000]  相信這個世界很快就會完結
[00:01:00.000 --> 00:01:02.500]  甚至十個當中有一個
[00:01:02.500 --> 00:01:05.500]  相信在生命結束之前
[00:01:05.500 --> 00:01:07.500]  這個世界就會完結
[00:01:07.500 --> 00:01:12.000]  我不知道大家怎麼看這個報告
[00:01:12.000 --> 00:01:15.500]  不過聖經不斷地告訴我們
[00:01:15.500 --> 00:01:19.500]  今天我們就是活在這個末世的時期
[00:01:19.500 --> 00:01:21.500]  今天我們所讀的經文
[00:01:21.500 --> 00:01:25.500]  告訴我們一個很重要末世將會有的徵兆
[00:01:25.500 --> 00:01:29.000]  什麼徵兆?就是迪基督的出現
[00:01:29.000 --> 00:01:34.000]  這個迪基督是代表著抵抗耶穌基督的勢力
[00:01:34.000 --> 00:01:38.000]  是會被建立甚至是會成熟
[00:01:38.000 --> 00:01:42.500]  雖然聖經所說的末世迪基督這個人物
[00:01:42.500 --> 00:01:46.000]  今天還沒有出現在世界的舞台
[00:01:46.000 --> 00:01:50.000]  不過我們可以說這個邪惡的勢力
[00:01:50.000 --> 00:01:54.000]  其實一直都沒有停止過在地上的工作
[00:01:54.000 --> 00:01:56.000]  使徒約翰就提醒我們
[00:01:56.000 --> 00:01:59.000]  越接近這個世界的末期
[00:01:59.000 --> 00:02:03.000]  這個迪基督的勢力就會越強大
[00:02:03.000 --> 00:02:06.500]  我們今天一起通過我們剛才所讀的經文
[00:02:06.500 --> 00:02:09.500]  看看在這個因為迪基督的勢力
[00:02:09.500 --> 00:02:14.000]  而帶來世界這麼多的困難與挑戰之中
[00:02:14.000 --> 00:02:18.500]  基督徒應該怎樣去生活
[00:02:18.500 --> 00:02:20.000]  對基督徒來說
[00:02:20.000 --> 00:02:23.000]  有人說生命就好像一個障礙賽
[00:02:23.000 --> 00:02:27.000]  在這麼多的障礙 這麼多的紛擾之中
[00:02:27.000 --> 00:02:31.500]  我們仍然需要為神跑到終點
[00:02:31.500 --> 00:02:33.000]  而同一個時間
[00:02:33.000 --> 00:02:34.500]  聖經亦都告訴我們
[00:02:34.500 --> 00:02:37.500]  撒旦其實一直都在用同一個時間
[00:02:37.500 --> 00:02:41.500]  來招聚祂的跟隨者
[00:02:41.500 --> 00:02:45.000]  撒旦用的方法很簡單
[00:02:45.000 --> 00:02:48.000]  讓人不信神
[00:02:48.000 --> 00:02:53.000]  將一些不屬神的東西佔據了人的心靈
[00:02:53.000 --> 00:02:55.500]  或者是讓人覺得
[00:02:55.500 --> 00:02:58.500]  用一個錯誤的方式來相信神
[00:02:58.500 --> 00:03:00.000]  又或者令他覺得
[00:03:00.000 --> 00:03:02.000]  這個世界有很長時間才完結
[00:03:02.000 --> 00:03:04.000]  甚至不會完結的
[00:03:04.000 --> 00:03:05.500]  大部分時間
[00:03:05.500 --> 00:03:08.000]  活在世上的人可以盡情的享受
[00:03:08.000 --> 00:03:11.000]  世界所提供他們一切的玩樂
[00:03:11.000 --> 00:03:14.000]  不過 使徒約翰告訴我們
[00:03:14.000 --> 00:03:19.000]  小子們如今時末時了
[00:03:19.000 --> 00:03:23.000]  就是說這個世界不單止是會完結
[00:03:23.000 --> 00:03:28.000]  甚至我們現在就是身處在一個末世的時代
[00:03:28.000 --> 00:03:32.000]  聖經裡面不單止是使徒約翰這樣說的
[00:03:32.000 --> 00:03:34.000]  雖然說他用詞有點不同
[00:03:34.000 --> 00:03:36.000]  但是身處大部分的作者
[00:03:36.000 --> 00:03:38.500]  包括一個保羅、彼得、雅各和猶大
[00:03:38.500 --> 00:03:41.500]  他們都是說到這個世界
[00:03:41.500 --> 00:03:47.000]  現在我們就是活在神創造的末期
[00:03:47.000 --> 00:03:50.000]  雖然沒有人知道這個世界末日什麼時候來
[00:03:50.000 --> 00:03:51.000]  不過可以肯定的
[00:03:51.000 --> 00:03:53.000]  大家都應該很肯定的說
[00:03:53.000 --> 00:03:55.500]  一天比一天近 是不是
[00:03:55.500 --> 00:04:00.000]  對於當時約翰時期的信徒來說
[00:04:00.000 --> 00:04:02.000]  一個重要的指標
[00:04:02.000 --> 00:04:06.500]  一個很重要的末世的徵兆已經開始了
[00:04:06.500 --> 00:04:09.000]  就是約翰所說的敵基督
[00:04:09.000 --> 00:04:12.000]  很多的敵基督出現
[00:04:12.000 --> 00:04:14.000]  大家不知道信不信天氣報告
[00:04:14.000 --> 00:04:16.500]  如果天氣報告說將會有一個雷暴
[00:04:16.500 --> 00:04:19.000]  一個暴風雨來臨
[00:04:19.000 --> 00:04:21.000]  你出門看一看
[00:04:21.000 --> 00:04:22.000]  不是的
[00:04:22.000 --> 00:04:25.000]  天上有烏雲密佈
