
[00:00:00.000 --> 00:00:03.800]  各位朋友今天是年初二
[00:00:03.800 --> 00:00:08.000]  我想很多都過了不一樣的新年
[00:00:08.000 --> 00:00:12.600]  在這裡也跟大家恭祝一下新年快樂
[00:00:12.600 --> 00:00:15.400]  身體健康 主恩滿入
[00:00:15.400 --> 00:00:17.600]  我想這個也是很真實的
[00:00:17.600 --> 00:00:21.000]  身體健康並不是必然
[00:00:21.000 --> 00:00:23.000]  都是神自己的恩典
[00:00:23.000 --> 00:00:25.800]  也是讓我們能夠紀念自己
[00:00:25.800 --> 00:00:29.000]  年年有新的氣息就多去為主作供
[00:00:29.000 --> 00:00:31.000]  今年教會開始
[00:00:31.000 --> 00:00:34.000]  我們無論是落響聖賢
[00:00:34.000 --> 00:00:37.000]  還是成長班查經的時段
[00:00:37.000 --> 00:00:42.000]  都用了很大部份的經文在使徒行傳裏面
[00:00:42.000 --> 00:00:45.000]  每一天提一小段的經文
[00:00:45.000 --> 00:00:48.000]  再安靜一下 同神去祈禱
[00:00:48.000 --> 00:00:52.000]  不知道大家覺得這樣的做法
[00:00:52.000 --> 00:00:55.000]  或者這樣的習慣有沒有建立起來
[00:00:55.000 --> 00:00:59.000]  記得我自己看到一天
[00:00:59.000 --> 00:01:01.000]  有一天的經文裏面是說到使徒行傳
[00:01:01.000 --> 00:01:04.000]  第三章十三節
[00:01:04.000 --> 00:01:09.000]  經文裏面說
[00:01:09.000 --> 00:01:12.000]  阿伯拉罕 以撒 亞各的神
[00:01:12.000 --> 00:01:14.000]  就是我們列祖的神
[00:01:14.000 --> 00:01:17.000]  已經榮耀了他的僕人耶穌
[00:01:17.000 --> 00:01:20.000]  你們卻把他交付比拉多
[00:01:20.000 --> 00:01:22.000]  比拉多定義要釋放他
[00:01:22.000 --> 00:01:26.000]  你們竟在比拉多面前棄絕了他
[00:01:26.000 --> 00:01:31.000]  這段經文特別觸動了我自己的思緒
[00:01:31.000 --> 00:01:33.000]  所以成為了今天的講題
[00:01:33.000 --> 00:01:36.000]  耶和華神是我們的神
[00:01:36.000 --> 00:01:40.000]  一句阿伯拉罕 以撒 亞各的神
[00:01:40.000 --> 00:01:42.000]  就是我們列祖的神
[00:01:42.000 --> 00:01:44.000]  對於猶太人來說
[00:01:44.000 --> 00:01:46.000]  他們並不陌生
[00:01:46.000 --> 00:01:51.000]  而且更加是他們一切信仰的根基所在
[00:01:51.000 --> 00:01:56.000]  多謝耶和華神揀選猶太人的先祖
[00:01:56.000 --> 00:01:59.000]  阿伯拉罕成為了萬國的祝福
[00:01:59.000 --> 00:02:03.000]  在創世紀十二章一到三節
[00:02:03.000 --> 00:02:05.000]  耶和華對阿伯拉罕說
[00:02:05.000 --> 00:02:08.000]  你要離開本地 本族 父家
[00:02:08.000 --> 00:02:10.000]  往我所要指示你的地方去
[00:02:10.000 --> 00:02:13.000]  我必叫你成為大國
[00:02:13.000 --> 00:02:14.000]  我必賜福給你
[00:02:14.000 --> 00:02:16.000]  叫你的名為大
[00:02:16.000 --> 00:02:18.000]  你也要叫別人得福
[00:02:18.000 --> 00:02:21.000]  為你祝福的 我必賜福於他
[00:02:21.000 --> 00:02:24.000]  那救助你的 我必救助他
[00:02:24.000 --> 00:02:27.000]  地上的萬族都要因你得福
[00:02:27.000 --> 00:02:31.000]  之後又和阿伯拉罕再次
[00:02:31.000 --> 00:02:35.000]  在創世紀十七章六到九節裏面
[00:02:35.000 --> 00:02:37.000]  再次向他納約
[00:02:37.000 --> 00:02:43.000]  神說 我必使你的後裔極其繁多
[00:02:43.000 --> 00:02:47.000]  各道從你而納 君王從你而出
[00:02:47.000 --> 00:02:50.000]  我要與你並你世世代代的後裔
[00:02:50.000 --> 00:02:53.000]  建立我的約 作永遠的約
[00:02:53.000 --> 00:02:56.000]  是要作你和你後裔的神
[00:02:56.000 --> 00:03:01.000]  我要將你現在居住的地
[00:03:01.000 --> 00:03:02.000]  就是迦南全地
[00:03:02.000 --> 00:03:05.000]  賜給你和你的後裔 永遠為業
[00:03:05.000 --> 00:03:07.000]  我亦都作他們的神
[00:03:07.000 --> 00:03:09.000]  神又對阿伯拉罕說
[00:03:09.000 --> 00:03:12.000]  你和你的後裔必世世代代
[00:03:12.000 --> 00:03:14.000]  遵守我的約
[00:03:15.000 --> 00:03:19.000]  本來神的心意是要藉著一個人
[00:03:19.000 --> 00:03:22.000]  一個民族去祝福其他的人
[00:03:22.000 --> 00:03:25.000]  去祝福萬族萬國
[00:03:25.000 --> 00:03:30.000]  但是以色列人卻是自詡為神的子民
[00:03:30.000 --> 00:03:33.000]  擁有神所賜的土地為業
[00:03:33.000 --> 00:03:38.000]  又被稱為神的選民而沾沾自喜
[00:03:38.000 --> 00:03:41.000]  忘記了和神所建立的約
[00:03:41.000 --> 00:03:45.000]  他們一次又一次不斷地去得罪神
[00:03:45.000 --> 00:03:49.000]  雖然很多次都受神自己的教導
[00:03:49.000 --> 00:03:53.000]  派著先知 聖經很多的話語提醒他們
