
[00:00:00.000 --> 00:00:03.080]  謝主仔細睇下呢首歌嘅時候
[00:00:03.080 --> 00:00:07.920]  發覺佢同今日嘅經文嘅訊息係非常之配合
[00:00:07.920 --> 00:00:14.120]  我相信示範都花咗好多嘅心思去選曲
[00:00:14.120 --> 00:00:18.280]  詩歌都話當我哋願意去順服主導嘅時候
[00:00:18.280 --> 00:00:23.640]  我哋係可以經歷得到團契交易嘅甜蜜
[00:00:23.640 --> 00:00:25.880]  今日我就畀個題目佢叫做
[00:00:25.880 --> 00:00:28.480]  生命之道 團契生活
[00:00:28.480 --> 00:00:32.800]  啲兩組嘅四字詞相信大家都唔陌生
[00:00:32.800 --> 00:00:35.480]  我哋都經常會講
[00:00:35.480 --> 00:00:37.600]  首先講下生命之道
[00:00:37.600 --> 00:00:40.960]  可能比起你去讀聖經睇到呢四個字
[00:00:40.960 --> 00:00:44.840]  你更加多嘅機會就係從教會嗰度聽到
[00:00:44.840 --> 00:00:47.400]  呢一個嘅查經課程
[00:00:47.400 --> 00:00:49.840]  因為原來生命之道係
[00:00:49.840 --> 00:00:55.880]  中辰2007年嘅時候就已經開始嘅一個信徒讀經運動
[00:00:55.880 --> 00:01:01.760]  然後呢我哋教會喺2016年嘅時候就開始去參與呢個課程
[00:01:01.760 --> 00:01:04.120]  咁所以呢我去一路參加嘅時候
[00:01:04.120 --> 00:01:06.680]  我數下自己啲筆記呢我就列出咗
[00:01:06.680 --> 00:01:10.520]  原來已經不經不覺讀咗咁多個書卷
[00:01:10.520 --> 00:01:12.880]  咁我都唔知有冇漏到
[00:01:12.880 --> 00:01:15.880]  原來呢我哋都好熟悉㗎喇喎
[00:01:15.880 --> 00:01:18.840]  原來生命之道呢一樣嘢
[00:01:18.840 --> 00:01:20.440]  咁賣個廣告呢
[00:01:20.440 --> 00:01:24.800]  咁如果你平時嘅星期四晚係有時間
[00:01:24.800 --> 00:01:27.240]  都想同我哋一齊去讀聖經
[00:01:27.240 --> 00:01:29.800]  聽講解做功課嘅話呢
[00:01:29.800 --> 00:01:32.960]  咁我哋鼓勵你可以報名參加啦
[00:01:32.960 --> 00:01:35.120]  咁無論你之前有冇參加過
[00:01:35.120 --> 00:01:38.040]  我哋下一期呢就係九月開始呀
[00:01:38.040 --> 00:01:43.200]  咁就係讀貼薩羅利加前後書嘅
[00:01:43.200 --> 00:01:46.120]  咁跟住講到團契生活呢
[00:01:46.120 --> 00:01:47.480]  我哋都唔陌生啦
[00:01:47.480 --> 00:01:49.000]  因為呢講起團契
[00:01:49.000 --> 00:01:53.400]  咁一般嚟講你都會諗起喺我哋教會裏面有一啲單位
[00:01:53.400 --> 00:01:56.320]  佢哋就叫做團契
[00:01:56.320 --> 00:02:02.400]  咁唔知你數得出教會裏面幾多個團契嘅名呢
[00:02:02.400 --> 00:02:04.480]  除咗你自己返緊嗰個啦
[00:02:04.480 --> 00:02:09.000]  咁你仲可以數得出幾多個團契嘅名呢
[00:02:09.000 --> 00:02:10.320]  你知唔知教會裏面
[00:02:10.320 --> 00:02:13.840]  我哋教會其實有幾多個團契嘅呢
[00:02:13.840 --> 00:02:15.800]  咁你仲記得喺個零月之前呀
[00:02:15.800 --> 00:02:17.120]  即係五月三十一號呢
[00:02:17.120 --> 00:02:18.840]  咁教會係主日嚟嘅
[00:02:18.840 --> 00:02:21.000]  就下晝呢舉辦咗一個活動喎
[00:02:21.000 --> 00:02:28.400]  咁大家有冇人記得嗰日裏面我哋做咗啲乜嘢呀
[00:02:28.400 --> 00:02:31.040]  食嘢跟住呢
[00:02:31.040 --> 00:02:34.960]  行樓梯打乒乓球
[00:02:34.960 --> 00:02:35.720]  係
[00:02:35.720 --> 00:02:39.880]  嗰日嘅下晝呢教會就好似一個家庭聚會咁樣
[00:02:39.880 --> 00:02:41.240]  好似一個開放日咁樣
[00:02:41.240 --> 00:02:43.000]  咁當日呢有導賞團啦
[00:02:43.000 --> 00:02:46.960]  仲有啲導賞員呢就帶我哋去行下教會唔同嘅樓層
[00:02:46.960 --> 00:02:48.640]  可能平時好少機會去嘅
[00:02:48.640 --> 00:02:50.680]  咁我哋就睇下原來嗰個樓層
[00:02:50.680 --> 00:02:54.560]  嘅嗰樣嘢或者個設計呢係有啲故事喺裏面嘅
[00:02:54.560 --> 00:02:55.920]  咁我哋一齊去聽下啦
[00:02:55.920 --> 00:02:58.720]  咁我哋又會有乒乓球比賽啦
[00:02:58.720 --> 00:03:03.000]  咁好深刻嗰個波亞斯團
[00:03:03.000 --> 00:03:06.040]  波亞斯團就嗰隊叫做咩滴滴波呀
[00:03:06.040 --> 00:03:10.440]  無論你贏定輸佢哋都會嗌滴滴波
[00:03:10.440 --> 00:03:12.160]  一定勝
[00:03:12.160 --> 00:03:13.720]  無論贏定輸佢哋都會嗌嘅
[00:03:13.720 --> 00:03:15.640]  咁呀非常之好氣氛呀
[00:03:15.640 --> 00:03:16.880]  咁呀所以呢
[00:03:16.880 --> 00:03:19.280]  係呀教會呢唔同嘅團契
[00:03:19.280 --> 00:03:21.760]  咁呀嗰日呢就
[00:03:21.760 --> 00:03:25.120]  唔知大家呢有冇印象呢攞過呢一份嘢喎
[00:03:25.120 --> 00:03:26.520]  咁樣
[00:03:26.520 --> 00:03:28.480]  有冇攞過呀
[00:03:28.480 --> 00:03:29.920]  咁如果你未攞過呢
[00:03:29.920 --> 00:03:32.920]  出面應該仲有頭先見到呢仲有少量你可以攞嘅
[00:03:32.920 --> 00:03:35.040]  或者上網下載都得㗎喎
[00:03:35.040 --> 00:03:37.360]  咁呢份係乜嘢嚟嘅呢原來
[00:03:37.360 --> 00:03:41.360]  教會裏面呢真係唔同年齡層呢都有唔同嘅團契㗎
[00:03:41.360 --> 00:03:45.400]  咁呢喺呢一日之前呢就邀請咗每一個團契
[00:03:45.400 --> 00:03:49.680]  你諗一樣食物去形容下你嗰個團契
[00:03:49.680 --> 00:03:52.240]  就好似一啲咩食物咁呢
[00:03:52.240 --> 00:03:54.840]  咁呢我就再capture啲圖喺呢度好啦
[00:03:54.840 --> 00:03:58.400]  咁呀有人話個團契呢似菠蘿油呀
[00:03:58.400 --> 00:04:00.480]  似蘋果
[00:04:00.480 --> 00:04:01.560]  似咖啡
[00:04:01.560 --> 00:04:02.680]  呃
[00:04:02.680 --> 00:04:03.400]  仲有咩呀
[00:04:03.400 --> 00:04:05.200]  仲有盤菜
[00:04:05.200 --> 00:04:06.600]  咁呀
[00:04:06.600 --> 00:04:10.120]  例如呢呢個帕提全味豆咁樣
[00:04:10.120 --> 00:04:11.200]  咁呢我都唔識嘅
[00:04:11.200 --> 00:04:13.720]  原來係一啲唔同味道嘅糖
[00:04:13.720 --> 00:04:15.200]  咁呀仲有一啲呢
[00:04:15.200 --> 00:04:17.440]  可能你睇到佢揀乜嘢呢
[00:04:17.440 --> 00:04:20.360]  你都估到佢係咩年紀嘅團契
[00:04:20.360 --> 00:04:22.800]  有人呢就揀苦瓜啦
[00:04:22.800 --> 00:04:24.200]  清水啦
[00:04:24.200 --> 00:04:25.880]  白飯啦咁樣
[00:04:25.880 --> 00:04:29.920]  咁年青啲嗰啲可能就係嗰啲糖呀盤菜呀嗰啲咁
[00:04:29.920 --> 00:04:31.280]  都幾有特色嘅喎
[00:04:31.280 --> 00:04:36.480]  咁我數一數呢原來裏面呢就講緊我哋教會其中11個團契
[00:04:36.480 --> 00:04:38.080]  4個小組
