
[00:00:00.000 --> 00:00:06.140]  我們今天要看的題目是兩種人生兩種死亡
[00:00:06.140 --> 00:00:11.520]  上一次跟大家分享的題目是三個地名三種提醒
[00:00:11.520 --> 00:00:14.080]  還記得嗎?
[00:00:14.080 --> 00:00:17.920]  所以今天我們要講兩種人生兩種死亡
[00:00:17.920 --> 00:00:23.300]  為什麼要講這個呢?因為在三國義記上我們已經來到結束了
[00:00:23.300 --> 00:00:27.640]  在三國義記上26章一直到31章最後一章
[00:00:27.640 --> 00:00:33.260]  記載了蘇羅他人生的結束
[00:00:33.260 --> 00:00:41.460]  所以蘇羅就死了 31章記載關乎他死亡的事
[00:00:41.460 --> 00:00:46.060]  所以這裡可以說是回顧一下蘇羅的人生
[00:00:46.060 --> 00:00:50.940]  蘇羅的人生也有最後帶出來他的死亡
[00:00:50.940 --> 00:00:54.000]  接著我們要看另一種人生
[00:00:54.000 --> 00:00:58.600]  另一種死亡 我們先買個關子
[00:00:58.600 --> 00:01:00.660]  所以第一我們先來看一看
[00:01:00.660 --> 00:01:02.440]  在三國義記上最後
[00:01:02.440 --> 00:01:08.600]  看到蘇羅他人因為打菲利士人的時候受了重傷
[00:01:08.600 --> 00:01:13.460]  結果他要自盡而死
[00:01:13.460 --> 00:01:17.800]  結束了一個王朝的時代
[00:01:17.800 --> 00:01:21.660]  所以我們看到這個可以說是一個朝代的結束
[00:01:21.660 --> 00:01:25.500]  也是他的死亡帶來他人生的結束
[00:01:25.500 --> 00:01:28.060]  所以第一我們來看看蘇羅之死
[00:01:28.060 --> 00:01:32.160]  第一種人生第一種死亡
[00:01:32.160 --> 00:01:34.200]  蘇羅之死我們發覺
[00:01:34.200 --> 00:01:39.580]  在這裡看到的就是他糊塗一生而結束
[00:01:39.580 --> 00:01:41.880]  糊塗一生而結束 為什麼呢?
[00:01:41.880 --> 00:01:44.700]  這個在三國義記上26章21節
[00:01:44.700 --> 00:01:48.540]  我們一起讀一讀這節經文好嗎?請大家同聲讀出
[00:01:48.540 --> 00:02:08.500]  蘇羅說:「我有罪了,我疑大衛你可以回來,因你今日看我的性命為寶貴,我必不再加害於你。我是糊塗人,大大錯了。」
[00:02:08.500 --> 00:02:12.340]  這裡我們看到是蘇羅追殺大衛的時候
[00:02:12.340 --> 00:02:16.180]  大衛放他一命
[00:02:16.180 --> 00:02:19.240]  不止一次 兩次之多
[00:02:19.240 --> 00:02:26.940]  所以他就覺得自己一次再一次的來做錯事
[00:02:26.940 --> 00:02:30.780]  或者是對大衛有過錯
[00:02:30.780 --> 00:02:35.760]  所以他就跟大衛說這段話
