
[00:00:00.000 --> 00:00:10.000]  提升這杯平安,感謝主有機會再跟大家見面,或者是有機會再來台灣這個地方。
[00:00:10.000 --> 00:00:20.000]  今天的題目是為結成求平安,先給大家看看這個圖片。今年年初大家應該看很多了,對吧?
[00:00:20.000 --> 00:00:28.000]  這個是什麼來的呢?是老虎嗎?還是病貓?
[00:00:28.000 --> 00:00:31.000]  還是老虎?
[00:00:31.000 --> 00:00:38.000]  到底這個對我們來說已經過了今年2022年了,過了5個月了。
[00:00:38.000 --> 00:00:47.000]  好像是怎麼說呢?很短啊,很快啊應該說,因為好幾個月好像是沒有出門。
[00:00:47.000 --> 00:00:53.000]  我們辦公室只是兩個禮拜前才恢復正常。
[00:00:53.000 --> 00:00:59.000]  之前是我們同工要回辦公室,辦公室是需要申請的。
[00:00:59.000 --> 00:01:08.000]  我們都是要求大家2月份開始到4月份,4月中旬,都是在家辦公。
[00:01:08.000 --> 00:01:17.000]  所以我跟同工開玩笑,就是早上8點到晚上12點,我都是對著電腦的。
[00:01:17.000 --> 00:01:23.000]  我相信很多同工都是這樣,所以他們很想很想快一點回辦公室。
[00:01:23.000 --> 00:01:30.000]  整天都坐在同一個地方看著電腦,對人真的不健康。
[00:01:30.000 --> 00:01:40.000]  不過這兩年給我們更加看見的是什麼呢?就是我們的健康與否,不是我們自己說的。
[00:01:40.000 --> 00:01:44.000]  我們的環境,我們的城市對我們有很大的影響。
[00:01:44.000 --> 00:01:55.000]  所以過去我們春節或者很多新年的時候有些祝賀的用詞,現在我們可能明年吧,再想一想。
[00:01:55.000 --> 00:01:59.000]  其實我們的城市平安,我們才有平安。
[00:01:59.000 --> 00:02:02.000]  我們的城市健康,我們才健康。
[00:02:02.000 --> 00:02:06.000]  對嗎?不只單單是我個人的這種的追求。
[00:02:06.000 --> 00:02:12.000]  過去我們是這樣,我們覺得我們一家平安,我們健健康康就好了。
[00:02:12.000 --> 00:02:17.000]  但是其實我們健康與否也影響我們身邊的人。
[00:02:17.000 --> 00:02:20.000]  所以現在時代不一樣,環境不一樣。
[00:02:20.000 --> 00:02:25.000]  今天的經文這裡字比較小,但是剛才已經念出來了。
[00:02:25.000 --> 00:02:28.000]  我這裡的版本有一點不一樣。
[00:02:28.000 --> 00:02:36.000]  剛才的應該是新一本吧,這個是核核本的修訂版,所以我這裡不再念這幾段的經文了。
[00:02:36.000 --> 00:03:02.000]  如果我想這裡提出,耶利米書,耶利米寫這個書或者這封信的背景是,在一個國破家亡的時代,或者這個時代快來臨了,這個不好的環境快來臨了,有什麼話要對他們說呢?
[00:03:02.000 --> 00:03:20.000]  耶利米被呼叫做先知,他不是做一個他很喜悅很喜歡做的事情,也不是他所走的路都是平平穩穩的,很順利的這一種,完全不是。
[00:03:20.000 --> 00:03:39.000]  他要對那個時代的人說話,不管是君皇還是先知還是老百姓,他們都不喜歡聽,因為那個時候那些人,神需要他們明白今天的觀景是因為你們的列祖犯罪了。
[00:03:39.000 --> 00:03:46.000]  有一次神給機會他們悔改,他們沒有悔改,到今天的地步。
[00:03:46.000 --> 00:04:05.000]  這裡提到二十九章開始的時候,提到耶利米先知要對這一幫被奴的人,留在這裡的人應該說是,從耶路撒冷送信給被奴信傳的長老,只是先知等等。
[00:04:05.000 --> 00:04:34.000]  也有去到之巴比倫這一幫人裡面,他寫信給這一幫人做什麼呢?他們是誰呢?其實這裡提到就是被奴信傳的人,所以說在打仗,戰亂過程當中,他們留在這裡,他們沒有面對,不是沒有面對,而是還生存的人。
[00:04:34.000 --> 00:04:46.000]  好像今天在烏克蘭打仗一樣,很多人死亡,但是有些人還存活的。耶利米寫信給這一幫人,告訴他們什麼呢?
[00:04:46.000 --> 00:05:05.000]  這一幫人,其實我相信,我們可以說移民或者被移民,這個課題其實張牧師很熟了,移民或者被移民的。但是我們知道在聖經裡面,其實有很多這樣的例子,很多這樣的例子。
