
[00:00:00.000 --> 00:00:03.000]  好,各位兄弟姐妹,你們好,我很開心在這麼特別的日子裏面
[00:00:03.000 --> 00:00:05.000]  跟大家來分享神的話語
[00:00:05.000 --> 00:00:08.000]  大家覺不覺得這個世界其實是很不公平的
[00:00:08.000 --> 00:00:10.000]  男女是不平等的
[00:00:10.000 --> 00:00:13.000]  因爲女性的地位始終是高過我們男性的
[00:00:13.000 --> 00:00:16.000]  所以我在家裏面是最卑微的那個
[00:00:16.000 --> 00:00:18.000]  因爲家裏面有兩個女性
[00:00:18.000 --> 00:00:21.000]  還有就是怎麼呢,你想想母親節
[00:00:21.000 --> 00:00:24.000]  英國是3月2個禮拜就是母親節
[00:00:24.000 --> 00:00:27.000]  在香港來的媽媽
[00:00:27.000 --> 00:00:30.000]  就會跟自己的子女或者丈夫說
[00:00:30.000 --> 00:00:33.000]  母親節要跟我慶祝,可能丈夫就會說
[00:00:33.000 --> 00:00:36.000]  不是5月2個禮拜的嗎?
[00:00:36.000 --> 00:00:39.000]  我們來到英國,就要融入當地的社會
[00:00:39.000 --> 00:00:42.000]  那我們就一定要在3月10日
[00:00:42.000 --> 00:00:45.000]  要在5月2日慶祝
[00:00:45.000 --> 00:00:48.000]  那你猜5月2日第二個禮拜你會不會放棄?
[00:00:48.000 --> 00:00:51.000]  當然不會,我不可以數點忘綜
[00:00:51.000 --> 00:00:54.000]  我們香港也是5月2個禮拜的,所以你留意一下
[00:00:54.000 --> 00:00:57.000]  在英國的女士裏有兩個母親節要過
[00:00:57.000 --> 00:01:00.000]  但是我們男士呢
[00:01:00.000 --> 00:01:03.000]  都是隻有6月3個禮拜父親節
[00:01:03.000 --> 00:01:06.000]  都是一個禮拜而已,所以呢
[00:01:06.000 --> 00:01:09.000]  很不公平的,還有一件事不公平的
[00:01:09.000 --> 00:01:12.000]  所以我要問大家,在我們當中有哪一個人
[00:01:12.000 --> 00:01:15.000]  你是獨男獨女,不是陰獨獨獨
[00:01:15.000 --> 00:01:18.000]  是單獨獨獨,只有你一個兒子一個女兒
[00:01:18.000 --> 00:01:21.000]  沒有兄弟姐妹的,就是沒有哥哥姐妹的
[00:01:21.000 --> 00:01:24.000]  請你舉手,這些是幸福的人
[00:01:24.000 --> 00:01:27.000]  你只有3個,這樣的時候
[00:01:27.000 --> 00:01:30.000]  如果你家裏多過一個兄弟姐妹
[00:01:30.000 --> 00:01:33.000]  你去想一想,你覺不覺得你父母有偏心?
[00:01:33.000 --> 00:01:36.000]  有,每個都入頭
[00:01:36.000 --> 00:01:39.000]  我都覺得我父母很偏心,特別是我媽媽
[00:01:39.000 --> 00:01:42.000]  我試過6年班整個拍桌罵我媽媽的
[00:01:42.000 --> 00:01:45.000]  我說你太過分了,你這麼偏心,只疼一個
[00:01:45.000 --> 00:01:48.000]  我說當然不是,我怎麼會只疼一個
[00:01:48.000 --> 00:01:51.000]  我說不可以的,我是一個很公義的人
[00:01:51.000 --> 00:01:54.000]  因爲他只疼我,很辛苦
[00:01:54.000 --> 00:01:57.000]  所以帶我回學校,照顧我放學,我是沒有機會去玩的
[00:01:57.000 --> 00:02:00.000]  原來愛得太苦了,知道嗎?原來太疼你的時候
[00:02:00.000 --> 00:02:03.000]  反而你要面對的壓力會更大
[00:02:03.000 --> 00:02:06.000]  在母親節裏面,我們想一想
[00:02:06.000 --> 00:02:09.000]  特別想一想,你小時候
[00:02:09.000 --> 00:02:12.000]  你喜歡爸爸多還是喜歡媽媽多?
[00:02:12.000 --> 00:02:15.000]  因爲你小時候,那個年代做父親的
[00:02:15.000 --> 00:02:18.000]  往往是早出晚歸
[00:02:18.000 --> 00:02:21.000]  你是很少會接觸到爸爸的
[00:02:21.000 --> 00:02:24.000]  我小時候,就是60年代
[00:02:24.000 --> 00:02:27.000]  爸爸都是很晚回來,那時候可能是9點多10點鐘
[00:02:27.000 --> 00:02:30.000]  但我們那個年代8點多鐘就要睡覺了
[00:02:30.000 --> 00:02:33.000]  好了,帶回廁所是誰呢?就是媽媽
[00:02:33.000 --> 00:02:36.000]  所以媽媽和我們的關係
[00:02:36.000 --> 00:02:39.000]  就會密一些,但是再想一想你小時候
[00:02:39.000 --> 00:02:42.000]  你疼媽媽多還是希望見到爸爸多一些
[00:02:42.000 --> 00:02:45.000]  可能物以罕爲貴
[00:02:45.000 --> 00:02:48.000]  小時候,你會覺得爸爸好一些
[00:02:48.000 --> 00:02:51.000]  可能爸爸回來的時候,帶點東西給你喫
[00:02:51.000 --> 00:02:54.000]  就會很開心,因爲媽媽經常對着你
[00:02:54.000 --> 00:02:57.000]  你有什麼不對,她就會說你
[00:02:57.000 --> 00:03:00.000]  你做功課做得慢,又怎麼搞的?
[00:03:00.000 --> 00:03:03.000]  但是男性可能很豁達,吵什麼呢?
[00:03:03.000 --> 00:03:06.000]  別吵了,你會覺得爸爸好
[00:03:06.000 --> 00:03:09.000]  但是當年紀慢慢大的時候
[00:03:09.000 --> 00:03:12.000]  這個愛就有些逆轉了
[00:03:12.000 --> 00:03:15.000]  因爲長大了已經懂事,可能做父親有些事令你失望
[00:03:15.000 --> 00:03:18.000]  你已經長大了,媽媽不會經常罵你
[00:03:18.000 --> 00:03:21.000]  反而她會了解你多一些
[00:03:21.000 --> 00:03:24.000]  所以有些人會對媽媽那份愛濃厚一些
[00:03:24.000 --> 00:03:27.000]  我不得不承認,因爲做母親
[00:03:27.000 --> 00:03:30.000]  你懷胎的時候,不止9個月或者10個月
[00:03:30.000 --> 00:03:33.000]  嬰兒在你肚子裏孕育着
[00:03:33.000 --> 00:03:36.000]  關係是深入一些的,我們要接受這個事實
[00:03:36.000 --> 00:03:39.000]  但是有一個問題會產生什麼呢?
[00:03:39.000 --> 00:03:42.000]  就是,本來夫婦是很相愛的
[00:03:42.000 --> 00:03:45.000]  但是往往有時候有了嬰兒之後
[00:03:45.000 --> 00:03:48.000]  反而成爲了杜火士
[00:03:48.000 --> 00:03:51.000]  千萬不要兩個人不開心地說
[00:03:51.000 --> 00:03:54.000]  不如我們生了嬰兒會好一點,未必的
[00:03:54.000 --> 00:03:57.000]  反而帶來的挑戰會更大,因爲每個人有不同的性格
[00:03:57.000 --> 00:04:00.000]  有不同的喜好,有時候就爲了嬰兒
[00:04:00.000 --> 00:04:03.000]  而產生了衝突
[00:04:03.000 --> 00:04:06.000]  但是要提醒女性,因爲母愛很偉大
[00:04:06.000 --> 00:04:09.000]  我見過很多做母親,當嬰兒出生的時候
[00:04:09.000 --> 00:04:12.000]  就會把專注力放在嬰兒身上
[00:04:12.000 --> 00:04:15.000]  輕忽了自己的丈夫
[00:04:15.000 --> 00:04:18.000]  甚至,有時候嬰兒
[00:04:18.000 --> 00:04:21.000]  都是躺在夫婦之間,中間的
[00:04:21.000 --> 00:04:24.000]  千萬不要,聖經裏面記得
[00:04:24.000 --> 00:04:27.000]  鎖羅門判斷一件什麼事
[00:04:27.000 --> 00:04:30.000]  就是嬰兒躺在媽媽身邊,宅鬼死去
[00:04:30.000 --> 00:04:33.000]  所以千萬不要
[00:04:33.000 --> 00:04:36.000]  還有些更加過分的
[00:04:36.000 --> 00:04:39.000]  我見過這些人
[00:04:39.000 --> 00:04:42.000]  是推着丈夫去另一個房間睡
[00:04:42.000 --> 00:04:45.000]  因爲太吵了,鼻鼾聲,不行
[00:04:45.000 --> 00:04:48.000]  讓我看女嬰兒,這絕對違反聖經原則
[00:04:48.000 --> 00:04:51.000]  聖經裏怎麼說,夫婦是不可以分檔而分的
[00:04:51.000 --> 00:04:54.000]  在《哥倫多書》裏面有說
[00:04:54.000 --> 00:04:57.000]  只是爲了要祈禱,之後還要住在一起
[00:04:57.000 --> 00:05:00.000]  免得被魔鬼來乘機引誘
[00:05:00.000 --> 00:05:03.000]  這是聖經的教導,不過我又找到了一個例外
[00:05:03.000 --> 00:05:06.000]  就是,如果你的配偶
[00:05:06.000 --> 00:05:09.000]  中了COVID,你可以分房睡
[00:05:09.000 --> 00:05:12.000]  不分房睡,也可以尖頭對腳
[00:05:12.000 --> 00:05:15.000]  然後睡,這樣就避免中招
[00:05:15.000 --> 00:05:18.000]  但是,如果他康復之後
[00:05:18.000 --> 00:05:21.000]  同樣要在一間房,同一間房睡
[00:05:21.000 --> 00:05:24.000]  這是聖經的原則,真的
[00:05:24.000 --> 00:05:27.000]  不是開玩笑,但是有時候我就見到
[00:05:27.000 --> 00:05:30.000]  很多的父母往往有時候就爲了兒女
[00:05:30.000 --> 00:05:33.000]  產生一些爭拗
[00:05:33.000 --> 00:05:36.000]  今天我們會從聖經裏面一個的事例
[00:05:36.000 --> 00:05:39.000]  去反省,我們要怎樣去面對
[00:05:39.000 --> 00:05:42.000]  很簡單,你看到這些新聞
[00:05:42.000 --> 00:05:45.000]  就是往往有時候就是
[00:05:45.000 --> 00:05:48.000]  一個人罵女兒,但是太太
[00:05:48.000 --> 00:05:51.000]  就維護女兒,結果兩夫婦之間就起了衝突
[00:05:51.000 --> 00:05:54.000]  所以有問題,好了,我們要相信一件事
[00:05:54.000 --> 00:05:57.000]  就是街牛天成,如果你記得的時候
