
[00:00:00.000 --> 00:00:08.440]  在我們聽上帝話語之前,同心祈禱。
[00:00:08.440 --> 00:00:13.040]  天父,我們要聆聽祢的話語,
[00:00:13.040 --> 00:00:17.480]  特別是藉著祢愛子耶穌基督向我們啟示的說話,
[00:00:17.480 --> 00:00:22.000]  求祢差遣聖靈在我們當中運行開啟祢的心,
[00:00:22.000 --> 00:00:26.480]  讓我們明白祢的心意。
[00:00:26.480 --> 00:00:34.200]  祈禱交托奉耶穌基督的名,阿們。
[00:00:34.200 --> 00:00:38.080]  今日我最主要講道的經文是
[00:00:38.080 --> 00:00:43.480]  大家剛才聽讀經完和我們讀出的第四段,
[00:00:43.480 --> 00:00:49.160]  即是《路加福音》第十一章,一到十三節。
[00:00:49.160 --> 00:00:51.200]  當我預備這篇講章的時候,
[00:00:51.200 --> 00:00:56.560]  我最主要是參考和合本修訂版,
[00:00:56.560 --> 00:01:02.760]  所以如果大家手上拿著的是新標點和合本,
[00:01:02.760 --> 00:01:08.600]  可能會有少許的差異。
[00:01:08.600 --> 00:01:12.160]  很多基督徒讀這段經文,或者聽這段經文的時候,
[00:01:12.160 --> 00:01:20.280]  很容易、很自然就會跟《馬太福音》兩段經文放在一起,
[00:01:20.280 --> 00:01:24.600]  內容是很相近的。
[00:01:24.600 --> 00:01:28.480]  《路加福音》第十一章,一到十三節,
[00:01:28.480 --> 00:01:31.520]  和《馬太福音》第六章,九到十五節,
[00:01:31.520 --> 00:01:34.880]  即是我們習慣的主禱文,
[00:01:34.880 --> 00:01:39.040]  以及《馬太福音》第七章,七到十二節,
[00:01:39.040 --> 00:01:46.840]  內容基本上差不多相同。
[00:01:46.840 --> 00:01:51.920]  《路加福音》是將這兩段變成一段,
[00:01:51.920 --> 00:01:57.080]  但是《馬太福音》就將它分成兩段。
[00:01:57.080 --> 00:01:59.240]  《馬太福音》將它分成兩段,
[00:01:59.240 --> 00:02:02.400]  如果你讀《馬太福音》的內容,
[00:02:02.400 --> 00:02:09.360]  你就會留意《馬太福音》第六章在耶穌教主禱文之前,
[00:02:09.360 --> 00:02:16.880]  最主要是耶穌教他的門徒應該怎樣祈禱,
[00:02:16.880 --> 00:02:20.880]  因為在那段經文提到耶穌教他的門徒,
[00:02:20.880 --> 00:02:26.680]  你不要學那些法利賽人這樣的祈禱態度。
[00:02:26.680 --> 00:02:34.240]  接著在第九到十五節,就提供一個禱文的範本,
[00:02:34.240 --> 00:02:38.480]  因為耶穌提醒他們的門徒,
[00:02:38.480 --> 00:02:43.400]  他的門徒要有一個正確的祈禱態度。
[00:02:43.400 --> 00:02:45.720]  但是《馬太章》,
[00:02:45.720 --> 00:02:51.240]  今天我們看《路加福音》的十一章後面的部分,
