
[00:00:00.000 --> 00:00:04.000]  我們稍微複習一下
[00:00:04.000 --> 00:00:06.000]  我們在前面的訊息裡面講到戈洛西書
[00:00:06.000 --> 00:00:10.000]  我們講說要脫去舊人
[00:00:10.000 --> 00:00:17.000]  脫去嫉妒 紛爭 姦淫 這些不慎節
[00:00:17.000 --> 00:00:21.000]  許許多多的這些不好的東西要把它脫去
[00:00:21.000 --> 00:00:24.000]  然後要穿上什麼 新的人
[00:00:24.000 --> 00:00:31.000]  穿上什麼呢 穿上憐憫 恩慈 謙虛 溫柔 忍耐
[00:00:31.000 --> 00:00:35.000]  穿上這一切的美德 是不是
[00:00:35.000 --> 00:00:40.000]  那麼脫去跟穿上都是持續的
[00:00:40.000 --> 00:00:43.000]  是一生之久要做的
[00:00:43.000 --> 00:00:46.000]  不是說你聽完了今天牧師講完之後
[00:00:46.000 --> 00:00:50.000]  開始舊的都已經沒了 新的也穿上了
[00:00:50.000 --> 00:00:52.000]  每一天這樣穿一點 不是
[00:00:52.000 --> 00:00:56.000]  每一天都要脫去 每一天都要穿上 是不是
[00:00:56.000 --> 00:01:04.000]  給你旁邊說脫去你的舊人 穿上新人
[00:01:04.000 --> 00:01:07.000]  好 那就準備
[00:01:07.000 --> 00:01:12.000]  今天繼續 保羅在講到穿上新人之後
[00:01:12.000 --> 00:01:14.000]  他接著就開始講什麼
[00:01:14.000 --> 00:01:17.000]  他說要用各樣的智慧
[00:01:17.000 --> 00:01:23.000]  把基督的道理豐豐富富的存在心裡
[00:01:23.000 --> 00:01:28.000]  其實十六節這邊有兩篇信息
[00:01:28.000 --> 00:01:33.000]  我今天講了上集 那下次講下集
[00:01:33.000 --> 00:01:37.000]  而且 哥路西書第三章十六節
[00:01:37.000 --> 00:01:41.000]  跟以夫所書第五章十八節
[00:01:41.000 --> 00:01:44.000]  這兩節神經要連在一起講的
[00:01:44.000 --> 00:01:47.000]  哥路西書第三章十六節講到
[00:01:47.000 --> 00:01:51.000]  被神的話所充滿
[00:01:51.000 --> 00:01:54.000]  以夫所書第五章十八節講到
[00:01:54.000 --> 00:01:57.000]  被聖靈充滿
[00:01:57.000 --> 00:02:00.000]  所以一個是被聖道充滿
[00:02:00.000 --> 00:02:02.000]  另外一個是被聖靈充滿
[00:02:02.000 --> 00:02:07.000]  基督徒一定這兩個都要有
[00:02:07.000 --> 00:02:12.000]  但是哥路西書第三章十六節這個地方
[00:02:12.000 --> 00:02:19.000]  他講到被神的話所充滿
[00:02:19.000 --> 00:02:21.000]  我仔細的來思想一下
[00:02:21.000 --> 00:02:24.000]  我想今天我要跟大家講的這個題目
[00:02:24.000 --> 00:02:30.000]  原本我是要講聖道充滿的生活
[00:02:30.000 --> 00:02:33.000]  我把它改成蠻有聖道的生活
[00:02:33.000 --> 00:02:35.000]  請告訴我 跟你旁邊人問一下
[00:02:35.000 --> 00:02:37.000]  有什麼差別啊
[00:02:37.000 --> 00:02:44.000]  聖道充滿 蠻有聖道 有什麼差別
[00:02:44.000 --> 00:02:50.000]  你們看我沒有用 你跟旁邊人分享
[00:02:50.000 --> 00:02:56.000]  這是我學習怎麼樣用這個power point
[00:02:56.000 --> 00:02:59.000]  這是我畫圖 畫得不太好
[00:02:59.000 --> 00:03:02.000]  因為有很多東西裡面還不太清楚怎麼用它
[00:03:02.000 --> 00:03:04.000]  但是很簡單 我要表達的就是什麼
[00:03:04.000 --> 00:03:06.000]  我解釋給大家聽
[00:03:06.000 --> 00:03:10.000]  什麼叫做充滿 什麼叫做蠻有差別在哪裡
[00:03:10.000 --> 00:03:11.000]  我們大家都學過數學
[00:03:11.000 --> 00:03:14.000]  這個叫做標圖 是不是
[00:03:14.000 --> 00:03:16.000]  那你看從那個零點開始
[00:03:16.000 --> 00:03:18.000]  我們基督徒那個零點就是好像是
[00:03:18.000 --> 00:03:21.000]  你開始信了耶穌 重生得救了
[00:03:21.000 --> 00:03:23.000]  從你重生得救的那一個moment開始了
[00:03:23.000 --> 00:03:27.000]  你的生命就開始要怎麼樣子呢
[00:03:27.000 --> 00:03:32.000]  就要蠻有基督長成的聲量
[00:03:32.000 --> 00:03:35.000]  就是尾夫所說那邊所說的
[00:03:35.000 --> 00:03:40.000]  長大成人 蠻有基督長成的聲量
[00:03:40.000 --> 00:03:43.000]  也就是像基督的意思了
[00:03:43.000 --> 00:03:46.000]  那你看見我們基督徒的生命應該是從得救
[00:03:46.000 --> 00:03:50.000]  一直到終點 得勝 對不對
[00:03:50.000 --> 00:03:54.000]  所以那個線段是從
[00:03:54.000 --> 00:04:05.000]  那叫什麼 數學已經忘光了
[00:04:05.000 --> 00:04:11.000]  這一個斜角的線你就可以看見代表什麼
[00:04:11.000 --> 00:04:16.000]  這是我們一生一直持續的 不間斷的
[00:04:16.000 --> 00:04:19.000]  生命不斷的拖去救人 穿上新人
[00:04:19.000 --> 00:04:21.000]  拖去救人 穿上新人
[00:04:21.000 --> 00:04:24.000]  然後一直到一個地步怎麼樣
[00:04:24.000 --> 00:04:28.000]  越來越像耶穌基督 懂這個意思嗎
[00:04:28.000 --> 00:04:32.000]  可是什麼叫做充滿呢
[00:04:32.000 --> 00:04:39.000]  充滿就是從上面垂直的線段 有沒有
[00:04:39.000 --> 00:04:41.000]  所以我這個概念是用
[00:04:41.000 --> 00:04:43.000]  聖靈充滿的概念來講
[00:04:43.000 --> 00:04:48.000]  什麼叫做聖靈充滿 什麼叫做蠻有聖靈
[00:04:48.000 --> 00:04:50.000]  這兩個是不一樣的
[00:04:50.000 --> 00:04:54.000]  聖靈充滿我可以今天在講到之前
[00:04:54.000 --> 00:04:56.000]  我跟主禱告主啊 求你聖靈充滿我
[00:04:56.000 --> 00:04:58.000]  好了 那我當我講到的時候
[00:04:58.000 --> 00:05:01.000]  我被聖靈充滿 我一直講到 是不是
[00:05:01.000 --> 00:05:06.000]  但是講完到之後呢
[00:05:06.000 --> 00:05:11.000]  吃飯 吃飯 是不是
[00:05:11.000 --> 00:05:15.000]  我就不再需要聖靈充滿了 你懂我意思嗎
[00:05:15.000 --> 00:05:19.000]  因為聖靈充滿是為了讓我們傳福音
[00:05:19.000 --> 00:05:22.000]  做見證 完成主的大使命
[00:05:22.000 --> 00:05:25.000]  祂主要的功能在這裡
[00:05:25.000 --> 00:05:27.000]  但是蠻有聖靈不一樣
[00:05:27.000 --> 00:05:33.000]  蠻有聖靈是生命 是結出果子來
[00:05:33.000 --> 00:05:36.000]  所以我從聖靈充滿跟蠻有聖靈來解釋
[00:05:36.000 --> 00:05:38.000]  充滿跟蠻有 同樣的
[00:05:38.000 --> 00:05:45.000]  聖道充滿跟蠻有聖道不一樣
[00:05:45.000 --> 00:05:49.000]  蠻有聖道也是指的我一生之久
[00:05:49.000 --> 00:05:52.000]  神的化在我的裡面
[00:05:52.000 --> 00:05:56.000]  累積不斷的 豐豐富富的存在我的心裡面
[00:05:56.000 --> 00:06:02.000]  神的化就不斷的更新改變我這個人
[00:06:02.000 --> 00:06:06.000]  以至於越來越像基督 你懂我意思嗎
[00:06:06.000 --> 00:06:09.000]  好 所以我們今天要講的是
[00:06:09.000 --> 00:06:14.000]  蠻有聖道的生活 明白嗎
[00:06:14.000 --> 00:06:17.000]  保祿在這裡講說要用各樣的智慧
[00:06:17.000 --> 00:06:21.000]  把基督的道理豐豐富富的存在心裡
[00:06:21.000 --> 00:06:23.000]  這裡講的基督的道理就是
[00:06:23.000 --> 00:06:26.000]  The Word of the Lord
[00:06:26.000 --> 00:06:28.000]  The Word of Christ
[00:06:28.000 --> 00:06:32.000]  就是基督的化
[00:06:32.000 --> 00:06:34.000]  現在你說什麼
[00:06:34.000 --> 00:06:39.000]  我用聖道是為了跟聖靈來做一個對照
[00:06:39.000 --> 00:06:41.000]  都是聖靈
[00:06:41.000 --> 00:06:45.000]  The Holy Word The Holy Bible
[00:06:45.000 --> 00:06:48.000]  是不是 神的化是聖道
[00:06:48.000 --> 00:06:51.000]  神的化就是基督的化
[00:06:51.000 --> 00:06:55.000]  這個化保祿說要把它豐豐富富的
[00:06:55.000 --> 00:06:59.000]  存在我們心裡面
[00:06:59.000 --> 00:07:01.000]  存是什麼意思呢
[00:07:01.000 --> 00:07:06.000]  存原文的意思就是居住的意思
[00:07:06.000 --> 00:07:13.000]  就是說你到歐洲去旅遊 了不起給你去一個月好不好
[00:07:13.000 --> 00:07:15.000]  但是你去旅遊是短暫的
[00:07:15.000 --> 00:07:19.000]  你不是住在那邊 是不是
[00:07:19.000 --> 00:07:22.000]  可是這個地方講的是什麼呢
[00:07:22.000 --> 00:07:25.000]  講的就是你住在Torrance
[00:07:25.000 --> 00:07:27.000]  你的家在這裡
[00:07:27.000 --> 00:07:35.000]  你是California的residence
[00:07:35.000 --> 00:07:38.000]  你是在這個地方住一個旅館住了幾天
[00:07:38.000 --> 00:07:41.000]  因此我們要讓基督的道理
[00:07:41.000 --> 00:07:45.000]  基督的化 神的化存在我們的心裡面
[00:07:45.000 --> 00:07:49.000]  也就是讓它不斷的在我們的心裡面
[00:07:49.000 --> 00:07:51.000]  那這是什麼意思呢
[00:07:51.000 --> 00:07:53.000]  這個就是約翰福音十五章第七節的意思
