
[00:00:00.000 --> 00:00:05.600]  我們今天會一起看到《新命紀》的十五、十六章
[00:00:05.600 --> 00:00:07.880]  我猜《新命紀》看到這裡
[00:00:07.880 --> 00:00:13.240]  其實我們大部份的弟兄姊妹都開始掌握到
[00:00:13.240 --> 00:00:17.080]  就是《新命紀》其實是摩西
[00:00:17.080 --> 00:00:19.320]  他將在西乃山
[00:00:19.320 --> 00:00:22.600]  上帝向以色列人頒佈的律法
[00:00:22.600 --> 00:00:30.600]  來自己消化然後再去教導那群新一代的以色列人
[00:00:30.600 --> 00:00:34.600]  因為他們的前一輩都已經死在曠野
[00:00:34.600 --> 00:00:39.000]  新一代的以色列人他們預備進入迦南地
[00:00:39.000 --> 00:00:40.840]  相隔四十年之後
[00:00:40.840 --> 00:00:45.120]  摩西知道這群人沒有經歷過出埃及的事件
[00:00:45.120 --> 00:00:49.680]  沒有親自見過上帝怎樣讓紅海分開
[00:00:49.680 --> 00:00:52.560]  沒有親自在西乃山見摩西
[00:00:52.560 --> 00:00:56.280]  將兩塊寫了律法的法板拿下來
[00:00:56.280 --> 00:00:58.640]  摩西要去鼓勵
[00:00:58.640 --> 00:01:03.120]  也要很鄭重去幫助這群新一代的以色列人
[00:01:03.120 --> 00:01:04.640]  能夠去重視
[00:01:04.640 --> 00:01:09.280]  和能夠真是願意去到應許之地
[00:01:09.280 --> 00:01:14.080]  真是去遵守實行耶和華的誡命律法
[00:01:14.080 --> 00:01:17.920]  摩西他將《新命紀》來給他們
[00:01:17.920 --> 00:01:20.360]  或者來向他們講述的時候
[00:01:20.360 --> 00:01:25.360]  其實是有很小心去想過要怎樣講
[00:01:25.360 --> 00:01:31.120]  才能夠去勸勉去鼓勵到這群新一代的以色列人
[00:01:31.120 --> 00:01:33.440]  他們不要重蹈覆轍
[00:01:33.440 --> 00:01:36.680]  而真是重視上帝的教導
[00:01:36.680 --> 00:01:38.520]  所以我們在《新命紀》
[00:01:38.520 --> 00:01:39.800]  我們會發現
[00:01:39.800 --> 00:01:43.160]  雖然它有不少的律例誡命
[00:01:43.160 --> 00:01:47.720]  其實在摩西五經的其他書卷都會見到
[00:01:47.720 --> 00:01:52.280]  但是它是有不少的不同
