
[00:00:00.000 --> 00:00:01.000]  快到聖誕節了
[00:00:01.000 --> 00:00:04.000]  雖然聖誕節不是在12月24日或25日
[00:00:04.000 --> 00:00:07.000]  但是聖經沒有告訴我們是哪一個日子
[00:00:07.000 --> 00:00:09.000]  其實可能是在春天的
[00:00:09.000 --> 00:00:10.000]  為什麼呢
[00:00:10.000 --> 00:00:13.000]  因為牧羊人在夜間按著姦次看守羊群
[00:00:13.000 --> 00:00:17.000]  很冷的時候是不會在郊外看守羊群的
[00:00:17.000 --> 00:00:19.000]  我們不去探討哪一個日子
[00:00:19.000 --> 00:00:23.000]  在聖誕節裡面我們經常都會聽慣了一些訊息
[00:00:23.000 --> 00:00:26.000]  所以我作為一個牧者在聖誕節講到是最痛苦的
[00:00:26.000 --> 00:00:28.000]  因為來來去去都是那些事情
[00:00:28.000 --> 00:00:31.000]  但是我今天會和大家從另一個角度去看
[00:00:31.000 --> 00:00:33.000]  就是那幾個博士
[00:00:33.000 --> 00:00:35.000]  那幾個智者
[00:00:35.000 --> 00:00:37.000]  來看看朝見耶穌
[00:00:37.000 --> 00:00:42.000]  來看看我們怎樣去面對我們的敬拜
[00:00:42.000 --> 00:00:45.000]  我們基督徒恆常都會敬拜
[00:00:45.000 --> 00:00:48.000]  但是會不會有時候我們慣常地去做一些事情
[00:00:48.000 --> 00:00:50.000]  而忘記了當中的意義
[00:00:50.000 --> 00:00:52.000]  或者我們應有的操守呢
[00:00:52.000 --> 00:00:54.000]  我們首先來看看
[00:00:54.000 --> 00:00:58.000]  原來敬拜是一個智者的行動
[00:00:58.000 --> 00:00:59.000]  聖經裡面說博士
[00:00:59.000 --> 00:01:02.000]  但是原來真正的意思原來是什麼呢
[00:01:02.000 --> 00:01:05.000]  就是聰明的人有智慧的人
[00:01:05.000 --> 00:01:08.000]  他從東方見到一顆很特別的星
[00:01:08.000 --> 00:01:11.000]  現在我們就稱之為百里行之星
[00:01:11.000 --> 00:01:14.000]  他就給那顆星這個就是王者之星
[00:01:14.000 --> 00:01:16.000]  應該有一個君王出現的
[00:01:16.000 --> 00:01:20.000]  於是他就去尋找這個君王
[00:01:20.000 --> 00:01:22.000]  好了這些是智者
[00:01:22.000 --> 00:01:24.000]  聖經裡面說知識
[00:01:24.000 --> 00:01:26.000]  有屬世的知識或者智慧
[00:01:26.000 --> 00:01:29.000]  和屬天的智慧是會有分別的
[00:01:29.000 --> 00:01:32.000]  正如大家都知道有些人讀書很厲害
[00:01:32.000 --> 00:01:35.000]  但是可能只是活在象牙塔裡面
[00:01:35.000 --> 00:01:37.000]  可能年考第一
[00:01:37.000 --> 00:01:40.000]  但是可能他不知道民間疾苦
[00:01:40.000 --> 00:01:42.000]  所以有時候有些人
[00:01:42.000 --> 00:01:45.000]  他讀書很厲害但是不懂做人
[00:01:45.000 --> 00:01:48.000]  我自己其實很欣賞一些人
[00:01:48.000 --> 00:01:49.000]  特別是什麼呢
[00:01:49.000 --> 00:01:50.000]  我不知道大家熟不熟悉呢
[00:01:50.000 --> 00:01:52.000]  香港有個戶外團契
[00:01:52.000 --> 00:01:55.000]  戶外團契就是那些過來人
[00:01:55.000 --> 00:01:57.000]  但是他們信了主改變了
[00:01:57.000 --> 00:01:59.000]  他們是很懂得做人
[00:01:59.000 --> 00:02:00.000]  很有禮貌
[00:02:00.000 --> 00:02:02.000]  還有做事是很懂得怎麼來
[00:02:02.000 --> 00:02:04.000]  但是去面面俱圓的
