
[00:00:00.000 --> 00:00:04.000]  有些東西想讓大家考考大家的眼力
[00:00:04.000 --> 00:00:07.000]  這裡有兩隻動物
[00:00:07.000 --> 00:00:10.400]  大家分不分辨哪隻是鴨,哪隻是我呢?
[00:00:10.400 --> 00:00:12.800]  哪隻是鴨呀?
[00:00:12.800 --> 00:00:15.000]  你的右邊是鴨
[00:00:15.000 --> 00:00:18.400]  左邊就是我,是嗎?
[00:00:18.400 --> 00:00:20.200]  你怎麼知道的?這麼聰明的?
[00:00:20.200 --> 00:00:22.400]  有計的
[00:00:22.400 --> 00:00:27.200]  對了,這個就清楚一點了
[00:00:27.200 --> 00:00:29.400]  頭頂拱起一塊的
[00:00:29.400 --> 00:00:31.000]  那個就是我
[00:00:31.000 --> 00:00:34.200]  頭頂很圓滑的就是鴨
[00:00:34.200 --> 00:00:37.400]  這隻你們分不分辨到?
[00:00:37.400 --> 00:00:39.000]  燒了之後
[00:00:39.000 --> 00:00:42.200]  他們寫出來你就看到了
[00:00:42.200 --> 00:00:43.800]  那邊那隻就是鴨
[00:00:43.800 --> 00:00:47.400]  燒了出來就不容易看了
[00:00:47.400 --> 00:00:51.000]  所以最近有一間老牌食肆
[00:00:51.000 --> 00:00:57.400]  被海關以違反商品說明條例檢控
[00:00:57.400 --> 00:00:58.800]  罰了幾千元
[00:00:59.000 --> 00:01:03.000]  因為他們用燒鴨來沖燒鵝
[00:01:03.000 --> 00:01:08.800]  那為什麼食肆要用燒鴨來沖燒鵝呢?
[00:01:08.800 --> 00:01:10.200]  因為鵝貴很多
[00:01:10.200 --> 00:01:13.600]  對呀,鵝貴很多
[00:01:13.600 --> 00:01:16.800]  鵝可以賣到五百元一隻
[00:01:16.800 --> 00:01:20.000]  燒鴨就百多二百元
[00:01:20.000 --> 00:01:22.600]  你想想那個價錢相差多遠
[00:01:22.600 --> 00:01:23.800]  賺多很多
[00:01:24.400 --> 00:01:29.400]  那些不法的商人就會用這些手段來以假亂真
[00:01:29.400 --> 00:01:32.600]  其實信仰上都會有這樣的情況
[00:01:32.600 --> 00:01:35.400]  今天我就想和大家藉著
[00:01:35.400 --> 00:01:37.800]  主耶穌就坐無花果樹
[00:01:37.800 --> 00:01:40.200]  和潔淨聖段這段經文
[00:01:40.200 --> 00:01:41.800]  我們一起來看看
[00:01:41.800 --> 00:01:44.800]  到底怎樣才是真正的信心
[00:01:44.800 --> 00:01:47.600]  可能大家都忘記了
[00:01:47.600 --> 00:01:50.400]  其實我們這一季是在說馬可福音的
[00:01:50.400 --> 00:01:52.800]  因為前幾個星期
[00:01:52.800 --> 00:01:55.800]  有外來講員又有特別的主人
[00:01:55.800 --> 00:01:57.600]  停了沒有說
[00:01:57.600 --> 00:01:59.800]  今天這個星期就開始說
[00:01:59.800 --> 00:02:02.200]  下個星期杜生說完最後那段
[00:02:02.200 --> 00:02:04.000]  就完了這個馬可福音
[00:02:04.000 --> 00:02:07.200]  其實馬可福音有一個特點
[00:02:07.200 --> 00:02:09.800]  就是在它的結構的安排上面
[00:02:09.800 --> 00:02:12.800]  全卷的馬可福音有十六章
[00:02:12.800 --> 00:02:15.200]  最後一章第十六章
[00:02:15.200 --> 00:02:18.000]  就是說耶穌復活的事情
[00:02:18.000 --> 00:02:20.000]  前面那十五章
[00:02:20.600 --> 00:02:23.000]  佔了十章 頭十章
[00:02:23.000 --> 00:02:24.200]  其實都是說
[00:02:24.200 --> 00:02:27.600]  耶穌出來傳道那三年半的事情
[00:02:27.600 --> 00:02:30.000]  接著那五章
[00:02:30.000 --> 00:02:31.000]  就是說
[00:02:31.000 --> 00:02:33.800]  耶穌釘十字架之前
[00:02:33.800 --> 00:02:35.600]  那一個星期所發生的事情
[00:02:35.600 --> 00:02:37.200]  你想想
[00:02:37.200 --> 00:02:39.600]  作者都很重視那一個星期
[00:02:39.600 --> 00:02:41.200]  那一個星期的事情
[00:02:41.200 --> 00:02:45.000]  發生在第十一章至第十五章的段落裡
[00:02:45.000 --> 00:02:47.400]  而在這整個段落裡
[00:02:48.000 --> 00:02:54.600]  聖殿也是貫穿這幾個段落的幾章經文裡
[00:02:54.600 --> 00:02:55.800]  是一個很重要的主題
[00:02:55.800 --> 00:02:57.800]  聖殿是一個很重要的主題
[00:02:57.800 --> 00:03:00.200]  第十一章就是結成聖殿
[00:03:00.200 --> 00:03:01.600]  十一、十二章
[00:03:01.600 --> 00:03:03.600]  主耶穌就在聖殿裡
[00:03:03.600 --> 00:03:06.600]  跟那些宗教領袖辯論
[00:03:06.600 --> 00:03:08.000]  十三章
[00:03:08.000 --> 00:03:11.600]  主耶穌預言聖殿將被拆毀
[00:03:11.600 --> 00:03:12.400]  十四章
[00:03:12.400 --> 00:03:14.400]  耶穌被捕受審
[00:03:14.400 --> 00:03:15.800]  十五章
[00:03:16.400 --> 00:03:18.400]  耶穌釘十字架的時候
[00:03:18.400 --> 00:03:19.400]  祂死的時候
[00:03:19.400 --> 00:03:21.400]  聖殿裡的孟子
[00:03:21.400 --> 00:03:23.800]  就從上到下列為兩半
[00:03:23.800 --> 00:03:27.000]  我們看到聖殿在這個段落裡
[00:03:27.000 --> 00:03:28.600]  是一個相當重要的主題
[00:03:28.600 --> 00:03:30.800]  而今天我們看的這段經文
[00:03:30.800 --> 00:03:33.600]  就是《無花果樹》被奏作
[00:03:33.600 --> 00:03:35.600]  和結成聖殿
[00:03:35.600 --> 00:03:37.000]  在這個段落裡
[00:03:37.000 --> 00:03:39.200]  作者也用了一個特別結構的形式
[00:03:39.200 --> 00:03:40.800]  就是三文字的結構
[00:03:40.800 --> 00:03:42.200]  怎樣三文字化呢?
[00:03:42.200 --> 00:03:45.800]  十二至十四節就說奏作《無花果樹》
[00:03:46.400 --> 00:03:49.400]  十五至十九節就說結成聖殿
[00:03:49.400 --> 00:03:51.800]  二十至二十一節
[00:03:51.800 --> 00:03:53.800]  又說《無花果樹》
[00:03:53.800 --> 00:03:56.800]  不過是被奏作之後枯萎
[00:03:56.800 --> 00:03:58.800]  我們看到中間夾著
[00:03:58.800 --> 00:04:01.600]  前後都是說《無花果樹》
[00:04:01.600 --> 00:04:04.400]  中間夾著是說結成聖殿
[00:04:04.400 --> 00:04:08.000]  所以核心是在結成聖殿裡
[00:04:08.000 --> 00:04:11.800]  當我們看這段經文的時候
[00:04:11.800 --> 00:04:14.800]  很多時候我們會產生三個問題
[00:04:15.200 --> 00:04:16.600]  這三個問題是什麼呢?
[00:04:16.600 --> 00:04:21.200]  就是耶穌為什麼要奏作《無花果樹》呢?
[00:04:21.200 --> 00:04:22.800]  好好的為什麼要奏作它呢?
[00:04:22.800 --> 00:04:25.600]  還有就是《無花果樹》被奏作
[00:04:25.600 --> 00:04:28.600]  和結成聖殿有什麼關係呢?
[00:04:28.600 --> 00:04:31.600]  第三就是《無花果樹》被奏作
[00:04:31.600 --> 00:04:32.600]  結成聖殿
[00:04:32.600 --> 00:04:35.600]  和接下來二十二至二十六節那段
[00:04:35.600 --> 00:04:38.000]  關於禱告的經文又有什麼關係呢?
[00:04:38.000 --> 00:04:40.400]  為什麼幾樣東西可以放在一起呢?
[00:04:40.400 --> 00:04:42.400]  今天我就想和大家
[00:04:42.400 --> 00:04:44.600]  研究一下這幾個問題
[00:04:45.000 --> 00:04:47.200]  在解釋這些問題之前
[00:04:47.200 --> 00:04:50.200]  我又想和大家看看一些背景
[00:04:50.200 --> 00:04:54.600]  就是耶穌奏作《無花果樹》這件事
[00:04:54.600 --> 00:04:56.200]  其實發生在
[00:04:56.200 --> 00:04:57.600]  剛才我們說過
[00:04:57.600 --> 00:04:59.600]  十一到十五章
[00:04:59.600 --> 00:05:03.600]  都是在說耶穌釘十字架之前
[00:05:03.600 --> 00:05:05.400]  一個星期的事情
[00:05:05.400 --> 00:05:08.600]  這個星期我們一般稱為壽難週
[00:05:08.600 --> 00:05:11.800]  奏作《無花果樹》
[00:05:11.800 --> 00:05:13.800]  就是在壽難週的第二天
[00:05:14.200 --> 00:05:17.800]  第一天就是耶穌騎著驢驅進入耶路撒冷
[00:05:17.800 --> 00:05:20.200]  群眾夾道歡迎祂
[00:05:20.200 --> 00:05:23.400]  祂進入耶路撒冷之後
[00:05:23.400 --> 00:05:26.200]  祂到聖殿四處視察
[00:05:26.200 --> 00:05:28.000]  接著天色晚了
[00:05:28.000 --> 00:05:29.800]  祂和門徒出城
[00:05:29.800 --> 00:05:35.200]  到耶路撒冷附近的伯大尼過夜
[00:05:35.200 --> 00:05:36.800]  第二天一早起床
[00:05:36.800 --> 00:05:39.200]  從伯大尼進入耶路撒冷
[00:05:39.200 --> 00:05:41.400]  就在途中發生這個
[00:05:41.400 --> 00:05:43.400]  奏作《無花果樹》這件事
[00:05:45.200 --> 00:05:47.800]  我們看看這段經文
[00:05:47.800 --> 00:05:49.000]  請大家一起讀
[00:06:15.200 --> 00:06:17.200]  這段經文提到
[00:06:17.200 --> 00:06:19.200]  耶穌餓了
[00:06:19.200 --> 00:06:21.200]  到底耶穌是否因為肚餓
[00:06:21.200 --> 00:06:22.200]  沒有東西吃
[00:06:22.200 --> 00:06:25.200]  就奏作這棵無花果樹呢
[00:06:25.200 --> 00:06:26.200]  如果是的話
[00:06:26.200 --> 00:06:28.200]  其實那棵樹也有些無辜
[00:06:28.200 --> 00:06:30.200]  因為這裡也說了
[00:06:30.200 --> 00:06:32.200]  不是收無花果的時候
[00:06:32.200 --> 00:06:33.200]  不是收無花果的時候
[00:06:33.200 --> 00:06:34.200]  自然就沒有結果
[00:06:34.200 --> 00:06:36.200]  為什麼要奏作呢
[00:06:36.200 --> 00:06:39.200]  還要耶穌可以變水為酒
[00:06:39.200 --> 00:06:42.200]  又可以行五餅二魚的神蹟
[00:06:42.200 --> 00:06:44.200]  又可以行五餅二魚的神蹟
[00:06:44.200 --> 00:06:45.200]  你做了那麼多
[00:06:45.200 --> 00:06:47.200]  為什麼要奏那棵樹呢
[00:06:47.200 --> 00:06:48.200]  你沒有東西吃
[00:06:48.200 --> 00:06:49.200]  也不用這樣
[00:06:49.200 --> 00:06:50.200]  在情在理
[00:06:50.200 --> 00:06:53.200]  也好像不是很講得通
[00:06:53.200 --> 00:06:54.200]  所以為什麼
[00:06:54.200 --> 00:06:57.200]  耶穌真的要奏作這棵樹呢
[00:06:57.200 --> 00:06:59.200]  原來無花果樹
[00:06:59.200 --> 00:07:00.200]  一般來說
[00:07:00.200 --> 00:07:02.200]  會有兩段時間來結果子
[00:07:02.200 --> 00:07:05.200]  第一段時間就是三月
[00:07:05.200 --> 00:07:06.200]  大概是現在這些時間
[00:07:06.200 --> 00:07:08.200]  在逾月節之前
[00:07:08.200 --> 00:07:09.200]  到六月
[00:07:09.200 --> 00:07:12.200]  在這段時間就會有一成的果子
[00:07:12.200 --> 00:07:14.200]  在這段時間結出來
[00:07:14.200 --> 00:07:18.200]  直到七月至十月
[00:07:18.200 --> 00:07:20.200]  這段盛夏的時候
[00:07:20.200 --> 00:07:22.200]  就會有第二批的果子
[00:07:22.200 --> 00:07:24.200]  其餘的九成
[00:07:24.200 --> 00:07:26.200]  就會在這段時間生出來
[00:07:26.200 --> 00:07:27.200]  而這一批的果子
[00:07:27.200 --> 00:07:30.200]  也會比第一批漂亮一點
[00:07:30.200 --> 00:07:33.200]  耶穌當時奏作無花果樹的時候
[00:07:33.200 --> 00:07:36.200]  正是第一批果子結果的時候
[00:07:36.200 --> 00:07:39.200]  即是逾月節之前那幾天
[00:07:39.200 --> 00:07:41.200]  即是第一批的時候
[00:07:41.200 --> 00:07:43.200]  樹上是有葉子的
