
[00:00:00.000 --> 00:00:03.200]  在新年的時候我都給一個題目叫新年立志
[00:00:03.200 --> 00:00:06.800]  這個立志就是從《小學行傳》的一章一到五節裡面
[00:00:06.800 --> 00:00:08.960]  有一節經文拿出來的
[00:00:08.960 --> 00:00:10.080]  它就是提醒
[00:00:10.080 --> 00:00:13.600]  耶穌提醒門徒等候天父的應許
[00:00:13.600 --> 00:00:18.680]  我們怎樣在新年的時候我們去學習等候天父的應許呢
[00:00:18.680 --> 00:00:23.520]  我首先和大家一起來看這段經文的一章一到五節
[00:00:23.520 --> 00:00:27.320]  《小學行傳》的第一章一到五節
[00:00:27.320 --> 00:00:30.080]  如果找到的話請我們一起讀出這段經文
[00:00:30.080 --> 00:00:32.840]  由第一節開始預備起
[00:00:32.840 --> 00:00:34.440]  是亞非羅啊
[00:00:34.440 --> 00:00:36.680]  我已經作了前書
[00:00:36.680 --> 00:00:40.840]  論到耶穌開頭一切所行所抱憤的
[00:00:40.840 --> 00:00:45.640]  直到他藉著聖靈分父所揀選的使徒
[00:00:45.640 --> 00:00:49.160]  以後被接上升的日子為止
[00:00:49.160 --> 00:00:51.160]  他受害之後
[00:00:51.160 --> 00:00:56.440]  用許多的憑據將自己活活地遣給使徒漢
[00:00:56.440 --> 00:00:59.800]  四十天之久向他們顯現
[00:00:59.800 --> 00:01:02.200]  講說神國的事
[00:01:02.200 --> 00:01:05.000]  耶穌和他們聚集的時候
[00:01:05.000 --> 00:01:06.760]  祝福他們說
[00:01:06.760 --> 00:01:09.080]  不要離開耶路撒冷
[00:01:09.080 --> 00:01:11.880]  要等候父所應許的
[00:01:11.880 --> 00:01:15.520]  就是你們聽見我說過的
[00:01:15.520 --> 00:01:17.920]  約翰使用水施浸
[00:01:17.920 --> 00:01:19.480]  但不多幾日
[00:01:19.480 --> 00:01:22.200]  你們要受聖靈的浸
[00:01:22.200 --> 00:01:24.720]  所以剛才在第四節提醒我們
[00:01:24.720 --> 00:01:29.560]  耶穌祝福門徒要等候父所應許的
[00:01:29.560 --> 00:01:33.640]  我相信今天作為一個新的年開始
[00:01:33.640 --> 00:01:39.120]  我也很想我們一起來等候天父的應許
[00:01:39.120 --> 00:01:41.120]  使徒的意思在《少林寺傳》裏面
[00:01:41.120 --> 00:01:42.800]  其實最主要是講到
[00:01:42.800 --> 00:01:46.440]  神或耶穌當時所揀選了一班門徒
[00:01:46.440 --> 00:01:48.800]  特別是指導十二門徒在《少林寺傳》裏面
