
[00:00:00.000 --> 00:00:05.200]  我今天要談的天國的福音。
[00:00:05.200 --> 00:00:10.640]  今天當我們談到
[00:00:10.640 --> 00:00:12.880]  我們回顧到剛纔我們講到說
[00:00:12.880 --> 00:00:15.320]  我們說我們回去
[00:00:15.320 --> 00:00:17.440]  回顧到剛纔我們講到
[00:00:17.440 --> 00:00:19.760]  我們聖誕節的意義是什麼。
[00:00:19.760 --> 00:00:21.960]  如果你認爲聖誕節的意義
[00:00:21.960 --> 00:00:24.640]  只是到shopping center
[00:00:24.640 --> 00:00:27.120]  跟聖誕老人拍拍照
[00:00:27.120 --> 00:00:31.080]  然後再跟一些有鹿有羊在那邊拍拍照
[00:00:31.080 --> 00:00:33.960]  你覺得那就是你過了聖誕節。
[00:00:33.960 --> 00:00:36.360]  那是過了聖誕節。
[00:00:36.360 --> 00:00:38.520]  可是當你回顧到
[00:00:38.520 --> 00:00:42.200]  真的當初聖誕節的意義的時候
[00:00:42.200 --> 00:00:46.160]  其實就像我們剛纔所傳的
[00:00:46.160 --> 00:00:49.160]  就是少不了一個主角是什麼
[00:00:49.160 --> 00:00:51.160]  屬於耶穌基督。
[00:00:51.160 --> 00:00:56.120]  可是我們不要只是把焦點放在
[00:00:56.120 --> 00:00:58.120]  每一年把焦點放在說
[00:00:58.120 --> 00:01:01.360]  有一個嬰孩降生了
[00:01:01.360 --> 00:01:04.040]  然後他沒有地方睡
[00:01:04.040 --> 00:01:07.040]  沒有客店,然後在馬槽裏。
[00:01:07.040 --> 00:01:09.640]  而如果我們只知道這樣而已
[00:01:09.640 --> 00:01:11.880]  也沒有意義。
[00:01:11.880 --> 00:01:13.320]  因爲意義是什麼?
[00:01:13.320 --> 00:01:16.000]  意義就是他降生來幹嘛?
[00:01:16.000 --> 00:01:19.240]  難道降生來只是來告訴我們
[00:01:19.240 --> 00:01:20.640]  他沒有地方住
[00:01:20.640 --> 00:01:22.000]  降生來告訴我們
[00:01:22.000 --> 00:01:25.680]  他住在馬槽裏很謙卑?
[00:01:25.680 --> 00:01:28.560]  不是!
[00:01:28.560 --> 00:01:31.920]  其實我們要明白耶穌來的緣故
[00:01:31.920 --> 00:01:33.520]  他會長大的
