
[00:00:00.000 --> 00:00:02.000]  頂智慧午安
[00:00:02.000 --> 00:00:10.000]  今天應該是大家參與2024年最後一次崇拜的時間
[00:00:10.000 --> 00:00:16.000]  來到年尾,我們很多時候都會有一些回顧
[00:00:16.000 --> 00:00:24.000]  我不知道當大家回頭看,你覺得自己今年過得怎麼樣?
[00:00:24.000 --> 00:00:37.000]  有一個人為了過去的一年,因為有另一個人做了一些事對他不住
[00:00:37.000 --> 00:00:45.000]  所以他覺得耿耿於懷,不太開心,他覺得沒辦法原諒這個人
[00:00:45.000 --> 00:00:57.000]  腦子裡經常思前想後想起那件事,甚至令自己睡覺都睡得不好
[00:00:57.000 --> 00:01:03.000]  所以他就想起不如找牧師聊聊天
[00:01:03.000 --> 00:01:09.000]  他就去找牧師將這件事表達出來
[00:01:09.000 --> 00:01:15.000]  牧師聽完之後希望他給一些意見
[00:01:15.000 --> 00:01:21.000]  牧師就望出窗口,突然間靈機一觸
[00:01:21.000 --> 00:01:29.000]  牧師就望到窗外有個吊鐘,那些bell
[00:01:29.000 --> 00:01:39.000]  牧師就問當事人,你知不知道吊鐘是怎樣運作的?
[00:01:39.000 --> 00:01:45.000]  這個肢體就被牧師問到口都啞了,問了什麼?
[00:01:45.000 --> 00:01:52.000]  於是牧師就不懂怎樣回應,牧師就解釋了
[00:01:52.000 --> 00:02:02.000]  牧師說如果你拉著繩子用力搖動,吊鐘就會擺動
[00:02:02.000 --> 00:02:11.000]  擺動就會有聲音,但如果你放開繩子不拉著
[00:02:11.000 --> 00:02:18.000]  基本上吊鐘擺動的幅度就會越來越小
[00:02:18.000 --> 00:02:23.000]  結果響亮度也會越來越低
[00:02:23.000 --> 00:02:29.000]  到最後就會靜止下來
[00:02:29.000 --> 00:02:38.000]  他跟這個肢體說,其實搖樹的功課都是類似的
[00:02:38.000 --> 00:02:43.000]  只要你肯放手,不要拉著繩子
[00:02:43.000 --> 00:02:49.000]  那些鐘聲就會慢慢減退
[00:02:49.000 --> 00:02:58.000]  其實人際關係的張力,我想說在每一個群體都需要面對
[00:02:58.000 --> 00:03:07.000]  我今天就選了菲利門書,第一章,八節到第二十節
[00:03:07.000 --> 00:03:13.000]  跟大家分享關於人際關係的問題
[00:03:13.000 --> 00:03:20.000]  這本書很短的,可能大家讀聖經的時候
[00:03:20.000 --> 00:03:26.000]  也會很容易忘記,因為它只有335個字加起來
[00:03:26.000 --> 00:03:32.000]  所以我想先跟大家讀一讀這本聖經,第八節到第二十節
[00:03:32.000 --> 00:03:39.000]  讓我們對它的內容有多一點掌握,然後我才來解釋
[00:03:39.000 --> 00:03:41.000]  好,預備起!
[00:03:41.000 --> 00:03:46.000]  我雖然靠著基督能放膽吩咐你合宜的事
[00:03:46.000 --> 00:03:49.000]  然而像我這有年紀的保羅
[00:03:49.000 --> 00:03:53.000]  現在又是為耶穌基督被囚的
[00:03:53.000 --> 00:03:56.000]  寧可憑著愛心求你
[00:03:56.000 --> 00:04:02.000]  就是為我在困所中所生的兒子亞利西姆求你
[00:04:02.000 --> 00:04:05.000]  他從前與你沒有益處
[00:04:05.000 --> 00:04:09.000]  但如今與你我都有益處
[00:04:09.000 --> 00:04:13.000]  我現在打發他親自回你那裡去
[00:04:13.000 --> 00:04:15.000]  他是我心上的人
[00:04:15.000 --> 00:04:18.000]  我本來有意將他留下
[00:04:18.000 --> 00:04:24.000]  在我為福音所受的困所中替你伺候我
[00:04:24.000 --> 00:04:29.000]  但不知道你的意思,我就不願意這樣行
[00:04:29.000 --> 00:04:34.000]  叫你的善行不是出於勉強,乃是出於甘心
[00:04:34.000 --> 00:04:40.000]  他暫時離開你,或者是叫你永遠得著他
[00:04:40.000 --> 00:04:46.000]  不作是勞僕,乃是高過勞僕,是親愛的弟兄
[00:04:46.000 --> 00:04:51.000]  在我實在是如此,何況在你呢
[00:04:51.000 --> 00:04:56.000]  這也不拘是按肉體說,是按主說
