
[00:00:00.000 --> 00:00:03.120]  預備這一篇講章的時候
[00:00:03.120 --> 00:00:06.000]  實在是有點困難
[00:00:06.000 --> 00:00:07.880]  其實這一段經文
[00:00:07.880 --> 00:00:09.580]  解釋不是很困難
[00:00:09.580 --> 00:00:10.760]  但是很真實
[00:00:10.760 --> 00:00:12.680]  這段經文我覺得
[00:00:12.680 --> 00:00:14.760]  我自己是做不到的
[00:00:14.760 --> 00:00:17.280]  我自己覺得對我來說很困難
[00:00:17.280 --> 00:00:19.240]  去實踐這段經文
[00:00:19.240 --> 00:00:20.240]  所以今天我們
[00:00:20.240 --> 00:00:22.000]  最後盼望我們一起學習
[00:00:22.000 --> 00:00:24.720]  彼此依靠聖靈一起學習
[00:00:24.720 --> 00:00:27.920]  我們同心禱告
[00:00:27.920 --> 00:00:30.400]  聖母主我們真的要依靠你
[00:00:30.400 --> 00:00:32.240]  懇求你幫助我們
[00:00:32.240 --> 00:00:35.880]  能夠不單止明白真理
[00:00:35.880 --> 00:00:38.000]  也要實踐真理
[00:00:38.000 --> 00:00:40.760]  我們知道我們軟弱
[00:00:40.760 --> 00:00:41.840]  但是我們知道
[00:00:41.840 --> 00:00:43.920]  我們這個啞氣有你
[00:00:43.920 --> 00:00:45.480]  在我們生命裡面
[00:00:45.480 --> 00:00:48.000]  能夠顯出這個莫大的能力
[00:00:48.000 --> 00:00:49.520]  是出於你
[00:00:49.520 --> 00:00:50.400]  求你指教
[00:00:50.400 --> 00:00:51.120]  求你督責
[00:00:51.120 --> 00:00:52.400]  求你幫助
[00:00:52.400 --> 00:00:53.520]  我們同心仰望
[00:00:53.520 --> 00:00:55.680]  奉耶穌基督的聖名
[00:00:55.680 --> 00:00:57.520]  阿們
[00:00:57.520 --> 00:01:00.440]  我相信失而復得的經歷
[00:01:00.440 --> 00:01:02.080]  大家都應該有
[00:01:02.080 --> 00:01:04.080]  幾乎每個人都有
[00:01:04.080 --> 00:01:08.080]  但是失而復得之後的感受
[00:01:08.080 --> 00:01:10.360]  是可能很不同的
[00:01:10.360 --> 00:01:11.960]  有些人會很喜樂
[00:01:11.960 --> 00:01:13.880]  你不見了東西找得回來
[00:01:13.880 --> 00:01:16.160]  但是可能喜樂的程度
[00:01:16.160 --> 00:01:17.880]  可能都很不同
[00:01:17.880 --> 00:01:21.320]  很多年前我剛剛結婚
[00:01:21.320 --> 00:01:23.680]  跟我太太去杜蜜月
[00:01:23.680 --> 00:01:26.160]  我們去羅馬杜蜜月
