
[00:00:00.000 --> 00:00:04.040]  今天的題目是「勇闖高峰」
[00:00:04.040 --> 00:00:07.360]  我們今天會繼續看《薩姆二記》
[00:00:07.360 --> 00:00:09.560]  我們繼續看《薩姆二記》上
[00:00:09.560 --> 00:00:14.320]  我們看到第七章的第三到第十七節
[00:00:14.320 --> 00:00:17.120]  說到「勇闖高峰」
[00:00:17.120 --> 00:00:19.680]  這個也不是很陌生的句子
[00:00:19.680 --> 00:00:22.480]  不知道大家聽到這個句子的時候
[00:00:22.480 --> 00:00:25.120]  你們會立即想起些什麼呢?
[00:00:25.120 --> 00:00:30.920]  會不會立即想起攀山人士的夢想
[00:00:30.920 --> 00:00:32.960]  很多人的夢想
[00:00:32.960 --> 00:00:34.600]  爬山很厲害的那些
[00:00:34.600 --> 00:00:38.800]  立即想起要登上世界第一峰
[00:00:38.800 --> 00:00:40.640]  珠穆朗瑪峰
[00:00:40.640 --> 00:00:42.920]  多少攀山的發燒友
[00:00:42.920 --> 00:00:45.400]  冒著生命多大的危險
[00:00:45.400 --> 00:00:50.360]  一生都要闖一闖這個世界第一峰
[00:00:50.360 --> 00:00:53.240]  你看到我做資料準備的時候
[00:00:53.240 --> 00:00:55.760]  這個69歲的伯伯
[00:00:55.760 --> 00:00:58.240]  都要登上這個第一峰
[00:00:58.240 --> 00:01:00.040]  原來他在年輕的時候
[00:01:00.040 --> 00:01:03.440]  就是因為嘗試登峰而失去了雙腳
[00:01:03.440 --> 00:01:07.000]  但到69歲他終於登上這個第一峰
[00:01:07.000 --> 00:01:12.280]  原來登上這個高峰是這麼吸引的
[00:01:12.280 --> 00:01:14.160]  說到高峰
[00:01:14.160 --> 00:01:18.800]  我猜最近我們最不想聽到的是什麼呢?
[00:01:18.800 --> 00:01:23.000]  當然是我們的疫情日日創新高
[00:01:23.000 --> 00:01:26.280]  我的PowerPoint也日日在改
[00:01:26.280 --> 00:01:27.720]  昨天才1300
[00:01:27.720 --> 00:01:30.360]  今天改了1514
[00:01:30.360 --> 00:01:33.640]  我們最不想聽到的就是這件事
[00:01:33.640 --> 00:01:36.640]  不過我們暫時放下這個陰霾
[00:01:36.640 --> 00:01:40.440]  原來我們很多時候說高峰的時候
[00:01:40.440 --> 00:01:42.640]  其實都是說好事的
[00:01:42.640 --> 00:01:44.440]  有什麼好事說?
[00:01:44.440 --> 00:01:46.760]  剛剛過了什麼年?
[00:01:46.760 --> 00:01:48.200]  新年
[00:01:48.200 --> 00:01:49.640]  農曆新年的時候
[00:01:49.640 --> 00:01:52.680]  我們都祝人步步高升
[00:01:52.680 --> 00:01:53.960]  你不會見到人
[00:01:53.960 --> 00:01:56.480]  我祝你步步高升
[00:01:56.480 --> 00:01:58.600]  真的很奇怪
[00:01:58.600 --> 00:02:01.640]  說到步步高升
[00:02:01.640 --> 00:02:05.960]  我又想起兩個香港人很喜歡的年輕人
[00:02:05.960 --> 00:02:09.440]  一開你們就知道我說誰
[00:02:09.440 --> 00:02:11.760]  第一個是
[00:02:11.760 --> 00:02:14.280]  張家朗
[00:02:14.280 --> 00:02:17.280]  張家朗拿完奧運金牌之後
[00:02:17.280 --> 00:02:18.480]  很厲害
[00:02:18.480 --> 00:02:23.360]  上個月他才在花劍世界盃這個巴黎站
[00:02:23.360 --> 00:02:25.320]  再次拿金牌
[00:02:25.320 --> 00:02:29.480]  突然間世界的排名就躍升到第二位了
[00:02:29.480 --> 00:02:31.480]  差勢一
[00:02:31.480 --> 00:02:32.520]  只差一步
[00:02:32.520 --> 00:02:34.120]  很近了
[00:02:34.120 --> 00:02:37.040]  當然張家朗這麼厲害
[00:02:37.040 --> 00:02:40.280]  第二個年輕人你一定猜到我想說
[00:02:40.280 --> 00:02:42.560]  何詩蓓
[00:02:42.560 --> 00:02:46.120]  這個女泳手真的很厲害
[00:02:46.120 --> 00:02:49.480]  拿完兩個奧運銀牌之後
[00:02:49.480 --> 00:02:51.320]  剛剛過了12月
