
[00:00:00.000 --> 00:00:05.280]  今天講的題目是「基督行先,我就起落」
[00:00:05.280 --> 00:00:08.640]  也是《肥辣比書》第三講
[00:00:08.640 --> 00:00:11.840]  我相信對我們每一個人來說
[00:00:11.840 --> 00:00:16.800]  不會自動無緣無故
[00:00:16.800 --> 00:00:20.480]  走去找苦來生
[00:00:20.480 --> 00:00:21.320]  有沒有人不喜歡?
[00:00:21.320 --> 00:00:23.160]  唉呀,辛苦我喜歡啊
[00:00:23.160 --> 00:00:27.000]  很熱啊,我就不喝水
[00:00:27.000 --> 00:00:28.800]  很冷就不穿衣服
[00:00:28.800 --> 00:00:29.600]  有沒有人不喜歡這樣?
[00:00:29.600 --> 00:00:31.000]  或者拿苦來生
[00:00:31.000 --> 00:00:32.400]  應該沒有吧?
[00:00:32.400 --> 00:00:35.000]  所以我們應該沒有人會
[00:00:35.000 --> 00:00:38.560]  特地選擇可以睡覺而不睡
[00:00:38.560 --> 00:00:40.240]  無論如何都不睡
[00:00:40.240 --> 00:00:42.640]  或者在夏天熱騰騰
[00:00:42.640 --> 00:00:46.560]  我們35度、40度無緣無故跑步
[00:00:46.560 --> 00:00:48.240]  不喝水,什麼都不做
[00:00:48.240 --> 00:00:51.680]  或者每餐都特地吃不飽
[00:00:51.680 --> 00:00:54.440]  吃飽我就不喜歡了
[00:00:54.440 --> 00:00:59.720]  除非你因為生了嬰兒
[00:00:59.720 --> 00:01:01.520]  嬰兒出生了,你要餵奶
[00:01:01.520 --> 00:01:04.240]  接著要換尿片
[00:01:04.240 --> 00:01:05.560]  一定不會吧?
[00:01:05.560 --> 00:01:08.400]  或者除非你覺得我要跑全馬
[00:01:08.400 --> 00:01:09.400]  好像今天那樣
[00:01:09.400 --> 00:01:11.680]  而今早的那些人不知道跑不跑了
[00:01:11.680 --> 00:01:13.480]  那你就要練跑步
[00:01:13.480 --> 00:01:15.840]  五公里、十公里、十五公里、二十公里
[00:01:15.840 --> 00:01:16.960]  就練上去吧
[00:01:16.960 --> 00:01:19.440]  除非你要保持健康
[00:01:19.440 --> 00:01:22.800]  你就會每餐都吃不飽
[00:01:22.800 --> 00:01:24.880]  因為覺得保持健康很重要
[00:01:24.880 --> 00:01:27.960]  當我準備這個powerpoint的時候
[00:01:27.960 --> 00:01:29.080]  去到這裡
[00:01:29.080 --> 00:01:32.680]  我的秘書Melissa就突然看著我
[00:01:32.680 --> 00:01:35.200]  她就說「嘩,每餐都吃不飽」
[00:01:35.200 --> 00:01:38.120]  「Pastor John,我也試過啊」
[00:01:38.120 --> 00:01:39.560]  我說看一看她
