
[00:00:00.000 --> 00:00:03.200]  你仍然有這種屬靈裡的勇氣
[00:00:03.200 --> 00:00:04.700]  愛祂的心
[00:00:04.700 --> 00:00:06.800]  真真正正地去提醒祂
[00:00:06.800 --> 00:00:09.900]  去洗這個迷陽迴路
[00:00:09.900 --> 00:00:12.200]  你記得上次我們講《瓦國書》的時候就講
[00:00:12.200 --> 00:00:14.400]  如果一個人能夠洗到一個弟兄姊妹
[00:00:14.400 --> 00:00:17.400]  或者一個姊妹能夠迴轉過來的時候
[00:00:17.400 --> 00:00:19.400]  就是能夠遮蓋很多的罪
[00:00:19.400 --> 00:00:21.200]  這件事不是很簡單的
[00:00:21.200 --> 00:00:22.000]  不是很容易
[00:00:22.000 --> 00:00:23.900]  但是這個卻是彼此相愛
[00:00:23.900 --> 00:00:27.100]  你能不能夠愛你的家人呢?
[00:00:27.100 --> 00:00:29.100]  你知不知道愛你的家人呢?
[00:00:29.100 --> 00:00:34.000]  我就覺得愛家人其實都不是這麼簡單的一回事
[00:00:34.000 --> 00:00:36.000]  回想起來
[00:00:36.000 --> 00:00:38.000]  在我們長大過程裡面
[00:00:38.000 --> 00:00:41.000]  洗你和洗我受傷害最多的
[00:00:41.000 --> 00:00:43.000]  我也是我們的家人
[00:00:43.000 --> 00:00:46.000]  不知道你有沒有試過被媽媽或者爸爸罵
[00:00:46.000 --> 00:00:48.000]  生一塊叉燒比生你好
[00:00:48.000 --> 00:00:51.000]  這些事情是很傷心的
[00:00:51.000 --> 00:00:53.000]  這些事情是很傷人的心
[00:00:53.000 --> 00:00:55.000]  其實你發現到
[00:00:55.000 --> 00:00:57.000]  可能在你的成長過程裡面
[00:00:57.000 --> 00:00:59.000]  洗你受到最大傷害的
[00:00:59.000 --> 00:01:01.000]  可能是你的家人
[00:01:01.000 --> 00:01:03.000]  但是你今天成為基督徒
[00:01:03.000 --> 00:01:05.000]  你成為一個愛主的基督徒
[00:01:05.000 --> 00:01:08.000]  你成為一個學習去愛人的基督徒
[00:01:08.000 --> 00:01:11.000]  你能不能夠饒恕你的家人呢?
[00:01:11.000 --> 00:01:15.000]  然後你能不能夠真真正正去關懷你的家人
[00:01:15.000 --> 00:01:17.000]  往往都很不容易
[00:01:17.000 --> 00:01:18.000]  你愛你的親戚朋友
[00:01:18.000 --> 00:01:20.000]  愛弟兄姊妹
[00:01:20.000 --> 00:01:24.000]  去關懷落在患難裡面痛苦的人
[00:01:24.000 --> 00:01:27.000]  如果你懂得這樣去愛人
[00:01:27.000 --> 00:01:29.000]  接受別人給你的愛
[00:01:29.000 --> 00:01:31.000]  接受別人給你的關懷的話
[00:01:31.000 --> 00:01:35.000]  通常你都會開始知道什麼叫快樂
[00:01:35.000 --> 00:01:40.000]  自愛更加是一樣難的
[00:01:40.000 --> 00:01:42.000]  其實聖經有這樣說的
[00:01:42.000 --> 00:01:45.000]  叫你愛人如愛自己
[00:01:45.000 --> 00:01:48.000]  不是自私那種愛
[00:01:48.000 --> 00:01:49.000]  是什麼?
[00:01:49.000 --> 00:01:51.000]  是自己尊重你自己
[00:01:51.000 --> 00:01:53.000]  所以你如果是自己尊重你自己
[00:01:53.000 --> 00:01:57.000]  你就不會去做一些傷害你自己的事
[00:01:57.000 --> 00:02:01.000]  如果我早上起床對著鏡子看的時候
[00:02:01.000 --> 00:02:02.000]  我就會說
[00:02:02.000 --> 00:02:04.000]  I hate you
[00:02:04.000 --> 00:02:07.000]  因為我沒辦法自愛
[00:02:07.000 --> 00:02:10.000]  你覺得可能你不會這麼極端
[00:02:10.000 --> 00:02:12.000]  對著鏡子指著鏡子說你自己
[00:02:12.000 --> 00:02:13.000]  但是你看下去的時候
[00:02:13.000 --> 00:02:15.000]  你覺得你真是難看
[00:02:15.000 --> 00:02:18.000]  你又這樣又這樣
[00:02:18.000 --> 00:02:20.000]  你又不可以這樣不可以這樣
[00:02:20.000 --> 00:02:22.000]  很多你對著自己的批評
[00:02:22.000 --> 00:02:23.000]  自我的批評
[00:02:23.000 --> 00:02:26.000]  很多時候你都很難快樂
[00:02:26.000 --> 00:02:33.000]  我不知道這是中國人的毛病還是什麼
[00:02:33.000 --> 00:02:39.000]  很多時候我見到一些比較年長的肢體
[00:02:39.000 --> 00:02:40.000]  見到我的時候
[00:02:40.000 --> 00:02:43.000]  可能我見到我開始有點白頭髮
[00:02:43.000 --> 00:02:45.000]  我會說一下他自己
[00:02:45.000 --> 00:02:47.000]  說一下自己是好的
[00:02:47.000 --> 00:02:49.000]  結尾的時候當然是說一句
[00:02:49.000 --> 00:02:50.000]  我不知道為什麼
[00:02:50.000 --> 00:02:51.000]  他總是喜歡說一句
[00:02:51.000 --> 00:02:53.000]  就是我沒什麼用
[00:02:53.000 --> 00:02:55.000]  是不是?
