
[00:00:00.000 --> 00:00:04.700]  今天很高興在2018年最後一個主日跟大家在港台見面
[00:00:04.700 --> 00:00:10.100]  今天很高興在2018年最後一個主日跟大家在講台上見面
[00:00:10.100 --> 00:00:12.200]  每逢去到年尾的時候
[00:00:12.200 --> 00:00:16.300]  電視台都很多所謂一年的大事回顧
[00:00:16.300 --> 00:00:23.100]  每年年尾的時候在電視台都會有一年的大事回顧
[00:00:23.100 --> 00:00:29.100]  你都很注重過去一年發生了什麼大事
[00:00:29.100 --> 00:00:32.700]  我們都很注重過去一年裡發生了什麼大事
[00:00:32.700 --> 00:00:38.200]  有沒有回顧一下我們自己個人在過去一年發生的大事
[00:00:38.200 --> 00:00:42.900]  我們有沒有回顧過去一年我們自己發生了什麼大事
[00:00:42.900 --> 00:00:45.000]  很多時候我們回顧的時候
[00:00:45.000 --> 00:00:47.300]  我們都想一些不好的事情
[00:00:47.300 --> 00:00:48.700]  當我們回顧的時候
[00:00:48.700 --> 00:00:51.900]  我們是不是先回想什麼不好的事
[00:00:51.900 --> 00:00:54.700]  所謂大事就不一定是不好的
[00:00:54.700 --> 00:00:57.100]  所謂大事就不一定是不好的
[00:00:57.100 --> 00:01:02.700]  我知道今年我們那個英國王儲Harry結婚
[00:01:02.700 --> 00:01:05.700]  我們知道今年我們的王儲Harry結婚
[00:01:05.700 --> 00:01:08.900]  那個兒王子都很大件事
[00:01:08.900 --> 00:01:11.700]  夏天的時候
[00:01:11.700 --> 00:01:15.400]  在夏天的時候這都是一件非常大的事情
[00:01:15.400 --> 00:01:19.700]  但是大事也都有其中很多天災的人禍
[00:01:19.700 --> 00:01:23.300]  大事裡面也有很多天災和人禍
[00:01:23.300 --> 00:01:27.300]  今年似乎就沒有很大的天災人禍
[00:01:27.300 --> 00:01:30.500]  似乎今年就沒有很大的天災人禍
[00:01:30.500 --> 00:01:35.500]  所謂國際的大事是可以說是影響很多人的
[00:01:35.500 --> 00:01:38.300]  所謂國際的大事就影響了很多人
[00:01:38.300 --> 00:01:40.900]  但是我們自己個人有沒有什麼大事發生呢
[00:01:40.900 --> 00:01:43.400]  那我們自己個人有什麼大事發生呢
[00:01:43.400 --> 00:01:45.200]  在我身上發生的大事
[00:01:45.200 --> 00:01:48.000]  可能在你來說你不在乎都不一定
[00:01:48.000 --> 00:01:51.700]  可能發生在我身上的大事你可能不會在乎
[00:01:51.700 --> 00:01:53.500]  同樣有些事發生在你身上
[00:01:53.500 --> 00:01:55.200]  和我也都沒有什麼關係
[00:01:55.200 --> 00:01:56.900]  可能有些事發生在你身上
[00:01:56.900 --> 00:01:58.300]  跟我也沒有什麼關係
[00:01:58.300 --> 00:02:00.300]  所以當我們每一個人去回顧
[00:02:00.300 --> 00:02:02.900]  我們過去一年發生的大事
[00:02:02.900 --> 00:02:06.100]  當我們回想到過去一年裡發生的大事
[00:02:06.100 --> 00:02:10.300]  我們不單止是要去回顧一些不好的事情
[00:02:10.300 --> 00:02:12.500]  我們不僅要回顧一些不好的事情
