
[00:00:00.000 --> 00:00:06.360]  各位帶領姊妹或來到我們中間聚會的朋友晚安
[00:00:06.360 --> 00:00:11.240]  在冬至的日子我們聚集在一起
[00:00:11.240 --> 00:00:13.200]  一起去敬拜
[00:00:13.200 --> 00:00:17.160]  亦都一起去聆聽上主的說話
[00:00:17.160 --> 00:00:22.400]  盼望我們都在上主的說話當中得著幫助和安慰
[00:00:22.400 --> 00:00:26.520]  讓我們在開始的時候先一起低頭祈禱
[00:00:31.000 --> 00:00:35.000]  師恩典的上帝,願祢賜福我們
[00:00:35.000 --> 00:00:42.000]  讓我們在崇拜當中經歷到祢奇妙的工作
[00:00:42.000 --> 00:00:45.000]  有求祢幫助我們
[00:00:45.000 --> 00:00:50.000]  特別幫助我們在祢面前講到和聽到的服事
[00:00:50.000 --> 00:00:56.000]  原主使用僕人的口,成為祢說話的媒介
[00:00:57.000 --> 00:01:00.000]  有求祢祝福我們每一個人的耳朵
[00:01:00.000 --> 00:01:03.000]  我們都能夠聽清楚祢的說話
[00:01:03.000 --> 00:01:07.000]  並且謙卑地讓祢去塑造
[00:01:07.000 --> 00:01:10.000]  我們可以生活得不再一樣
[00:01:10.000 --> 00:01:12.000]  祈禱奉主名求
[00:01:12.000 --> 00:01:22.000]  相信在座各位小時候都會問很多問題
[00:01:23.000 --> 00:01:27.000]  亦都可能會被其他人去問過一些問題
[00:01:27.000 --> 00:01:32.000]  而我很肯定的是當中有一條問題
[00:01:32.000 --> 00:01:38.000]  我們大家都總有機會在小時候被其他人去問過
[00:01:38.000 --> 00:01:41.000]  這個問題就是「我的志願」
[00:01:41.000 --> 00:01:46.000]  不知道現在的你還記不記得起
[00:01:46.000 --> 00:01:52.000]  你最初第一次去回答其他人問你關於「我的志願」
[00:01:53.000 --> 00:01:56.000]  這個問題你的答案是什麼?
[00:01:56.000 --> 00:02:01.000]  當時年紀輕輕的你
[00:02:01.000 --> 00:02:07.000]  你曾經想過自己將來會做什麼職業?
[00:02:07.000 --> 00:02:14.000]  又或者你曾經對自己未來的人生有過什麼想像?
[00:02:14.000 --> 00:02:18.000]  還記得我讀幼稚園的時候
[00:02:18.000 --> 00:02:21.000]  每當老師問我這條問題的時候
[00:02:22.000 --> 00:02:25.000]  我們一班小朋友、一班同學
[00:02:25.000 --> 00:02:31.000]  究竟你在長大之後想做什麼職業的時候
[00:02:31.000 --> 00:02:35.000]  身邊總有一兩個同學是會這樣回答的
[00:02:35.000 --> 00:02:37.000]  「我要開巴士」
[00:02:37.000 --> 00:02:40.000]  「我長大之後要做巴士司機」
[00:02:40.000 --> 00:02:47.000]  回想起來當時小朋友的回答固然是天真無邪
[00:02:48.000 --> 00:02:56.000]  很純粹、很真誠地去分享自己的夢想、喜歡的職業
[00:02:56.000 --> 00:02:59.000]  他們很喜歡巴士
[00:02:59.000 --> 00:03:02.000]  就是想天天跟巴士在一起
[00:03:02.000 --> 00:03:07.000]  但是隨著年紀漸漸長大
[00:03:07.000 --> 00:03:10.000]  去到讀小學的時候
[00:03:10.000 --> 00:03:14.000]  若然身邊的同學他們的「我的志願」
[00:03:14.000 --> 00:03:17.000]  仍然是「我要開巴士」
[00:03:18.000 --> 00:03:24.000]  往往可能會換來老師或者身邊其他同學
