
[00:00:00.000 --> 00:00:02.000]  多謝姊妹早晨
[00:00:02.000 --> 00:00:04.000]  顧名思義
[00:00:04.000 --> 00:00:08.000]  意外即是意料之外
[00:00:08.000 --> 00:00:12.000]  但是如果我們聽到這個描述的時候
[00:00:12.000 --> 00:00:17.000]  很多時候我們都會朝著一個負面的方向去想
[00:00:17.000 --> 00:00:22.000]  就好像我們在新聞裏面見到的那種意外
[00:00:22.000 --> 00:00:28.000]  幾個月前有一位年輕的媽媽抱著她的嬰兒
[00:00:28.000 --> 00:00:30.000]  準備等過馬路
[00:00:30.000 --> 00:00:35.000]  不過有一輛寶馬衝了過來
[00:00:35.000 --> 00:00:40.000]  接著剪斷了她的雙腳
[00:00:40.000 --> 00:00:45.000]  但是如果我們在說意料之外
[00:00:45.000 --> 00:00:50.000]  其實都有很多不同的種類
[00:00:50.000 --> 00:00:54.000]  我不知道你有沒有曾經試過
[00:00:54.000 --> 00:00:57.000]  去外國旅行的時候
[00:00:57.000 --> 00:00:59.000]  去到沒有雷公那麼遠
[00:00:59.000 --> 00:01:02.000]  不過竟然碰到熟人
[00:01:02.000 --> 00:01:04.000]  試過沒有?
[00:01:04.000 --> 00:01:06.000]  我試過
[00:01:06.000 --> 00:01:08.000]  又或者
[00:01:08.000 --> 00:01:14.000]  如果在當中你們作為父母的兒女還小
[00:01:14.000 --> 00:01:19.000]  又或者你們想起他們小時候
[00:01:19.000 --> 00:01:22.000]  有時候他們口沒遮攔
[00:01:22.000 --> 00:01:26.000]  說了一些很出人意表的話
[00:01:26.000 --> 00:01:29.000]  令你非常尷尬
[00:01:29.000 --> 00:01:32.000]  記不記得這些場面
[00:01:32.000 --> 00:01:37.000]  甚至可能你有些家人
[00:01:37.000 --> 00:01:42.000]  你的配偶男朋友女朋友花盡心思
[00:01:42.000 --> 00:01:45.000]  為你製造一些驚喜
[00:01:45.000 --> 00:01:49.000]  做了一些事情令你很喜出望外
[00:01:49.000 --> 00:01:53.000]  所以有人這樣去形容人生
[00:01:53.000 --> 00:01:55.000]  人生是一個冒險旅程
[00:01:55.000 --> 00:01:57.000]  而不是一個旅行團
[00:01:57.000 --> 00:01:59.000]  人生是一個冒險旅程
[00:01:59.000 --> 00:02:01.000]  而不是一個套餐旅行
[00:02:01.000 --> 00:02:05.000]  今天我要和大家分享
[00:02:05.000 --> 00:02:09.000]  這段經文有兩個人物
[00:02:09.000 --> 00:02:13.000]  其實都是遇到意料之外的事情
[00:02:13.000 --> 00:02:16.000]  這段經文是記載在
[00:02:16.000 --> 00:02:22.000]  《史道行傳》第八章26至40節
[00:02:22.000 --> 00:02:25.000]  在我今天和大家分享
[00:02:25.000 --> 00:02:28.000]  這段聖經第26節之前
[00:02:28.000 --> 00:02:32.000]  即是第八章的前半章
[00:02:32.000 --> 00:02:34.000]  其實發生了很多事情
[00:02:34.000 --> 00:02:39.000]  如果大家看回一開始第八章第一節
[00:02:39.000 --> 00:02:44.000]  其實是在說耶路撒冷的教會大遭逼迫
[00:02:44.000 --> 00:02:47.000]  除了仕途以外門徒都分散
