
[00:00:00.000 --> 00:00:02.420]  (主席)大英姐妹平安
[00:00:02.420 --> 00:00:05.880]  今日我繼續講舊約的經課
[00:00:05.880 --> 00:00:09.720]  尼加書六章八節
[00:00:09.720 --> 00:00:14.240]  「西人也說已經指示你何為善
[00:00:14.240 --> 00:00:17.120]  他向你所要的是甚麼呢
[00:00:17.120 --> 00:00:20.800]  就是只要你行公義 好憐憫
[00:00:20.800 --> 00:00:26.440]  存謙卑的心 與你的神同行」
[00:00:26.440 --> 00:00:32.660]  這句經文對大家來說應該非常熟悉
[00:00:32.660 --> 00:00:36.540]  但熟悉不等於認識
[00:00:36.540 --> 00:00:41.340]  尼加書是否這麼簡單直接
[00:00:41.340 --> 00:00:45.060]  告訴我們信仰的要求呢
[00:00:45.060 --> 00:00:47.840]  所以今日的講題應該有個問號
[00:00:47.840 --> 00:00:51.820]  信仰的要求?
[00:00:51.820 --> 00:00:56.940]  神學院的同學很多時候寫經文時
[00:00:56.940 --> 00:01:00.020]  都會選擇寫這段經文
[00:01:00.020 --> 00:01:05.740]  探討一下甚麼是行公義 甚麼是好憐憫
[00:01:05.740 --> 00:01:08.820]  但就這樣探討這一句的意思
[00:01:08.820 --> 00:01:11.500]  然後再將一句經文的理解
[00:01:11.500 --> 00:01:14.180]  加諸在我們整個信仰裡
[00:01:14.180 --> 00:01:18.300]  這樣做其實是十分危險的
[00:01:18.300 --> 00:01:24.580]  不單是聖經的用語與現今的用語十分不同
[00:01:24.580 --> 00:01:28.100]  所以同學長寫就長有
[00:01:28.100 --> 00:01:31.420]  究竟甚麼是行公義 甚麼是好憐憫呢
[00:01:31.420 --> 00:01:35.380]  古代的公義與現代的公義
[00:01:35.380 --> 00:01:38.980]  的概念相差何止萬里呢
[00:01:38.980 --> 00:01:42.220]  我們就這樣抽一節出來
[00:01:42.220 --> 00:01:45.460]  然後沒有考慮經文的上文下理的話
[00:01:45.460 --> 00:01:49.100]  更加會變得十分片面
[00:01:49.100 --> 00:01:50.780]  非常之危險
[00:01:50.780 --> 00:01:53.620]  你想想突然有個人走過來
[00:01:53.620 --> 00:01:56.780]  然後跟你說「小心點」
[00:01:56.780 --> 00:01:59.340]  沒有前因後果 沒有上文下理
[00:01:59.340 --> 00:02:02.700]  他的意思就很難確定了
[00:02:02.700 --> 00:02:04.420]  所以為了進一步
[00:02:04.420 --> 00:02:10.100]  令大家了解到尼加書這一段經文的意思
[00:02:10.100 --> 00:02:13.220]  容許我先用原文或者聖經的希伯來文
[00:02:13.220 --> 00:02:15.500]  翻譯這一句而已
[00:02:15.500 --> 00:02:18.940]  目的不是令他更加通順易明
[00:02:18.940 --> 00:02:22.460]  反而是令大家再一次陌生起來
[00:02:22.460 --> 00:02:28.900]  再細想一下他用的字眼是甚麼意思
[00:02:28.900 --> 00:02:31.460]  這就是我的翻譯
[00:02:31.460 --> 00:02:34.300]  他已告訴了你 阿當
[00:02:34.300 --> 00:02:36.540]  甚麼是好
[00:02:36.540 --> 00:02:39.100]  上主要求你的是甚麼呢
[00:02:39.100 --> 00:02:44.660]  無非要你實施Mishpat和愛Hasid
[00:02:44.660 --> 00:02:49.500]  並謙卑謹慎 地與你的神同行
[00:02:49.500 --> 00:02:53.300]  所以有些字我不翻譯 音譯了它就算了
[00:02:53.300 --> 00:02:56.020]  Mishpat Hasid
[00:02:56.020 --> 00:02:58.140]  首先講謙卑這個字
[00:02:58.140 --> 00:03:01.700]  謙卑其實原文不是很容易確定的
[00:03:01.700 --> 00:03:03.660]  所以現今很多的譯本
[00:03:03.660 --> 00:03:08.500]  參考古代希臘文翻譯時用的字眼
[00:03:08.500 --> 00:03:11.220]  當古代希臘文翻譯時
[00:03:11.220 --> 00:03:17.820]  用了一個僕人在主人面前預備的狀態
[00:03:17.820 --> 00:03:20.460]  來翻譯謙卑這個字
[00:03:20.460 --> 00:03:25.940]  所以這個謙卑不是說你很謙虛
[00:03:25.940 --> 00:03:27.220]  或經常低著頭
[00:03:27.220 --> 00:03:32.420]  而是像一個僕人準備侍奉主人的態度
[00:03:32.420 --> 00:03:36.740]  來與神同行
[00:03:36.740 --> 00:03:43.100]  世人在原文直接是Adam這個字
[00:03:43.100 --> 00:03:44.700]  今天就不詳細講了
[00:03:44.700 --> 00:03:47.540]  可能與創世紀有些關係
[00:03:47.540 --> 00:03:50.060]  但譯作世人也沒有大問題
