
[00:00:00.000 --> 00:00:07.780]  今天主題是「智慧書中的論家庭智慧」
[00:00:07.780 --> 00:00:09.780]  為何要有這麼多智慧?
[00:00:09.780 --> 00:00:12.700]  其實家庭真的要有很多智慧
[00:00:12.700 --> 00:00:17.420]  我發覺自己的智慧也很有限
[00:00:17.420 --> 00:00:21.780]  有一次遇到一個小朋友問我貓和顏色的問題
[00:00:21.780 --> 00:00:24.700]  我相信大家也有類似的答案
[00:00:24.700 --> 00:00:26.700]  黑貓是甚麼顏色?
[00:00:28.700 --> 00:00:30.700]  黑色,白貓是甚麼顏色?
[00:00:30.700 --> 00:00:31.700]  (白色)
[00:00:31.700 --> 00:00:35.700]  嘩,六四走來講黑貓白貓,真的不行
[00:00:35.700 --> 00:00:37.700]  紅貓是甚麼顏色?
[00:00:37.700 --> 00:00:39.700]  (黑白)
[00:00:39.700 --> 00:00:40.700]  黑白色
[00:00:40.700 --> 00:00:43.700]  那次問我的小朋友,她真的很厲害
[00:00:43.700 --> 00:00:45.700]  七歲多八歲
[00:00:45.700 --> 00:00:48.700]  她已經懂得分辨紅貓,原來有兩種紅貓
[00:00:48.700 --> 00:00:50.700]  一個是會瞪著你的紅貓
[00:00:50.700 --> 00:00:52.700]  瞪著你不知道是甚麼顏色
[00:00:52.700 --> 00:00:56.700]  一個是男性那種紅貓
[00:00:56.700 --> 00:00:58.700]  她說紅貓的顏色很好
[00:00:58.700 --> 00:01:02.700]  我說你這麼小,好像有些級數高了一點
[00:01:02.700 --> 00:01:04.700]  即是二級A
[00:01:04.700 --> 00:01:09.700]  我說太高級的牧師也不是很懂得
[00:01:09.700 --> 00:01:12.700]  接著再問她,她問我咖啡貓是甚麼顏色?
[00:01:12.700 --> 00:01:16.700]  咖啡貓是甚麼顏色?
[00:01:16.700 --> 00:01:17.700]  (黑色)
[00:01:17.700 --> 00:01:21.700]  黑色和橙色,這個很簡單
[00:01:21.700 --> 00:01:23.700]  那龍貓呢?
[00:01:26.700 --> 00:01:28.700]  灰綠色差不多
[00:01:28.700 --> 00:01:35.700]  那隻很大,好像抹窗的那種
[00:01:35.700 --> 00:01:36.700]  龍貓
[00:01:36.700 --> 00:01:39.700]  原來她說不是,牧師又跟我說
[00:01:39.700 --> 00:01:43.700]  鍾牧師,龍的貓是不動聲色的
[00:01:43.700 --> 00:01:45.700]  (嘩)
[00:01:45.700 --> 00:01:48.700]  嘩,你的智慧是不是很深
[00:01:48.700 --> 00:01:51.700]  我以為完結了,她又問我
[00:01:51.700 --> 00:01:53.700]  還問我,奶貓是甚麼顏色?
[00:01:53.700 --> 00:01:56.700]  (笑)
[00:01:56.700 --> 00:01:58.700]  奶貓就沒有出色
