
[00:00:00.000 --> 00:00:04.000]  我們一起讀一段聖經,在約翰一書第五章第四節。
[00:00:04.000 --> 00:00:08.000]  約翰一書第五章第四節,我們一同來念這個聖經,來。
[00:00:08.000 --> 00:00:14.500]  因為凡從神生的,就勝過世界,使我們勝了世界的,就是我們的信心。
[00:00:14.500 --> 00:00:16.000]  一同再念一次,來。
[00:00:16.000 --> 00:00:24.000]  因為凡從神生的,就勝過世界,使我們勝了世界的,就是我們的信心。
[00:00:24.000 --> 00:00:32.000]  最近這段時間,我們看見整個世界都在經歷極大的震撼跟不安當中。
[00:00:32.000 --> 00:00:41.000]  不但因為中國的股市不穩,人民幣貶值,帶給全世界經濟極大的一個震撼。
[00:00:41.000 --> 00:00:45.000]  直到如今,我們看見美國的股市還沒有完全的恢復。
[00:00:45.000 --> 00:00:50.000]  在歐洲,我們又看見面對難民湧入的危機。
[00:00:50.000 --> 00:00:55.000]  各國的領袖,都有一種束手無策的感覺。
[00:00:55.000 --> 00:01:02.000]  當我們看見這些衝擊世界的風浪,一個一個接踵而來的時候,
[00:01:02.000 --> 00:01:08.000]  真的有一種一波未平,一波又起的感覺,不是嗎?
[00:01:08.000 --> 00:01:12.000]  好像一點沒有讓我們有喘息的機會。
[00:01:12.000 --> 00:01:17.000]  我就想到,其實在我們人生的境遇當中,不也是如此嗎?
[00:01:17.000 --> 00:01:23.000]  多少時候當我們面對接二連三的挫折跟困境,
[00:01:23.000 --> 00:01:27.000]  我們不也是有一種喘不過氣來的感覺嗎?
[00:01:27.000 --> 00:01:36.000]  這些挫折跟困境,就好像生命中的巨人一樣,將我們四面包圍起來。
[00:01:36.000 --> 00:01:41.000]  常常叫我們看不見生命當中有任何的出路。
[00:01:41.000 --> 00:01:47.000]  但今天神的話很清楚地告訴我們說,凡從神生的,我們就怎麼樣?
[00:01:47.000 --> 00:01:50.000]  勝過世界。
[00:01:50.000 --> 00:01:56.000]  上禮拜我特別講到,作為一個基督徒,在我們裡面已經擁有一個得勝的生命。
[00:01:56.000 --> 00:02:02.000]  但今天我們怎麼樣能夠靠著神,活出這樣得勝的生命,
[00:02:02.000 --> 00:02:07.000]  能夠戰勝我們一切環境中的巨人呢?
[00:02:07.000 --> 00:02:10.000]  今天早上跟大家分享三方面。
[00:02:10.000 --> 00:02:13.000]  第一個,你一定要有得勝的信心。
[00:02:13.000 --> 00:02:17.000]  跟你媽說你一定要有得勝的信心,跟她說。
[00:02:17.000 --> 00:02:21.000]  因為約翰一書第五章第四節,我們剛才讀得很清楚講到,
[00:02:21.000 --> 00:02:26.000]  讓我們勝過世界的就是我們的信心。
[00:02:26.000 --> 00:02:29.000]  但是那是一種怎麼樣的信心呢?
[00:02:29.000 --> 00:02:31.000]  兩方面。
[00:02:31.000 --> 00:02:35.000]  第一個,信心的源頭是在於神。
[00:02:35.000 --> 00:02:39.000]  各位一同來說來,信心的源頭是在於神。
