
[00:00:00.000 --> 00:00:02.540]  開始聆聽神的話語之前
[00:00:02.540 --> 00:00:04.960]  我們一起禱告
[00:00:04.960 --> 00:00:08.560]  慈悲仁愛的天父上帝
[00:00:08.560 --> 00:00:10.940]  我們再一次感謝祢
[00:00:10.940 --> 00:00:14.800]  因為縱然我們不能夠回到教會
[00:00:14.800 --> 00:00:18.300]  每一個人坐在禮堂裡聚會
[00:00:18.300 --> 00:00:21.980]  但感謝神祢讓我們可以透過網絡
[00:00:21.980 --> 00:00:23.340]  透過不同的方式
[00:00:23.340 --> 00:00:26.240]  甚至我們今天可以第一次直播
[00:00:26.240 --> 00:00:29.500]  親近、一起去聚會、去敬拜祢
[00:00:29.500 --> 00:00:31.500]  主我們向祢感恩
[00:00:31.500 --> 00:00:35.020]  因為我們知道今天縱然在不同的地方
[00:00:35.020 --> 00:00:38.820]  有些人直播也被禁止
[00:00:38.820 --> 00:00:40.820]  主我求祢幫助我們
[00:00:40.820 --> 00:00:42.820]  讓我們在這個時刻
[00:00:42.820 --> 00:00:46.500]  我們同心的在祢面前去仰望祢
[00:00:46.500 --> 00:00:48.800]  求祢的話語打進我們的心靈
[00:00:48.800 --> 00:00:51.300]  求聖靈祢光照我們的心
[00:00:51.300 --> 00:00:56.300]  讓我們在祢面前承認我們所有生命的瑕疵
[00:00:56.300 --> 00:00:58.600]  所有得罪神、得罪人的事
[00:00:58.600 --> 00:01:01.400]  求祢赦免、潔淨我們的生命
[00:01:01.400 --> 00:01:03.800]  讓我們和神祢毫無阻隔
[00:01:03.800 --> 00:01:06.700]  主我們今天讀祢的話語
[00:01:06.700 --> 00:01:09.500]  講題是「愛慕主導」的典範
[00:01:09.500 --> 00:01:13.300]  求主祢讓這些愛慕主導的人的生命
[00:01:13.300 --> 00:01:17.100]  祢的話語幫我們進到祢的真理
[00:01:17.100 --> 00:01:19.600]  讓我們也成為一個愛慕主導的人
[00:01:19.600 --> 00:01:21.300]  多謝主你聽我們祈禱
[00:01:21.300 --> 00:01:23.100]  奉耶穌基督的聖名
[00:01:23.100 --> 00:01:24.300]  阿門
[00:01:24.300 --> 00:01:26.400]  剛才讀了聖經
[00:01:26.400 --> 00:01:29.600]  大家可以在家裡拿著聖經
[00:01:29.600 --> 00:01:31.700]  也可以留意著經文
[00:01:31.700 --> 00:01:35.000]  一會兒我們會逐段去看一看
[00:01:35.000 --> 00:01:37.700]  愛慕主導的典範
[00:01:37.700 --> 00:01:39.700]  來到司徒行傳這一章
[00:01:39.700 --> 00:01:42.100]  我們先看一看地圖
[00:01:42.100 --> 00:01:46.400]  其實由公元49年耶路撒冷大會之後
[00:01:46.400 --> 00:01:49.500]  保羅在49年到52年
[00:01:49.500 --> 00:01:51.500]  在這三年多四年的時間
[00:01:51.500 --> 00:01:53.500]  他走過了好幾個地方
[00:01:54.400 --> 00:01:57.800]  之前他就去到
[00:01:57.800 --> 00:01:59.800]  首先他第二次旅程開始
[00:01:59.800 --> 00:02:02.800]  他是探望第一次旅程
[00:02:02.800 --> 00:02:05.300]  去過比西底的安提柯
[00:02:05.300 --> 00:02:07.300]  盧斯德、特比
[00:02:07.300 --> 00:02:09.500]  以哥廉這些地方
[00:02:09.500 --> 00:02:14.300]  他去探望第一次旅程的信徒
[00:02:14.300 --> 00:02:15.900]  去兼顧他們
[00:02:15.900 --> 00:02:17.700]  但是很特別你留意
[00:02:17.700 --> 00:02:22.900]  他來到第一次旅程完結
[00:02:22.900 --> 00:02:25.500]  去完耶路撒冷大會49年
[00:02:25.500 --> 00:02:28.700]  他就經歷去到菲律賓
[00:02:28.700 --> 00:02:30.500]  在馬其頓異象之後
[00:02:30.500 --> 00:02:32.500]  他去到菲律賓的地方
[00:02:32.500 --> 00:02:35.900]  在菲律賓被人打、坐牢
[00:02:35.900 --> 00:02:39.700]  他又後來被迫去到切薩羅尼加
[00:02:39.700 --> 00:02:42.900]  在切薩羅尼加一樣經歷同樣的事情
[00:02:42.900 --> 00:02:45.700]  去到比利亞這個小的鎮
[00:02:45.700 --> 00:02:47.900]  他在那裡沒有被迫回去
[00:02:47.900 --> 00:02:49.500]  他在那裡留了一段日子
[00:02:49.500 --> 00:02:55.100]  但後來切薩羅尼加那些猶太抗拒神主導的人
[00:02:55.100 --> 00:02:56.700]  就追到比利亞
[00:02:56.700 --> 00:02:59.700]  所以由菲律賓去到切薩羅尼加
[00:02:59.700 --> 00:03:00.700]  去到比利亞
[00:03:00.700 --> 00:03:04.300]  接著去了外邦人的地方
[00:03:04.300 --> 00:03:06.700]  連會堂都沒有
[00:03:06.700 --> 00:03:11.900]  我們看到在雅典的地方
[00:03:11.900 --> 00:03:14.500]  他在街頭和那些人報道
[00:03:14.500 --> 00:03:18.500]  後來神又帶領他去到哥林多這個地方
[00:03:18.500 --> 00:03:20.500]  哥林多又有會堂
[00:03:20.500 --> 00:03:24.300]  你記得之前聽到Doris傳道說過
[00:03:24.300 --> 00:03:25.700]  他來到哥林多那裡
[00:03:25.700 --> 00:03:28.300]  神給他有一年半的時間
[00:03:28.300 --> 00:03:30.300]  神說這裡有屬於他的人
[00:03:30.300 --> 00:03:31.900]  你不用懼怕
[00:03:31.900 --> 00:03:34.300]  雖然保羅在哥林多前書第二章也說
[00:03:34.300 --> 00:03:35.900]  他傳福音去到哥林多
[00:03:35.900 --> 00:03:38.700]  他又戰驚又懼怕又恐懼
[00:03:38.700 --> 00:03:40.300]  震驚了
[00:03:40.300 --> 00:03:42.700]  因為很多困難
[00:03:42.700 --> 00:03:47.300]  經過菲律賓、切薩羅尼加、比利亞、雅典
[00:03:47.300 --> 00:03:49.900]  講到他身心俱疲
[00:03:49.900 --> 00:03:51.500]  來到哥林多這裡
[00:03:51.500 --> 00:03:54.700]  神給他一年半的時間
[00:03:54.700 --> 00:03:57.300]  我們看回地圖
[00:03:57.300 --> 00:03:58.700]  大家看到吧
[00:03:58.700 --> 00:04:00.300]  應該打一顆星
[00:04:00.300 --> 00:04:02.500]  就是哥林多
[00:04:02.500 --> 00:04:04.900]  他離開哥林多
[00:04:04.900 --> 00:04:06.100]  經文在十八節
[00:04:06.100 --> 00:04:07.100]  今天我們讀到經文
[00:04:07.100 --> 00:04:08.900]  去了堅格利的地方
[00:04:08.900 --> 00:04:12.300]  經文說他起了個誓
[00:04:12.300 --> 00:04:13.700]  大家沒有講解
[00:04:13.700 --> 00:04:15.700]  他在那裡剪了頭髮
[00:04:15.700 --> 00:04:17.100]  然後在十九節
[00:04:17.100 --> 00:04:19.500]  他就經過爾弗所
[00:04:19.500 --> 00:04:21.100]  坐船去到爾弗所
[00:04:21.100 --> 00:04:24.900]  就在那裡放下了伯基拉和阿基拉夫婦
[00:04:24.900 --> 00:04:27.700]  這對原本在羅馬居住
[00:04:27.700 --> 00:04:32.100]  後來被羅馬政府驅趕離開的猶太人
[00:04:32.100 --> 00:04:32.900]  去到哥林多
[00:04:32.900 --> 00:04:34.300]  他們在那裡認識
[00:04:34.300 --> 00:04:36.300]  保羅就跟他們生活了
[00:04:36.300 --> 00:04:41.100]  超過多個年半的時間
[00:04:41.100 --> 00:04:43.100]  在這裡爾弗所
[00:04:43.100 --> 00:04:44.900]  他短暫停留之後
[00:04:44.900 --> 00:04:47.900]  你看到他跟著坐船
[00:04:47.900 --> 00:04:49.900]  和西拉提摩泰
[00:04:49.900 --> 00:04:52.900]  他們就回到
[00:04:52.900 --> 00:04:55.700]  蓋薩利亞耶路撒冷
[00:04:55.700 --> 00:04:58.100]  在那裡留了一段日子
[00:04:58.100 --> 00:04:59.300]  就回到安提拉
[00:04:59.300 --> 00:05:03.500]  這就是他第二次旅程終結的時候
[00:05:03.500 --> 00:05:06.500]  當然你們讀到第23節
[00:05:06.500 --> 00:05:08.300]  經文很快就說
[00:05:08.300 --> 00:05:11.100]  他在安提拉留了一段日子
[00:05:11.100 --> 00:05:13.300]  他就開始第三次旅程
[00:05:13.300 --> 00:05:18.300]  所以我們讀到第18到23節
[00:05:18.300 --> 00:05:20.700]  就是他完結第二次旅程
[00:05:20.700 --> 00:05:22.700]  回到安提拉述職
[00:05:22.700 --> 00:05:25.300]  之後他在安提拉
[00:05:25.300 --> 00:05:28.700]  就開始他第三次旅程
[00:05:28.700 --> 00:05:31.300]  下一次讀到第19章講道的時候
[00:05:31.300 --> 00:05:33.300]  你會看到第三次旅程
[00:05:33.300 --> 00:05:37.700]  他經過了弗裡加和加拉泰地方
