
[00:00:00.000 --> 00:00:02.000]  諾穆斯各位諸內大英姐妹們平安
[00:00:02.000 --> 00:00:04.000]  感謝神的恩典
[00:00:04.000 --> 00:00:06.000]  讓我們回到神的家來敬拜祂
[00:00:06.000 --> 00:00:07.000]  感謝讚美祂
[00:00:07.000 --> 00:00:09.000]  也讓神的話語
[00:00:09.000 --> 00:00:11.000]  讓我們得到激勵和造就
[00:00:11.000 --> 00:00:12.000]  讓我們同心禱告
[00:00:12.000 --> 00:00:17.000]  慈愛天父我們滿心感謝讚美祢的心恩
[00:00:17.000 --> 00:00:21.000]  祢不單只是那位創始成宗
[00:00:21.000 --> 00:00:22.000]  愛我們的主
[00:00:22.000 --> 00:00:25.000]  更要保守我們每一個人的心懷義念
[00:00:25.000 --> 00:00:28.000]  今天要藉著祢的話語
[00:00:28.000 --> 00:00:30.000]  讓我們得到激勵和造就
[00:00:30.000 --> 00:00:32.000]  以致教會有合一的見證
[00:00:32.000 --> 00:00:34.000]  能夠愛主愛人
[00:00:34.000 --> 00:00:36.000]  聽我們的禱告
[00:00:36.000 --> 00:00:39.000]  奉主耶穌基督聖名祈求
[00:00:39.000 --> 00:00:40.000]  阿們
[00:00:40.000 --> 00:00:44.000]  我記得前幾年在英國倫敦
[00:00:44.000 --> 00:00:46.000]  有一次的精文比賽
[00:00:46.000 --> 00:00:49.000]  限定是50個字
[00:00:49.000 --> 00:00:51.000]  獎金也挺豐富
[00:00:51.000 --> 00:00:53.000]  題目就是說
[00:00:55.000 --> 00:00:58.000]  世界上什麼是最快樂的事
[00:00:58.000 --> 00:01:01.000]  世界上什麼是最快樂的事
[00:01:01.000 --> 00:01:06.000]  來的精文比賽的人非常踴躍
[00:01:06.000 --> 00:01:07.000]  超過一萬篇
[00:01:07.000 --> 00:01:11.000]  最後評判本來選三篇
[00:01:11.000 --> 00:01:15.000]  但是覺得一共有四篇
[00:01:15.000 --> 00:01:17.000]  都是非常好
[00:01:17.000 --> 00:01:19.000]  沒辦法了滄海慧珠
