
[00:00:00.000 --> 00:00:02.260]  在這個《已忽所需》第六章第四節
[00:00:02.260 --> 00:00:04.260]  他說:「你們作父親的」
[00:00:04.260 --> 00:00:07.680]  大家都會覺得今天是母親節啊 牧師
[00:00:07.680 --> 00:00:10.100]  母親節你又說父親來幹什麼呢?
[00:00:10.100 --> 00:00:11.700]  大家看看我寫的上面是什麼
[00:00:11.700 --> 00:00:14.500]  我寫著叫父母節嘛 是不是啊?
[00:00:14.500 --> 00:00:16.300]  我有備而戰的
[00:00:16.300 --> 00:00:18.140]  不是作的 父母節
[00:00:18.140 --> 00:00:20.580]  為什麼呢?其實聖經裡面有很多時候
[00:00:20.580 --> 00:00:23.040]  有些東西呢 它說:「你們作丈夫的」
[00:00:23.040 --> 00:00:26.080]  就要點點點點點 是不是?
[00:00:26.080 --> 00:00:27.780]  然後「你們作妻子的」
[00:00:27.780 --> 00:00:29.380]  就要點點點點點
[00:00:30.000 --> 00:00:33.220]  所以呢 你就不可以將作丈夫的那些東西
[00:00:33.220 --> 00:00:36.820]  就不是說不可以應用在妻子那裡
[00:00:36.820 --> 00:00:39.460]  不過那個強調是向丈夫講的嘛
[00:00:39.460 --> 00:00:41.820]  但是有些地方呢
[00:00:41.820 --> 00:00:44.280]  它又真的不是每次都要講得這麼清的
[00:00:44.280 --> 00:00:46.660]  譬如很簡單 羅馬書第十二章第一節
[00:00:46.660 --> 00:00:48.660]  我們大家都比較熟悉的一節經文
[00:00:48.660 --> 00:00:52.100]  「所以弟兄們 我以神的慈悲勸你們」
[00:00:52.100 --> 00:00:54.100]  那你說不關姐妹事啊?
[00:00:54.100 --> 00:00:56.520]  當然是關姐妹事了 是不是啊?
[00:00:56.520 --> 00:00:58.740]  所以有些情形之下我們要小心
[00:00:58.740 --> 00:01:02.080]  在這裡呢 講到「你們作父親的」
[00:01:02.080 --> 00:01:04.680]  你會在《爾忽所書》那裡
[00:01:04.680 --> 00:01:07.440]  找不到「你們作母親的」這句話出來
[00:01:07.440 --> 00:01:10.440]  這裡呢 其實也有很多學者呢
[00:01:10.440 --> 00:01:12.220]  就有這樣的說法的
[00:01:12.220 --> 00:01:15.200]  昔日的羅馬的社會
[00:01:15.200 --> 00:01:19.380]  就是這些昔日的希臘文化
[00:01:19.380 --> 00:01:21.200]  我們這樣說的希羅文化
[00:01:21.200 --> 00:01:23.200]  希臘和羅馬的文化
[00:01:23.200 --> 00:01:26.740]  是父親就是一家之主
[00:01:26.740 --> 00:01:31.280]  「哎 牧師 昔日 現在都是了 是不是啊?」
[00:01:31.280 --> 00:01:33.960]  「現在都是了」 這樣的說法
[00:01:33.960 --> 00:01:36.620]  基本上很多地方都是這樣的
[00:01:36.620 --> 00:01:38.620]  所以這裡呢 它說「你們作父親的」
[00:01:38.620 --> 00:01:41.440]  「不要惹兒女的氣」
[00:01:41.440 --> 00:01:45.180]  我不知道 每一次有時候我
[00:01:45.180 --> 00:01:46.880]  讀到這節經文的時候
[00:01:46.880 --> 00:01:49.880]  不要惹兒女的氣 什麼叫惹先?
[00:01:49.880 --> 00:01:52.000]  什麼叫惹先?這個字也很少用 是不是啊?
[00:01:52.000 --> 00:01:54.300]  一個弱字 一個心字在底
[00:01:54.300 --> 00:01:56.460]  不過 如果你看的話 它會很多時候說
[00:01:56.460 --> 00:01:59.560]  惹怒 惹怒 就是惹她生氣
[00:01:59.560 --> 00:02:02.160]  我想有些父母呢 立即就會說
[00:02:02.160 --> 00:02:05.300]  「喂 好像是她惹我生氣 多過我惹她生氣」
[00:02:05.300 --> 00:02:06.040]  是不是啊?
[00:02:06.040 --> 00:02:08.600]  今時今日 有時候我見到小朋友
[00:02:08.600 --> 00:02:10.860]  我有時候見到小朋友 特別呢
[00:02:10.860 --> 00:02:14.240]  教會辦公室呢 就在銀禧商場的
[00:02:14.240 --> 00:02:16.240]  外面呢 就有個檔口的
[00:02:16.240 --> 00:02:18.280]  大家有沒有去過銀禧商場教會辦公室
[00:02:18.280 --> 00:02:19.860]  有沒有啊?有沒有人去過啊?
[00:02:19.860 --> 00:02:21.240]  是不是外面有個檔口啊?
[00:02:21.240 --> 00:02:22.640]  你不是很覺得 是不是啊?
[00:02:22.640 --> 00:02:25.480]  那個檔口呢 每次我都會和那些
[00:02:25.480 --> 00:02:30.000]  檔口的那些負責人 聊天的 經常轉的
[00:02:30.000 --> 00:02:33.320]  因為呢 做了一年半載 幾個月又換遞過來
[00:02:33.320 --> 00:02:36.480]  又換遞過來 因為我們辦公室那麼近呢
[00:02:36.480 --> 00:02:38.840]  很多時候我都會和他聊天 打個招呼
[00:02:38.840 --> 00:02:42.880]  大家做個朋友 間中有些呢
[00:02:42.880 --> 00:02:46.280]  是會邀請到他回教會聚會的 都試過的
[00:02:46.280 --> 00:02:49.220]  如果沒有呢 有時候我又給他一本中信
[00:02:49.220 --> 00:02:51.000]  給他一張婚姻單
[00:02:51.000 --> 00:02:55.160]  我當然告訴他我是牧師 聊聊天這樣的
[00:02:55.160 --> 00:02:58.480]  我經常有時候說笑 你搞到人家呢
[00:02:58.480 --> 00:03:04.820]  真是呢 是 即是那些父母和子女呢
[00:03:04.820 --> 00:03:07.600]  你經常搞到人家 搞哭那些小孩的
[00:03:07.600 --> 00:03:11.020]  那些小孩走過 看到那麼吸引的那些玩偶
[00:03:11.020 --> 00:03:16.720]  又有車 又有槍 又有各樣的洋娃娃
[00:03:16.720 --> 00:03:19.620]  又Hello Kitty 又日本玩偶
[00:03:19.620 --> 00:03:22.160]  那些小孩很多時候就吐了 是不是啊?
[00:03:22.160 --> 00:03:25.480]  接著父母會不會一定買啊? 未必的嘛 是不是啊?
[00:03:25.480 --> 00:03:30.040]  搞到有些小孩就聽話 有些小孩就哭了
[00:03:30.040 --> 00:03:33.360]  有些小孩就發脾氣 有些小孩就不停地走來走去
[00:03:33.360 --> 00:03:36.280]  呱呱大吵 所以我經常說你搞到人家這樣
[00:03:36.280 --> 00:03:38.540]  真是講笑而已
