
[00:00:00.000 --> 00:00:01.760]  上個禮拜日
[00:00:01.760 --> 00:00:04.320]  晚上去了一個晚宴
[00:00:04.320 --> 00:00:08.040]  牛頭角長生命團40週年感恩晚宴
[00:00:08.040 --> 00:00:10.160]  通常去這些節目
[00:00:10.160 --> 00:00:14.040]  有很多臺上的節目 很豐富的
[00:00:14.040 --> 00:00:17.560]  他們安排了很多溫馨的節目 很窩心的
[00:00:17.560 --> 00:00:19.560]  有小朋友的表演
[00:00:19.560 --> 00:00:21.920]  有一些紀念恩典的時間
[00:00:21.920 --> 00:00:24.920]  40週年他們怎麼過
[00:00:24.920 --> 00:00:27.960]  一個節目一直喫的時候有不同的節目
[00:00:27.960 --> 00:00:30.280]  去到其中一個節目
[00:00:30.280 --> 00:00:35.360]  剛剛我的團長伍牧師說
[00:00:35.360 --> 00:00:37.520]  哇 高潮到了
[00:00:37.520 --> 00:00:39.360]  到高潮的時候大家
[00:00:39.360 --> 00:00:42.200]  睜大雙眼 很期待
[00:00:42.200 --> 00:00:45.320]  臺上突然間響了一首音樂
[00:00:45.320 --> 00:00:47.320]  我們呆了
[00:00:47.320 --> 00:00:52.160]  因爲禮拜堂40週年感恩晚宴
[00:00:52.160 --> 00:00:53.960]  竟然弄了一首時代曲
[00:00:53.960 --> 00:00:57.360]  葉善文的《瀟灑走一回》
[00:00:57.360 --> 00:01:00.520]  純音樂 乒乒磅磅 乒乒磅磅
[00:01:00.520 --> 00:01:03.600]  一羣姐妹走上臺
[00:01:03.600 --> 00:01:06.400]  厲害的歌 厲害的舞
[00:01:06.400 --> 00:01:10.360]  對着音樂伴着跳厲害的舞
[00:01:10.360 --> 00:01:13.440]  跳得很厲害 很嗨的
[00:01:13.440 --> 00:01:16.280]  掀起全場氣氛
[00:01:16.280 --> 00:01:17.520]  哇 大家一路
[00:01:17.520 --> 00:01:19.520]  因爲那首歌本身很厲害 很多拍子
[00:01:19.520 --> 00:01:21.160]  哇 大家一路拍
[00:01:21.160 --> 00:01:22.800]  我自己一路拍到手累
[00:01:22.800 --> 00:01:25.680]  哇 我明白 爲什麼要跳得這麼厲害
[00:01:25.680 --> 00:01:26.880]  跳足全場
[00:01:26.880 --> 00:01:28.960]  結束之後大家一起喊Encore
[00:01:28.960 --> 00:01:31.600]  其實那裏是唯一一個節目
[00:01:31.600 --> 00:01:34.880]  有些人主動喊Encore
[00:01:34.880 --> 00:01:36.800]  爲什麼會這樣呢
[00:01:36.800 --> 00:01:39.040]  我看着這羣姐妹
[00:01:39.040 --> 00:01:42.440]  我問吳牧師
[00:01:42.440 --> 00:01:44.040]  其實這羣人
[00:01:44.040 --> 00:01:45.680]  他們是不是已經全部
[00:01:45.680 --> 00:01:50.240]  拿着兩塊錢乘車的貴賓
[00:01:50.240 --> 00:01:52.320]  他說 他看一看
[00:01:52.320 --> 00:01:54.240]  有一個差一兩年
[00:01:54.240 --> 00:01:58.840]  其他全部都是貴賓
[00:01:58.840 --> 00:02:02.040]  貴賓可以跳厲害的舞
[00:02:02.040 --> 00:02:03.640]  可以跳得很嗨
[00:02:03.640 --> 00:02:05.120]  可以很活力
[00:02:05.120 --> 00:02:06.480]  可以很有精神
[00:02:06.480 --> 00:02:07.800]  他跳完之後
[00:02:07.800 --> 00:02:08.960]  他比我更有精神
[00:02:08.960 --> 00:02:11.960]  我拍掌都沒有他這麼有精神
[00:02:11.960 --> 00:02:13.600]  人老了
[00:02:13.600 --> 00:02:16.000]  不像我們想象中
[00:02:16.000 --> 00:02:17.560]  一定沒什麼精神
[00:02:17.560 --> 00:02:20.200]  一定什麼都做不到
[00:02:20.200 --> 00:02:21.320]  有些時候我們想
[00:02:21.320 --> 00:02:23.720]  人老了會怎樣
[00:02:23.720 --> 00:02:25.600]  我們有一些想法
[00:02:25.600 --> 00:02:26.640]  很自然
[00:02:26.640 --> 00:02:27.760]  舉例我們想
[00:02:27.760 --> 00:02:31.000]  人老了自然會多病多痛
[00:02:31.000 --> 00:02:32.560]  接受啦
[00:02:32.560 --> 00:02:35.480]  人老了自然記性不好
[00:02:35.480 --> 00:02:37.840]  做事的能力會低了
[00:02:37.840 --> 00:02:39.240]  開始沒用了
[00:02:39.240 --> 00:02:41.120]  接受現實啦
[00:02:41.120 --> 00:02:42.520]  人老了
[00:02:42.520 --> 00:02:44.640]  有些時候可能變得頑固
[00:02:44.640 --> 00:02:46.920]  不是那麼容易變的
[00:02:46.920 --> 00:02:50.520]  你遷就他算了吧
[00:02:50.520 --> 00:02:51.720]  有些時候我們都聽到
[00:02:51.720 --> 00:02:54.240]  人老了越來越像小孩
[00:02:54.240 --> 00:02:55.720]  要哭要哄
[00:02:55.720 --> 00:02:57.320]  言下之意是什麼呢
[00:02:57.320 --> 00:03:01.000]  講道理沒用
[00:03:01.000 --> 00:03:05.360]  哄哄哄哄就算了
[00:03:05.360 --> 00:03:10.440]  人老了只能夠被家人照顧
[00:03:10.440 --> 00:03:15.800]  是一個被照顧的對象
[00:03:15.800 --> 00:03:18.120]  如果大家是被照顧的人
[00:03:18.120 --> 00:03:19.120]  慢慢久了
[00:03:19.120 --> 00:03:22.280]  你心裏面有時候都會胡思亂想
[00:03:22.280 --> 00:03:26.640]  會不會自己成爲別人的父女呢
[00:03:26.640 --> 00:03:31.080]  有時候心裏面都會難過
[00:03:31.080 --> 00:03:35.200]  如果你是85歲的老人家
[00:03:35.200 --> 00:03:37.080]  你又如何呢
[00:03:37.080 --> 00:03:38.000]  我們看一段經文
[00:03:38.000 --> 00:03:42.000]  約書亞紀十四章六到十四節
[00:03:42.000 --> 00:03:43.800]  今天的經文
[00:03:43.800 --> 00:03:46.880]  約書亞紀十四章六到十四節
[00:03:46.880 --> 00:03:47.920]  如果你有拿聖經
[00:03:47.920 --> 00:03:50.360]  或者你自己有聖經的就揭開本聖經
