
[00:00:00.000 --> 00:00:02.500]  大英姐妹,今日是父親節
[00:00:02.500 --> 00:00:04.500]  恭祝大家父親節快樂
[00:00:04.500 --> 00:00:07.400]  在父親節的日子
[00:00:07.400 --> 00:00:09.900]  當然我選了一個題目
[00:00:09.900 --> 00:00:12.200]  是與父親節有關的
[00:00:12.200 --> 00:00:15.200]  今天就一齊思想一個
[00:00:15.200 --> 00:00:16.900]  在聖經當中
[00:00:16.900 --> 00:00:18.300]  可能你平時也看過
[00:00:18.300 --> 00:00:21.500]  但也不太留意的一位人物
[00:00:21.500 --> 00:00:24.800]  我們做一個低愁的禱告
[00:00:24.800 --> 00:00:26.200]  天父,求祢帶領我們
[00:00:26.200 --> 00:00:28.400]  我們將今日的崇拜
[00:00:28.400 --> 00:00:29.600]  交於祢的手中
[00:00:29.600 --> 00:00:31.600]  我們想到在聖經當中
[00:00:31.600 --> 00:00:33.400]  有很多的父親
[00:00:33.400 --> 00:00:38.400]  而祢也稱為天上的父親
[00:00:38.400 --> 00:00:42.200]  父親好像是祢自己的形象
[00:00:42.200 --> 00:00:46.000]  祢想我們去理解
[00:00:46.000 --> 00:00:47.400]  祢是一位怎樣的神
[00:00:47.400 --> 00:00:50.400]  好像從地上的父親當中
[00:00:50.400 --> 00:00:53.000]  我們所經歷到很多
[00:00:53.000 --> 00:00:55.200]  當然是美善一面的父親
[00:00:55.200 --> 00:00:56.600]  其實祢也想我們
[00:00:56.600 --> 00:00:58.600]  從這樣去思想
[00:00:58.600 --> 00:01:00.200]  祢是一位怎樣的父親
[00:01:00.200 --> 00:01:02.800]  但我們也從今日的聖經當中
[00:01:02.800 --> 00:01:05.200]  也看到在地上的父親
[00:01:05.200 --> 00:01:06.800]  實在有很多的不完美
[00:01:06.800 --> 00:01:08.000]  很多的缺陷
[00:01:08.000 --> 00:01:10.800]  而在很多的缺陷當中
[00:01:10.800 --> 00:01:12.800]  似乎神祢自己的心意
[00:01:12.800 --> 00:01:14.000]  也不能夠達成
[00:01:14.000 --> 00:01:15.800]  今天也讓我們去思想的時候
[00:01:15.800 --> 00:01:17.400]  也讓我們自己
[00:01:17.400 --> 00:01:18.600]  如果我們是父親的
[00:01:18.600 --> 00:01:19.600]  有很好的反省
[00:01:19.600 --> 00:01:22.000]  奉上索基督的名祈求
[00:01:22.000 --> 00:01:24.600]  今天我們一齊來思想
[00:01:24.600 --> 00:01:28.600]  一位被揀選的父親
[00:01:28.600 --> 00:01:30.200]  當你看到這個題目的時候
[00:01:30.200 --> 00:01:32.000]  不知道你想起在聖經當中
[00:01:32.000 --> 00:01:34.200]  誰是被揀選的父親
