
[00:00:00.000 --> 00:00:06.000]  丁姐妹,在教會的傳統裏,我們現在進入了章林期
[00:00:06.000 --> 00:00:09.000]  上個禮拜是章林期的第一主日
[00:00:09.000 --> 00:00:14.000]  章林期的意思其實是提醒我們去做好預備
[00:00:14.000 --> 00:00:18.000]  一方面我們會說快要來到聖誕節了
[00:00:18.000 --> 00:00:26.000]  所以我們藉著章林期,我們去預備我們的心去回想去迎接昔日主耶穌基督的誕生
[00:00:26.000 --> 00:00:34.000]  但另一方面,章林期第二個意思是我們不單單去回想昔日主耶穌基督的第一次降臨
[00:00:34.000 --> 00:00:40.000]  我們也要做好預備去迎接主耶穌基督第二次的降臨
[00:00:40.000 --> 00:00:45.000]  在教會傳統裏,在章林期他們也會燃點蠟燭
[00:00:45.000 --> 00:00:49.000]  在第一主日他們所燃點的蠟燭是象徵著盼望
[00:00:49.000 --> 00:00:53.000]  而第二主日的蠟燭是信心
[00:00:53.000 --> 00:00:57.000]  今天我們被稱為章林期的第二主日
[00:00:57.000 --> 00:01:02.000]  所以很想和大家一起去思想關於信心的功課
[00:01:02.000 --> 00:01:05.000]  前一陣子看到一個消息
[00:01:05.000 --> 00:01:10.000]  這個消息是提到在美國有一個宣教士的家庭
[00:01:10.000 --> 00:01:14.000]  他們的夫婦都一起是29歲
[00:01:14.000 --> 00:01:18.000]  他們有三個小孩都很年輕
[00:01:18.000 --> 00:01:22.000]  分別是3歲23個月和2個月
[00:01:22.000 --> 00:01:28.000]  他們全家人一起開車去出席一個宣教士訓練的活動
[00:01:28.000 --> 00:01:32.000]  沒想過在途中他們遇上了嚴重的車禍
[00:01:32.000 --> 00:01:36.000]  結果全家全家罹難
[00:01:36.000 --> 00:01:38.000]  按照他們原來的計劃
[00:01:38.000 --> 00:01:41.000]  這個宣教士的家庭他們接受了訓練之後
[00:01:41.000 --> 00:01:44.000]  他們就會出發去到日本那裏去宣教
[00:01:44.000 --> 00:01:47.000]  我們不認識這個家庭
[00:01:47.000 --> 00:01:50.000]  但當我們聽到一個這樣的消息的時候
[00:01:50.000 --> 00:01:54.000]  我們都會感到很難過很傷痛
[00:01:54.000 --> 00:01:58.000]  或者我們內心可能都會問一些問題
[00:01:58.000 --> 00:02:00.000]  可能我們知道這個問題其實
[00:02:00.000 --> 00:02:03.000]  無論我們怎麼問都是沒有答案的
[00:02:03.000 --> 00:02:07.000]  我們會問上主為什麼
[00:02:07.000 --> 00:02:12.000]  這個問題不是一般意義我們去面對關於苦難的問題
[00:02:12.000 --> 00:02:17.000]  這個問題是更加關乎上主的召命
[00:02:17.000 --> 00:02:22.000]  這對宣教士他們不是領受了上主的召命
[00:02:22.000 --> 00:02:25.000]  他們要出發去到日本那裏去宣教嗎
[00:02:25.000 --> 00:02:28.000]  為什麼他們還沒出發
[00:02:28.000 --> 00:02:30.000]  竟然讓他們整個的家庭
[00:02:30.000 --> 00:02:33.000]  就遇上了一個這麼嚴重的車禍
[00:02:33.000 --> 00:02:36.000]  沒錯我們知道是沒有答案的
[00:02:36.000 --> 00:02:40.000]  但沒有答案不代表我們就默默的去接受
[00:02:40.000 --> 00:02:46.000]  也不代表我們內心存在著各種各樣的疑問或者掙扎
[00:02:46.000 --> 00:02:50.000]  其實仍然是在搗亂著我們自己
[00:02:50.000 --> 00:02:54.000]  為什麼上主為什麼
[00:02:54.000 --> 00:02:56.000]  很多時候我們作為基督徒
[00:02:56.000 --> 00:03:00.000]  我們面對人生各種的遭遇的時候
[00:03:00.000 --> 00:03:03.000]  無論是自己人生的一些際遇
[00:03:03.000 --> 00:03:09.000]  或者是關乎整個群體的一個很重要的安危
[00:03:09.000 --> 00:03:14.000]  外在環境對整個信仰群體的一些迫害
[00:03:14.000 --> 00:03:18.000]  我們都會有很多很多的問題會產生
[00:03:18.000 --> 00:03:23.000]  或者我們可能將它看成為是上帝對我們的試驗
