
[00:00:00.000 --> 00:00:04.000]  多謝師父讓我們先聽神的導議,再跟心慧禱告
[00:00:04.000 --> 00:00:09.000]  第一次為我們聽神的導議,先同心禱告
[00:00:09.000 --> 00:00:11.000]  我是親愛的父神,多謝你
[00:00:11.000 --> 00:00:15.000]  能夠打開你的說話,是我們莫大的福氣
[00:00:15.000 --> 00:00:21.000]  在中國人的農曆年當中,我們年頭不斷地彼此祝賀
[00:00:21.000 --> 00:00:24.000]  能夠活在這個祝福的裏面
[00:00:24.000 --> 00:00:27.000]  但願我們能夠透過你的說話
[00:00:27.000 --> 00:00:31.000]  在你的說話當中,找到真正的福氣
[00:00:31.000 --> 00:00:34.000]  求你的幫助,讓你的靈與我們同在
[00:00:34.000 --> 00:00:39.000]  使我們能夠不單止藉著你愛著耶穌所成就的救恩
[00:00:39.000 --> 00:00:42.000]  作為最重要的根基
[00:00:42.000 --> 00:00:45.000]  更重要的是讓我們能夠更加的神聖
[00:00:45.000 --> 00:00:48.000]  活得像你,求你與我們同在
[00:00:48.000 --> 00:00:50.000]  我親愛的父神,感謝你
[00:00:50.000 --> 00:00:56.000]  在農曆年的時候,我們華人在新的一年
[00:00:56.000 --> 00:00:58.000]  最初我們彼此祝福
[00:00:58.000 --> 00:01:02.000]  就願我們再次有這份福氣,打開你的說話
[00:01:02.000 --> 00:01:06.000]  找到真正的祝福,是從主你的話語當中
[00:01:06.000 --> 00:01:12.000]  求你的幫助,使我們能夠在今年的裏面
[00:01:12.000 --> 00:01:14.000]  我們好好的來到掌握
[00:01:14.000 --> 00:01:18.000]  神裏面帶領我們走這條順利的道路
[00:01:18.000 --> 00:01:22.000]  讓耶穌基督所成就的救恩,藉著聖靈
[00:01:22.000 --> 00:01:26.000]  使我們能夠更加的神聖,活在你和我之上
[00:01:26.000 --> 00:01:30.000]  我向大家奉主耶穌的名求,Amen
[00:01:30.000 --> 00:01:36.000]  在人生當中有很多事情是不由你作主的
[00:01:36.000 --> 00:01:39.000]  在人生當中有很多事情不是由你說了算
[00:01:39.000 --> 00:01:43.000]  但是如果連一些不是你作主的事情
[00:01:43.000 --> 00:01:45.000]  你都要去作主的話呢?
[00:01:45.000 --> 00:01:48.000]  如果這不是由你說了算的時候,你要去作了算嗎?
[00:01:48.000 --> 00:01:53.000]  那其實反映出,特別是信徒里根,我們的生命是不是真的在上帝的裏面呢?
[00:01:53.000 --> 00:01:58.000]  那麼作為一個信徒,就會問你,你的生命是否在上帝裏面呢?
[00:01:58.000 --> 00:02:03.000]  不用說了,最近大家都知道,我們全世界的人
[00:02:03.000 --> 00:02:09.000]  特別是華人當中,我們特別關注一個傳疫的疫症
[00:02:09.000 --> 00:02:16.000]  就是說,特別是近期大家,特別是做法人都很關注這個病毒
[00:02:16.000 --> 00:02:18.000]  這個疫症有個名字
[00:02:18.000 --> 00:02:21.000]  這個症狀有個名字
[00:02:21.000 --> 00:02:28.000]  叫2019COV
[00:02:28.000 --> 00:02:34.000]  簡單來說,是一種新的冠狀病毒
[00:02:34.000 --> 00:02:36.000]  是一種新型的冠狀病毒
[00:02:36.000 --> 00:02:42.000]  很多時候現在全世界的人,全世界的國家
[00:02:42.000 --> 00:02:47.000]  包括第一次發現這個病症的國家
[00:02:47.000 --> 00:02:52.000]  每一個國家的人都出盡力
[00:02:52.000 --> 00:02:57.000]  希望用他們的各式的手段
[00:02:57.000 --> 00:03:01.000]  去扭轉這個疫情
[00:03:01.000 --> 00:03:04.000]  能否呢?
[00:03:04.000 --> 00:03:07.000]  我們還要拭目以待
[00:03:07.000 --> 00:03:13.000]  不過,如果我們想要靠人力改變神的工作呢?
[00:03:13.000 --> 00:03:16.000]  我們靠人力去改變神的工作呢?
[00:03:16.000 --> 00:03:20.000]  那就非常危險了
[00:03:20.000 --> 00:03:22.000]  為什麼?
[00:03:22.000 --> 00:03:24.000]  從我們路德記一開始
