
[00:00:00.000 --> 00:00:02.000]  鄧炳志、梅屏漢
[00:00:02.000 --> 00:00:10.000]  今天也有些周會替代的中大同學在我們中間也向大家問安
[00:00:10.000 --> 00:00:13.000]  希望他們也享受這次的崇拜
[00:00:13.000 --> 00:00:17.000]  今天我還是繼續說詩篇
[00:00:17.000 --> 00:00:22.000]  詩篇八篇就是今天我們啟英的詩篇
[00:00:22.000 --> 00:00:24.000]  可能是我最後一次了
[00:00:24.000 --> 00:00:30.000]  接下來的崇拜可以轉一下其他的經文
[00:00:30.000 --> 00:00:32.000]  或者讓我們開始祈禱
[00:00:32.000 --> 00:00:34.000]  準備我們的心
[00:00:34.000 --> 00:00:40.000]  祝願你使用這篇講章
[00:00:40.000 --> 00:00:44.000]  去幫助弟兄姊妹在生命當中得到造就
[00:00:44.000 --> 00:00:47.000]  又願我口中所講的心所想的
[00:00:47.000 --> 00:00:49.000]  都成為你的話語
[00:00:49.000 --> 00:00:51.000]  成為你的道
[00:00:51.000 --> 00:00:52.000]  去幫助我們
[00:00:52.000 --> 00:00:55.000]  我們這樣禱告是奉主日蘇明哲祈求
[00:00:55.000 --> 00:00:56.000]  阿們
[00:00:56.000 --> 00:01:03.000]  我想詩篇第八篇都是很多弟兄姊妹熟悉又喜歡的詩歌
[00:01:03.000 --> 00:01:06.000]  剛才詩班唱出的一首改編
[00:01:06.000 --> 00:01:08.000]  有很有中國風格的
[00:01:08.000 --> 00:01:12.000]  中國調子風格的詩篇
[00:01:12.000 --> 00:01:16.000]  但是其實詩篇第八篇是講什麼呢?
[00:01:16.000 --> 00:01:21.000]  它的主旨是環繞什麼呢?
[00:01:21.000 --> 00:01:25.000]  詩人究竟探索的是什麼題目呢?
[00:01:25.000 --> 00:01:31.000]  大部分研讀這篇詩的學者或者朋友
[00:01:31.000 --> 00:01:33.000]  都會被中間那句問句
[00:01:33.000 --> 00:01:36.000]  人算什麼你竟顧念他
[00:01:36.000 --> 00:01:39.000]  世人算什麼你竟眷顧他
[00:01:39.000 --> 00:01:42.000]  這句話是被吸引的
[00:01:42.000 --> 00:01:47.000]  不其然就會以為這首詩當然是講人的存在價值
[00:01:47.000 --> 00:01:53.000]  於是就開始講存在哲學、人生困境、存在意義
[00:01:53.000 --> 00:01:56.000]  就變得很哲學
[00:01:56.000 --> 00:02:00.000]  接著第六至八節
[00:02:00.000 --> 00:02:03.000]  你派他管理你手所做的事萬物
[00:02:03.000 --> 00:02:06.000]  就是一切牛羊田野的受空中的鳥海裡的魚飯
[00:02:06.000 --> 00:02:09.000]  經行海盜極都伏在他的腳下
[00:02:09.000 --> 00:02:14.000]  又不其然又在想現代人處於全球暖化
[00:02:14.000 --> 00:02:17.000]  生態危機的困境裡
[00:02:17.000 --> 00:02:23.000]  轉而講這首詩是怎樣講人對大地的互利
[00:02:23.000 --> 00:02:28.000]  人在大自然生態環境中的責任、使命
[00:02:28.000 --> 00:02:32.000]  就變得很環保
[00:02:32.000 --> 00:02:37.000]  但其實這首詩是不是講哲學人的價值
[00:02:37.000 --> 00:02:42.000]  又說講環保人的生態角色呢?
