
[00:00:00.000 --> 00:00:03.000]  能夠和大家分享神的話
[00:00:03.000 --> 00:00:05.000]  的確是一個無比的恩典
[00:00:05.000 --> 00:00:07.000]  是一個福氣
[00:00:07.000 --> 00:00:11.000]  今日和大家去看這段經文的情況的時候
[00:00:11.000 --> 00:00:18.000]  其實是自己帶著一份震驚震撼的心情
[00:00:18.000 --> 00:00:20.000]  本來在提摩太前書裏面
[00:00:20.000 --> 00:00:25.000]  其實鋪陳了很豐富的他自己的體會
[00:00:25.000 --> 00:00:31.000]  特別是他在鼓勵免禮提摩太在牧養上的事情
[00:00:31.000 --> 00:00:33.000]  管理上的事情上
[00:00:33.000 --> 00:00:35.000]  他是用心良苦
[00:00:35.000 --> 00:00:38.000]  情詞懇詞地提醒提摩太
[00:00:38.000 --> 00:00:40.000]  免禮提摩太
[00:00:40.000 --> 00:00:45.000]  很值得我們細心去思考和學習
[00:00:45.000 --> 00:00:51.000]  今日我會透過幾個重點去思考這段經文
[00:00:51.000 --> 00:01:02.000]  在這段經文給我帶來的那種感受和引導的時候
[00:01:02.000 --> 00:01:05.000]  我有三個地方看到
[00:01:05.000 --> 00:01:10.000]  第一個就是作為牧者的時候要面對的挑戰
[00:01:10.000 --> 00:01:13.000]  我們要與時並進
[00:01:13.000 --> 00:01:20.000]  而另一個就是我們要明白我們今天要面對的現實
[00:01:20.000 --> 00:01:23.000]  所以希望今天和大家分享
[00:01:23.000 --> 00:01:27.000]  除了在聖經裏面的一些發現之外
[00:01:27.000 --> 00:01:31.000]  更加是一些生命裏面的分享
[00:01:31.000 --> 00:01:33.000]  我們一起來看這段經文
[00:01:33.000 --> 00:01:37.000]  或者我們一起來同心圖告
[00:01:37.000 --> 00:01:40.000]  請主求求祢的聖靈來引導我們的心
[00:01:40.000 --> 00:01:43.000]  我們進入聖經當中
[00:01:43.000 --> 00:01:48.000]  看到先賢生命裏面的體會
[00:01:48.000 --> 00:01:51.000]  先賢在他的生命當中
[00:01:51.000 --> 00:01:55.000]  上帝的恩典成為我們的鼓勵
[00:01:55.000 --> 00:01:59.000]  讓我們更好的去在生活當中見證主
[00:01:59.000 --> 00:02:00.000]  榮耀主
[00:02:00.000 --> 00:02:02.000]  求主來引導我們的心
[00:02:02.000 --> 00:02:04.000]  求聖靈引導我們的心
[00:02:04.000 --> 00:02:07.000]  去經驗到上主祢給我們的福氣
[00:02:07.000 --> 00:02:09.000]  奉主耶穌基督的聖名祈求
[00:02:09.000 --> 00:02:10.000]  阿們
[00:02:10.000 --> 00:02:16.000]  可能你現在這一刻
[00:02:16.000 --> 00:02:19.000]  在家裏或在其他地方
[00:02:19.000 --> 00:02:22.000]  不知道你這一輪的日子
[00:02:22.000 --> 00:02:25.000]  在家裏是甚麼心情呢
[00:02:25.000 --> 00:02:28.000]  我女兒說了一句有意思的話
[00:02:28.000 --> 00:02:31.000]  宅在家中樂在其中
[00:02:31.000 --> 00:02:33.000]  不知道這是否你的感受
[00:02:33.000 --> 00:02:38.000]  還是說宅在家中一點也不輕鬆
[00:02:38.000 --> 00:02:42.000]  我相信大家都很明白
[00:02:42.000 --> 00:02:44.000]  在最近的日子
[00:02:44.000 --> 00:02:50.000]  甚至有去年的五、六月到現在
[00:02:50.000 --> 00:02:53.000]  無論你情願或不情願
[00:02:53.000 --> 00:02:55.000]  都要留在家裏
[00:02:55.000 --> 00:03:00.000]  甚至可能你細心數一數
[00:03:00.000 --> 00:03:03.000]  沒甚麼日子沒甚麼時刻
[00:03:03.000 --> 00:03:06.000]  我要經常這樣留在家裏
[00:03:06.000 --> 00:03:10.000]  對我來說
[00:03:10.000 --> 00:03:13.000]  這段日子回望過去
[00:03:13.000 --> 00:03:16.000]  好像不知不覺又過去了
[00:03:16.000 --> 00:03:20.000]  究竟在這些日子當中
[00:03:20.000 --> 00:03:22.000]  我們的心情
[00:03:22.000 --> 00:03:26.000]  我們隨著社會的事件
[00:03:26.000 --> 00:03:28.000]  隨著社會的現況
[00:03:28.000 --> 00:03:31.000]  所呈現出來的心情
[00:03:31.000 --> 00:03:33.000]  是怎麼一回事呢
[00:03:33.000 --> 00:03:37.000]  我相信很多人都會起伏不定
[00:03:37.000 --> 00:03:40.000]  在這些起伏不定
[00:03:40.000 --> 00:03:44.000]  幻變多變的現實裏
[00:03:44.000 --> 00:03:47.000]  你是怎樣來面對的呢
[00:03:47.000 --> 00:03:52.000]  會是不斷找很多很多的消息訊息
[00:03:52.000 --> 00:03:55.000]  來掌握來面對
[00:03:55.000 --> 00:03:58.000]  還是說沒人看了
[00:03:58.000 --> 00:04:02.000]  煲劇打機來過日子呢
[00:04:02.000 --> 00:04:08.000]  在這段漫長的留在家裏的日子裏
[00:04:08.000 --> 00:04:11.000]  究竟你有甚麼新的體會
[00:04:11.000 --> 00:04:13.000]  新的發現呢
[00:04:13.000 --> 00:04:20.000]  如果我有問你
[00:04:20.000 --> 00:04:25.000]  你回望過去的日子裏
[00:04:25.000 --> 00:04:30.000]  叫你寫用簡單幾個說話幾個字來形容
