
[00:00:00.000 --> 00:00:05.180]  今天很榮幸能夠坐下來跟大家一起分享神的話語
[00:00:05.180 --> 00:00:09.800]  其實我們香港人應該都比較輕鬆
[00:00:09.800 --> 00:00:12.740]  近來都太過緊張了
[00:00:12.740 --> 00:00:17.800]  由於我們香港都有這樣的局面
[00:00:17.800 --> 00:00:20.240]  所以教會很關注弟兄姊妹
[00:00:20.240 --> 00:00:21.880]  身心靈的需要
[00:00:21.880 --> 00:00:25.800]  因此今天的訊息將會以專題講道的形式進行
[00:00:25.800 --> 00:00:30.560]  自從9月27日政府總部發生衝突
[00:00:30.560 --> 00:00:34.480]  到今天大家有什麼心情
[00:00:34.480 --> 00:00:37.520]  一種心情 兩種心情 三種心情
[00:00:37.520 --> 00:00:39.520]  其實自己都開始搞不定了
[00:00:39.520 --> 00:00:41.720]  我觀察到有八種心情
[00:00:41.720 --> 00:00:44.040]  看看你是否一樣
[00:00:44.040 --> 00:00:47.840]  第一種就是很害怕
[00:00:47.840 --> 00:00:51.840]  現在你在街上或者碰到
[00:00:51.840 --> 00:00:55.040]  明知他的立場跟你不同都不知道該說什麼
[00:00:55.040 --> 00:00:57.760]  因為有一種敵我對立
[00:00:57.760 --> 00:00:59.240]  搞得不懂說話
[00:00:59.240 --> 00:01:01.240]  我們都很害怕這種氣氛
[00:01:01.240 --> 00:01:02.920]  不知道該怎麼做
[00:01:02.920 --> 00:01:05.560]  第二種就是擔心
[00:01:05.560 --> 00:01:10.000]  擔心我們的家人去集會會不會
[00:01:10.000 --> 00:01:12.320]  國安全是怎樣
[00:01:12.320 --> 00:01:15.120]  日後會不會有所影響
[00:01:15.120 --> 00:01:18.600]  甚至年長的人開始會擔心
[00:01:18.600 --> 00:01:21.640]  我媽媽經常跟我說不知道會不會宵禁
[00:01:21.640 --> 00:01:24.640]  宵禁很慘的
[00:01:24.640 --> 00:01:29.960]  甚或總之是
[00:01:29.960 --> 00:01:33.320]  知道這個歷史我們都不想見到六四
[00:01:33.320 --> 00:01:35.320]  會不會重演六四呢
[00:01:35.320 --> 00:01:37.320]  這是我們擔心的
[00:01:37.320 --> 00:01:39.320]  第三種感受就是憤怒
[00:01:39.320 --> 00:01:43.320]  我們見到一些暴力雖然不是親眼見到
[00:01:43.320 --> 00:01:45.320]  但知道都會很憤怒
[00:01:45.320 --> 00:01:47.320]  有沒有搞錯
[00:01:47.320 --> 00:01:49.320]  甚或我們見到統治者
[00:01:49.320 --> 00:01:55.320]  現在坊間常常將矛頭指向統治者製造分化
[00:01:55.320 --> 00:01:57.320]  不知道你認不認同
[00:01:57.320 --> 00:02:01.320]  甚或當中我們不少人
[00:02:01.320 --> 00:02:03.320]  現在每天都體會
[00:02:03.320 --> 00:02:06.320]  那種廣大的市民
[00:02:06.320 --> 00:02:10.320]  現在一起承受僵局的代價和不便
[00:02:10.320 --> 00:02:13.320]  剛才我很欣賞我們有位姊妹
[00:02:13.320 --> 00:02:15.320]  我覺得應該要給她掌聲
[00:02:15.320 --> 00:02:19.320]  她其實要定期去旺角覆診
[00:02:19.320 --> 00:02:22.320]  我跟她聊天的時候
[00:02:22.320 --> 00:02:24.320]  我覺得很厲害
[00:02:24.320 --> 00:02:27.320]  她說希望快點完
[00:02:27.320 --> 00:02:31.320]  其實他們都辛苦的
[00:02:31.320 --> 00:02:32.320]  我沒有所謂
[00:02:32.320 --> 00:02:34.320]  我以前有直接車去
[00:02:34.320 --> 00:02:36.320]  現在搭地鐵
[00:02:36.320 --> 00:02:38.320]  我覺得這種空襟
[00:02:38.320 --> 00:02:40.320]  真是厲害
[00:02:40.320 --> 00:02:42.320]  她應該是見慣大場面
[00:02:42.320 --> 00:02:44.320]  所以這些小事
[00:02:44.320 --> 00:02:47.320]  第四種就是憂愁
[00:02:47.320 --> 00:02:52.320]  我們發覺整個氣氛都很陰沉
[00:02:52.320 --> 00:02:54.320]  不知道搞到什麼時候
[00:02:54.320 --> 00:02:56.320]  第五種就是沮喪
[00:02:56.320 --> 00:02:59.320]  各方用了很大的努力
[00:02:59.320 --> 00:03:01.320]  但好像改變不了一些東西
[00:03:01.320 --> 00:03:05.320]  心裏面好像產生一種無力感
[00:03:05.320 --> 00:03:06.320]  無奈感
[00:03:06.320 --> 00:03:07.320]  無助感
[00:03:07.320 --> 00:03:09.320]  第六就是疲乏
[00:03:09.320 --> 00:03:11.320]  大家有沒有發覺
[00:03:11.320 --> 00:03:13.320]  現在你已經開始不想看新聞
[00:03:13.320 --> 00:03:16.320]  不過又逼不到你不看
[00:03:16.320 --> 00:03:18.320]  因為你隨時那些手機
[00:03:18.320 --> 00:03:20.320]  自己會更新
