
[00:00:00.000 --> 00:00:02.640]  我們今天繼續用彼得前書
[00:00:02.640 --> 00:00:05.160]  四章十二節到十五節
[00:00:05.160 --> 00:00:07.920]  我們從第一世紀教會面對的狀況
[00:00:07.920 --> 00:00:10.800]  彼得如何去面對當時的教會
[00:00:10.800 --> 00:00:13.200]  面對當時的處境
[00:00:13.200 --> 00:00:16.760]  以致我們今天預備我們自己每一個
[00:00:16.760 --> 00:00:21.040]  可以面對將來教會可能面對
[00:00:21.040 --> 00:00:23.520]  在苦難當中的處境
[00:00:23.520 --> 00:00:28.040]  我們今天會一起看四章十二節到十九節
[00:00:28.040 --> 00:00:32.480]  先交代一下彼得前書的背景
[00:00:32.480 --> 00:00:35.120]  大家都記得彼得前書大概寫在
[00:00:35.120 --> 00:00:39.000]  公元六十年的初期
[00:00:39.000 --> 00:00:43.760]  在那段時間當時的海撒皇帝
[00:00:43.760 --> 00:00:46.240]  羅馬軍王就是尼祿王
[00:00:46.240 --> 00:00:48.800]  尼祿王是出名兇殘的
[00:00:48.800 --> 00:00:52.520]  而且他是很逼迫當時的基督徒
[00:00:52.520 --> 00:00:54.120]  甚至有一件事是很出名的
[00:00:54.120 --> 00:00:58.360]  就是尼祿王曾經自己燒了羅馬城
[00:00:58.360 --> 00:01:01.680]  然後將這件事嫁禍給當時的基督徒
[00:01:01.680 --> 00:01:05.040]  以致當時的信徒受到迫害
[00:01:05.040 --> 00:01:07.680]  這件事稍後我們會看到在四章十二節
[00:01:07.680 --> 00:01:11.200]  彼得形容是有火一般的試煉臨到你們
[00:01:11.200 --> 00:01:16.240]  背後很可能指向這件事情
[00:01:16.240 --> 00:01:19.160]  另一方面當時的信徒也面對
[00:01:19.160 --> 00:01:22.200]  軍王崇拜的逼迫
[00:01:22.200 --> 00:01:26.560]  當時很多人都認為羅馬帝國有繁榮盛世
[00:01:26.560 --> 00:01:32.000]  全因羅馬軍王羅馬的海撒領導有方
[00:01:32.000 --> 00:01:34.760]  因為他的能力的緣故
[00:01:34.760 --> 00:01:36.480]  所以在羅馬帝國不同的地方
[00:01:36.480 --> 00:01:41.440]  都有敬拜羅馬軍王的運動
[00:01:41.440 --> 00:01:43.880]  當然對於當時的信徒
[00:01:43.880 --> 00:01:47.320]  信徒只是單單敬拜我們三日的上主
[00:01:47.320 --> 00:01:49.040]  所以對信徒來說
[00:01:49.040 --> 00:01:52.200]  當時是異類奇怪的人
[00:01:52.200 --> 00:01:53.880]  每個人都敬拜羅馬軍王
