
[00:00:00.000 --> 00:00:04.000]  有一位基督徒的女士
[00:00:04.000 --> 00:00:06.000]  她住在隔鄰
[00:00:06.000 --> 00:00:09.000]  是一個反對基督教的人
[00:00:09.000 --> 00:00:11.000]  每天這個基督徒的女士
[00:00:11.000 --> 00:00:13.000]  就來到去禱告
[00:00:13.000 --> 00:00:21.000]  但是這個反對她的人
[00:00:21.000 --> 00:00:24.000]  卻是在她禱告的時候
[00:00:24.000 --> 00:00:26.000]  經常製造噪音
[00:00:26.000 --> 00:00:28.000]  令她難以集中
[00:00:28.000 --> 00:00:34.000]  有一天她聽到基督徒又再祈禱
[00:00:34.000 --> 00:00:37.000]  她就跟這個女士說
[00:00:37.000 --> 00:00:39.000]  為什麼你經常祈禱呢?
[00:00:39.000 --> 00:00:41.000]  其實這個世界沒有神
[00:00:41.000 --> 00:00:42.000]  你不要去祈禱了
[00:00:42.000 --> 00:00:46.000]  不過這位敬虔的姐妹
[00:00:46.000 --> 00:00:48.000]  沒有聽她說
[00:00:48.000 --> 00:00:50.000]  仍然繼續去祈禱
[00:00:50.000 --> 00:00:53.000]  有一天這個姐妹
[00:00:53.000 --> 00:00:58.000]  沒有收入,也沒有食物
[00:00:58.000 --> 00:01:01.000]  她就向神祈禱
[00:01:01.000 --> 00:01:05.000]  神啊,我什麼都沒有了
[00:01:05.000 --> 00:01:08.000]  求祢為我預備這些食物
[00:01:08.000 --> 00:01:12.000]  求祢為我預備這些金錢
[00:01:12.000 --> 00:01:15.000]  誰知道被這個不信耶穌的人
[00:01:15.000 --> 00:01:17.000]  聽到她這樣祈禱
[00:01:17.000 --> 00:01:20.000]  這個不信耶穌的人對自己說
[00:01:20.000 --> 00:01:23.000]  我要給你看到這個世界真的沒有神
[00:01:23.000 --> 00:01:27.000]  她就去了士多買了一些食物
[00:01:27.000 --> 00:01:29.000]  然後買回來放在房門
[00:01:29.000 --> 00:01:31.000]  就敲她的房門
[00:01:31.000 --> 00:01:33.000]  然後她就走開了
[00:01:33.000 --> 00:01:36.000]  這個基督徒一打開房門
[00:01:36.000 --> 00:01:39.000]  發現有一袋食物在她的門口
[00:01:39.000 --> 00:01:43.000]  她就很開心地向神祈禱
[00:01:43.000 --> 00:01:47.000]  神啊,多謝祢為我準備這些食物
[00:01:47.000 --> 00:01:50.000]  當這個基督徒祈禱之後
[00:01:50.000 --> 00:01:55.000]  這個不信主,反對基督教的人就出來
[00:01:55.000 --> 00:01:59.000]  你看看,你知不知道這個食物是誰買給你的
[00:01:59.000 --> 00:02:02.000]  是我買給你的
[00:02:02.000 --> 00:02:05.000]  誰知道這個基督徒聽到這個人這樣說的時候
[00:02:05.000 --> 00:02:07.000]  他更加開心
[00:02:07.000 --> 00:02:10.000]  跳呀跳呀這樣
[00:02:10.000 --> 00:02:13.000]  當他冷靜之後
[00:02:13.000 --> 00:02:15.000]  他就和這個非督徒說
[00:02:15.000 --> 00:02:18.000]  我相信神真是一定預備食物
[00:02:18.000 --> 00:02:21.000]  現在真是為我預備食物
[00:02:21.000 --> 00:02:23.000]  不過我不知道
[00:02:23.000 --> 00:02:28.000]  他竟然要叫你這個魔鬼和我買食物
[00:02:28.000 --> 00:02:33.000]  這個真是出乎意料的驚喜
[00:02:33.000 --> 00:02:39.000]  連魔鬼都在神的手裏成為他的工具
[00:02:39.000 --> 00:02:42.000]  我不知道在你人生裏
[00:02:42.000 --> 00:02:48.000]  你有沒有經歷神出人意外的預備
[00:02:48.000 --> 00:02:52.000]  如果你經歷神出人意外的預備
[00:02:52.000 --> 00:02:57.000]  你會對這位神怎樣去感受
[00:02:57.000 --> 00:03:00.000]  當以色列人回歸
[00:03:00.000 --> 00:03:03.000]  來重建聖殿
[00:03:03.000 --> 00:03:08.000]  從開始這件是不可能發生的事
[00:03:08.000 --> 00:03:13.000]  一個國家亡了國,聖殿拆毀
[00:03:13.000 --> 00:03:20.000]  雖然神應許過他們重修聖殿
[00:03:20.000 --> 00:03:22.000]  重回這個國土
[00:03:22.000 --> 00:03:27.000]  但是怎樣可以出現呢
[00:03:27.000 --> 00:03:30.000]  你想一想中國歷史
[00:03:30.000 --> 00:03:35.000]  有沒有哪個朝代被推翻
[00:03:35.000 --> 00:03:44.000]  能夠朝代的皇帝可以再一次建立王國呢
[00:03:44.000 --> 00:03:48.000]  當你看重建聖殿
[00:03:48.000 --> 00:03:52.000]  其實回歸是不可能的事
[00:03:52.000 --> 00:03:57.000]  如果你看這幅圖片
[00:03:57.000 --> 00:04:00.000]  這幅圖片特別在這裏
[00:04:00.000 --> 00:04:05.000]  當以色列人來到586年
[00:04:05.000 --> 00:04:09.000]  就是尼布格尼沙皇巴比倫
[00:04:09.000 --> 00:04:12.000]  這個皇帝將他們打敗
[00:04:12.000 --> 00:04:15.000]  也將聖殿拆毀
[00:04:15.000 --> 00:04:19.000]  但是這個皇朝過了一段時間
[00:04:19.000 --> 00:04:25.000]  大概幾十年到520年的時候
[00:04:25.000 --> 00:04:30.000]  這個皇國也被底下的古列
[00:04:30.000 --> 00:04:33.000]  是馬代波斯的皇國來取締
[00:04:33.000 --> 00:04:36.000]  成為一個新興起的政權
[00:04:36.000 --> 00:04:40.000]  將巴比倫的皇朝打敗
[00:04:40.000 --> 00:04:45.000]  來到一個新舊交替
[00:04:45.000 --> 00:04:48.000]  改朝換代的時候
[00:04:48.000 --> 00:04:51.000]  就是這個改朝換代
[00:04:51.000 --> 00:04:57.000]  來為以色列人開拓一個新的天地
[00:04:57.000 --> 00:04:59.000]  1948年
[00:04:59.000 --> 00:05:07.000]  我不知道大家有沒有留心這個世界的歷史
[00:05:07.000 --> 00:05:11.000]  當然我不知道不要舉手
[00:05:11.000 --> 00:05:13.000]  記得1948年出生
[00:05:13.000 --> 00:05:22.000]  我不是這個時間看不到見證歷史的一刻
[00:05:22.000 --> 00:05:25.000]  在1948年的時間
[00:05:25.000 --> 00:05:28.000]  5月14日
[00:05:28.000 --> 00:05:35.000]  以色列的總理宣佈他們正式成立以色列國
[00:05:35.000 --> 00:05:39.000]  如果大家了解的
[00:05:39.000 --> 00:05:44.000]  當時以色列已經亡國2500年
