
[00:00:00.000 --> 00:00:03.320]  在剛剛過去的兩個禮拜
[00:00:03.320 --> 00:00:06.080]  就是10月23日
[00:00:06.080 --> 00:00:10.680]  在成浸家我跟大家分享的訊息
[00:00:10.680 --> 00:00:13.560]  就是「作智為人」的訊息
[00:00:13.560 --> 00:00:17.280]  在上個禮拜,在這裡禮拜天的下午
[00:00:17.280 --> 00:00:21.200]  香港浸信會神學院的畢業典禮當中
[00:00:21.200 --> 00:00:26.240]  我宣講了傳道者的言聽行蹤
[00:00:26.240 --> 00:00:29.480]  這兩次都是亞國書的宣講
[00:00:30.360 --> 00:00:32.960]  在今天,我又從另一個角度
[00:00:32.960 --> 00:00:34.520]  又是宣講亞國書
[00:00:34.520 --> 00:00:39.680]  是宣講「智為人」的「萬萬地動怒」
[00:00:39.680 --> 00:00:45.760]  我會跟大家集中在「萬萬地動怒」這方面
[00:00:45.760 --> 00:00:50.800]  我們會再看亞國書第一章的經文
[00:00:50.800 --> 00:00:54.040]  例如第十六節,不知道你們記不記得
[00:00:54.040 --> 00:00:55.440]  希望你們記得
[00:00:56.840 --> 00:01:00.320]  我親愛的弟兄們,不要被欺騙了
[00:01:00.320 --> 00:01:06.000]  各樣美善的恩澤和各樣完美的賞賜
[00:01:06.000 --> 00:01:08.440]  都是從上頭來的
[00:01:08.440 --> 00:01:11.880]  從中光之父那裡降下來的
[00:01:11.880 --> 00:01:16.280]  在他並沒有改變,又沒有轉動的影移
[00:01:16.280 --> 00:01:23.080]  他按自己的旨意,用真理的道,生了我們
[00:01:23.080 --> 00:01:26.720]  使我們在他所做的萬物中
[00:01:27.240 --> 00:01:29.600]  成為初熟的果子
[00:01:29.600 --> 00:01:33.400]  我親愛的弟兄們,你們要明白
[00:01:33.400 --> 00:01:37.400]  你們每一個人要快快地聽
[00:01:37.400 --> 00:01:39.560]  萬萬地說
[00:01:39.560 --> 00:01:41.920]  萬萬地動怒
[00:01:41.920 --> 00:01:46.920]  因為人的怒氣並不能實現神的意
[00:01:46.920 --> 00:01:51.760]  所以你們要除去一切污穢和累積的惡毒
[00:01:52.520 --> 00:01:57.360]  要傳溫柔的心,領受所栽種的道
[00:01:57.360 --> 00:02:01.760]  就是能救你們靈魂的道
[00:02:01.760 --> 00:02:04.040]  我們再次同心禱告
[00:02:04.040 --> 00:02:09.160]  主啊,多謝你給我們剛才在家記傳道的領受訊息
[00:02:09.160 --> 00:02:13.560]  我們跟年輕的小朋友一起領受訊息
[00:02:13.560 --> 00:02:16.000]  如今我們眾弟兄姊妹們
[00:02:16.000 --> 00:02:20.120]  一起吃這個午飯,這個宿命的午飯
[00:02:20.920 --> 00:02:23.880]  求你讓我們弟兄姊妹們看得見,能夠相信
[00:02:23.880 --> 00:02:29.040]  因為有你的話語,有你在我們裡面所栽種的道
[00:02:29.040 --> 00:02:34.480]  我們的生命是滿有自由,滿有力量和喜樂
[00:02:34.480 --> 00:02:37.480]  主,我們仰望你,我們的禱告
[00:02:37.480 --> 00:02:41.200]  是奉主耶穌基督明自求,阿們
[00:02:41.200 --> 00:02:48.800]  今天教會是面對著四方八面來的挑戰
[00:02:49.440 --> 00:02:51.000]  我們都是困擾的
[00:02:51.000 --> 00:02:53.160]  我們面對衝突
[00:02:53.160 --> 00:02:56.120]  一些空談妄語
[00:02:56.120 --> 00:03:00.320]  信仰好像在解體當中
[00:03:00.320 --> 00:03:03.840]  物質主義在興旺
[00:03:03.840 --> 00:03:08.200]  有些人說教會是在瓦解當中
[00:03:08.200 --> 00:03:13.760]  有些人說教會,這個就是最好的時間
[00:03:13.760 --> 00:03:19.160]  無論怎樣我們是需要神,我們需要靈性的生活
