
[00:00:00.000 --> 00:00:02.000]  Thanks妹早晨
[00:00:02.000 --> 00:00:05.500]  很感恩可以跟大家分享上帝的說話
[00:00:05.500 --> 00:00:10.700]  我相信大家都應該知道本身是李文耀牧師來分享訊息
[00:00:10.700 --> 00:00:14.700]  因為他患了COVID 所以我就代替了他來
[00:00:14.700 --> 00:00:19.700]  李文耀牧師是我見到神學院一個好友
[00:00:19.700 --> 00:00:23.200]  亦師亦友 當然他是我師父
[00:00:23.200 --> 00:00:29.200]  我在他身上的學養和他的生命是我追求的目標
[00:00:29.200 --> 00:00:32.200]  不過都應該追不到 不過我盡力去追他
[00:00:32.200 --> 00:00:36.200]  很感恩今天可以來到
[00:00:36.200 --> 00:00:41.200]  我先說一些我可能會有的情況
[00:00:41.200 --> 00:00:47.200]  第一我會喝水 因為我之前患了鼻咽癌
[00:00:47.200 --> 00:00:52.200]  在上年5月31日才做了所有治療
[00:00:52.200 --> 00:00:59.200]  腫瘤已經消除了 因為電療這個位置有點傷害
[00:00:59.200 --> 00:01:04.200]  所以要常常喝水 可能有時我都會坐下
[00:01:04.200 --> 00:01:08.200]  因為我的白血球比你們低很多
[00:01:08.200 --> 00:01:12.200]  你們的指標 我想在座有些醫護人士
[00:01:12.200 --> 00:01:17.200]  中性白血球你們的指標是1.5到3左右
[00:01:17.200 --> 00:01:23.200]  我試過0.1 我都很驚訝為什麼我還能生存
[00:01:23.200 --> 00:01:27.200]  我的醫生都覺得很驚訝 為什麼你不會暈
[00:01:27.200 --> 00:01:31.200]  所以都很有上帝的恩典 今天可以和大家分享上帝的說話
[00:01:31.200 --> 00:01:36.200]  在說到這之前 我和大家先有個禱告
[00:01:36.200 --> 00:01:41.200]  天皇上帝我們獻上感謝 求主你繼續帶領我們
[00:01:41.200 --> 00:01:48.200]  讓我們先預備好自己的心去領受上帝的說話
[00:01:48.200 --> 00:01:53.200]  讓我們一同在你的說話中得到造就 也得到提醒
[00:01:53.200 --> 00:01:56.200]  和教導我們怎樣走人生的路
[00:01:56.200 --> 00:02:02.200]  我們將以下的時間交給主 讓孩子去分享上帝的訊息的時候
[00:02:02.200 --> 00:02:08.200]  存著謙卑的心 禱告是奉靠主耶穌基督 得成名其求 阿們
[00:02:08.200 --> 00:02:12.200]  詩篇23篇我相信大家都很熟悉
[00:02:12.200 --> 00:02:22.200]  其實在原本的希伯來文聖經 詩篇23篇第一句只有這四個字
[00:02:22.200 --> 00:02:25.200]  就是耶和華 目者不缺乏
[00:02:25.200 --> 00:02:28.200]  為什麼我們知道是大衛寫的
[00:02:28.200 --> 00:02:32.200]  為什麼大衛一開始只說這四個字呢
[00:02:32.200 --> 00:02:35.200]  可能都有一點背景
[00:02:35.200 --> 00:02:40.200]  我和大家很宏觀地去看看詩篇 整篇詩篇
[00:02:40.200 --> 00:02:43.200]  整篇詩篇有150篇 我們都知道
[00:02:43.200 --> 00:02:45.200]  也分開了五卷
[00:02:45.200 --> 00:02:49.200]  卷一的部分就是由第一篇到41篇
[00:02:49.200 --> 00:02:54.200]  第一篇和第二篇其實是提綱協領地說了
[00:02:54.200 --> 00:02:59.200]  詩篇其實最想我們知道的是什麼
[00:02:59.200 --> 00:03:01.200]  我想大家都認識第一篇的詩篇
[00:03:01.200 --> 00:03:07.200]  不從惡人的計謀 不站罪人的道路 不坐洩萬人的座位
[00:03:07.200 --> 00:03:13.200]  為喜愛耶和華律法 奏夜思想 只能奏
[00:03:13.200 --> 00:03:17.200]  哇 講福堂的弟兄姊妹很熟悉聖經
[00:03:17.200 --> 00:03:20.200]  原本是有福這個字擺在最前面
[00:03:20.200 --> 00:03:23.200]  有福的人就是不從惡人的計謀
[00:03:23.200 --> 00:03:26.200]  而第二篇最後都是有福做結尾
[00:03:26.200 --> 00:03:28.200]  由第三篇開始
[00:03:28.200 --> 00:03:31.200]  第一第二篇我剛才說了
[00:03:31.200 --> 00:03:32.200]  最想我們做什麼呢
[00:03:32.200 --> 00:03:36.200]  就是奏夜思想 去思想上帝的說話
[00:03:36.200 --> 00:03:38.200]  去遵從上帝的說話
[00:03:38.200 --> 00:03:42.200]  由第三篇 卷一第三篇到41篇
[00:03:42.200 --> 00:03:45.200]  我們開始看到有標題了
[00:03:45.200 --> 00:03:48.200]  有說哪一個去作這些詩篇
[00:03:48.200 --> 00:03:53.200]  而大部分的作者都是大衛寫的
[00:03:53.200 --> 00:03:56.200]  卷一 由第三篇到41篇
[00:03:56.200 --> 00:03:57.200]  大部分都是大衛寫
[00:03:57.200 --> 00:04:00.200]  大衛在什麼情況去寫這些詩篇呢
[00:04:00.200 --> 00:04:07.200]  大部分都是在他求助 在他困難的時候寫的
[00:04:07.200 --> 00:04:14.200]  所以呢 詩篇23篇其實並不是詩情畫意的作品
[00:04:14.200 --> 00:04:16.200]  我們有時候看詩篇23篇
[00:04:16.200 --> 00:04:19.200]  或者唱詩篇23篇的詩歌
[00:04:19.200 --> 00:04:22.200]  就很柔和的那些音調
[00:04:22.200 --> 00:04:26.200]  但其實大衛那時候應該是被人追殺的
[00:04:26.200 --> 00:04:29.200]  應該是被他的兒子 鴨沙龍追殺
[00:04:29.200 --> 00:04:35.200]  或者是被數羅王追殺而寫詩篇23篇
[00:04:35.200 --> 00:04:40.200]  所以第一節那四個字就是大衛最深刻的印象
[00:04:40.200 --> 00:04:44.200]  就是耶和華 目者不缺乏
[00:04:44.200 --> 00:04:48.200]  就是說 再還有沒有人游水試過會淹不親的
[00:04:48.200 --> 00:04:52.200]  魚鱗 你通常不會作一首詩的
[00:04:52.200 --> 00:04:56.200]  你就像彼得那樣快要沉下海
[00:04:56.200 --> 00:05:00.200]  他那句最短的討論就是 主下救我就主下救我
[00:05:00.200 --> 00:05:05.200]  大衛最記得的就是耶和華 目者不缺乏
[00:05:05.200 --> 00:05:09.200]  為什麼呢 我們就去看一看整篇詩篇
[00:05:09.200 --> 00:05:12.200]  總覽一下這六節的聖經其實說什麼
[00:05:12.200 --> 00:05:16.200]  六節的聖經 第一節和第六節都有耶和華出現
[00:05:16.200 --> 00:05:20.200]  彷彿好像在說耶和華開頭會保護我們
[00:05:20.200 --> 00:05:22.200]  最終也會保護我們
[00:05:22.200 --> 00:05:26.200]  也就是說耶和華一生都會保護我們
[00:05:26.200 --> 00:05:30.200]  我們通常說這篇詩篇有兩個意象
[00:05:30.200 --> 00:05:33.200]  第一個意象就在第二節到第四節
[00:05:33.200 --> 00:05:37.200]  第二節說 祂使我躺臥在青草地上
[00:05:37.200 --> 00:05:40.200]  寧可在可安歇的水邊
[00:05:40.200 --> 00:05:44.200]  祂使我的靈魂甦醒 為自己的名引導我走二路
[00:05:44.200 --> 00:05:47.200]  我雖然行過死陰的幽谷 都不怕遭害
[00:05:47.200 --> 00:05:52.200]  因為祢與我同在 祢的象 祢的肝 都安慰我
[00:05:52.200 --> 00:05:57.200]  這個意象是大衛將自己比喻為一隻羊
[00:05:57.200 --> 00:06:01.200]  而耶和華上帝就是那個牧羊人
[00:06:01.200 --> 00:06:05.200]  那個牧羊人就是帶領羊的人物
[00:06:05.200 --> 00:06:09.200]  耶和華就是牧羊人 而大衛自己就是那隻羊
[00:06:09.200 --> 00:06:13.200]  好了 我又要喝下水 我就問下大家問題
[00:06:16.200 --> 00:06:19.200]  你對羊有什麼印象 弟兄姊妹
[00:06:19.200 --> 00:06:22.200]  應該大家都見過羊吧
[00:06:22.200 --> 00:06:24.200]  你對羊有什麼印象
[00:06:24.200 --> 00:06:27.200]  你對牧羊人有什麼印象
[00:06:27.200 --> 00:06:30.200]  我相信大家都有去過旅行
[00:06:30.200 --> 00:06:32.200]  或者香港都有羊
[00:06:32.200 --> 00:06:34.200]  不過我們很少去農莊
[00:06:34.200 --> 00:06:37.200]  如果你去過澳洲 紐西蘭
[00:06:37.200 --> 00:06:40.200]  你坐旅遊巴或車的時候
[00:06:40.200 --> 00:06:43.200]  萬山遍野都是羊
[00:06:43.200 --> 00:06:45.200]  羊毛是什麼顏色
[00:06:45.200 --> 00:06:47.200]  白色
[00:06:47.200 --> 00:06:49.200]  我們通常的印象
[00:06:49.200 --> 00:06:52.200]  對不起 這是小朋友對羊的印象
[00:06:52.200 --> 00:06:56.200]  我們的印象就是羊毛是白色的
[00:06:56.200 --> 00:06:58.200]  不過不是的
