
[00:00:00.000 --> 00:00:03.000]  各位來賓 主禮廳 姐妹平安
[00:00:03.000 --> 00:00:05.000]  感謝主我們今天再有機會
[00:00:05.000 --> 00:00:08.000]  一同去聆聽神的話語
[00:00:08.000 --> 00:00:11.000]  我們會從約書亞記第九章
[00:00:11.000 --> 00:00:14.000]  看到第十章 學習 繼續去學習
[00:00:14.000 --> 00:00:17.000]  同心 跟隨神
[00:00:17.000 --> 00:00:19.000]  我們日常生活當中
[00:00:19.000 --> 00:00:21.000]  都有好像一個競賽一樣
[00:00:21.000 --> 00:00:23.000]  就算我們的娛樂
[00:00:23.000 --> 00:00:25.000]  我們都會看到很多的比賽
[00:00:25.000 --> 00:00:27.000]  三月的期間
[00:00:27.000 --> 00:00:32.000]  校際籃球賽 籃球隊的季後錦標賽
[00:00:32.000 --> 00:00:34.000]  有六十八隊的校隊
[00:00:34.000 --> 00:00:36.000]  都會在這裡爭奪
[00:00:36.000 --> 00:00:39.000]  全國美國第一的殊榮
[00:00:39.000 --> 00:00:44.000]  我們就算我們自己的日常生活當中
[00:00:44.000 --> 00:00:46.000]  我們每天早上起床
[00:00:46.000 --> 00:00:48.000]  都好像打仗一樣
[00:00:48.000 --> 00:00:53.000]  我們會趕快去預備小朋友去上學
[00:00:53.000 --> 00:00:56.000]  又會預備自己讀經靈修的時間
[00:00:56.000 --> 00:00:58.000]  之後我們就會
[00:00:58.000 --> 00:01:00.000]  無論是網上上班
[00:01:00.000 --> 00:01:02.000]  或者是駕車上班都好
[00:01:02.000 --> 00:01:04.000]  我們都好像打衝鋒一樣
[00:01:04.000 --> 00:01:07.000]  時間好像和時間在爭競一樣
[00:01:07.000 --> 00:01:09.000]  就算我們是個人
[00:01:09.000 --> 00:01:11.000]  屬靈層面上面
[00:01:11.000 --> 00:01:13.000]  我們都自己很多時候
[00:01:13.000 --> 00:01:15.000]  會體貼自己的肉體
[00:01:15.000 --> 00:01:17.000]  會有掙扎的時候
[00:01:17.000 --> 00:01:21.000]  又面對社會各樣的時事問題的時候
[00:01:21.000 --> 00:01:24.000]  我們都會遇到很大的掙扎
[00:01:24.000 --> 00:01:27.000]  因為我們基督徒的價值觀
[00:01:27.000 --> 00:01:31.000]  和世界的價值觀是有不同的
[00:01:31.000 --> 00:01:35.000]  無論是對同性戀
[00:01:35.000 --> 00:01:37.000]  或者墮胎的立場上面
[00:01:37.000 --> 00:01:41.000]  我們在非基督徒的朋友面前
[00:01:41.000 --> 00:01:44.000]  都會有時會遇到一些批評
[00:01:44.000 --> 00:01:47.000]  我們的立場都會受到指責
[00:01:47.000 --> 00:01:49.000]  其實在聖經裏面
[00:01:49.000 --> 00:01:52.000]  在摩西五經當中
[00:01:52.000 --> 00:01:55.000]  當以色列盟進入迦南地之前
[00:01:55.000 --> 00:01:59.000]  摩西已經提醒了約書亞和以色列盟
[00:01:59.000 --> 00:02:01.000]  當他們進入迦南地
[00:02:01.000 --> 00:02:04.000]  這個地所犯的罪
[00:02:04.000 --> 00:02:06.000]  是和他們犯罪
[00:02:06.000 --> 00:02:08.000]  和敵黨耶和華神
[00:02:08.000 --> 00:02:12.000]  所以摩西在生命記第二十章
[00:02:12.000 --> 00:02:14.000]  在提醒以色列盟
[00:02:14.000 --> 00:02:16.000]  他們進入迦南地的時候
[00:02:16.000 --> 00:02:20.000]  怎樣才可以繼續去跟隨神呢
[00:02:20.000 --> 00:02:24.000]  他就在二十章第十節提醒他們
[00:02:24.000 --> 00:02:25.000]  開始提醒他們
[00:02:25.000 --> 00:02:29.000]  他們進入迦南地有三個選擇去面對
[00:02:29.000 --> 00:02:31.000]  第一個就是
[00:02:31.000 --> 00:02:35.000]  當他們攻打當地居民所住的城市後
[00:02:35.000 --> 00:02:39.000]  如果當地的居民願意宣告和睦的時候
[00:02:39.000 --> 00:02:40.000]  他們就可以
[00:02:40.000 --> 00:02:43.000]  以色列盟就可以和他們和睦
[00:02:43.000 --> 00:02:46.000]  這班當地的居民
[00:02:46.000 --> 00:02:49.000]  就會成為為以色列盟而效勞
[00:02:49.000 --> 00:02:52.000]  服侍和服侍耶和華神
[00:02:52.000 --> 00:02:54.000]  一同去跟隨耶和華神
[00:02:54.000 --> 00:02:59.000]  如果他們不與以色列盟和好的時候
[00:02:59.000 --> 00:03:01.000]  他們就會和他們打仗
[00:03:01.000 --> 00:03:03.000]  當他們打贏的時候
[00:03:03.000 --> 00:03:04.000]  以色列盟打贏的時候
[00:03:04.000 --> 00:03:08.000]  要殺盡這班敵黨神的人
[00:03:08.000 --> 00:03:09.000]  那些男丁
[00:03:09.000 --> 00:03:15.000]  但是那些婦女兒童和他們的財物
[00:03:15.000 --> 00:03:19.000]  就可以成為以色列盟的略物
[00:03:19.000 --> 00:03:20.000]  成為他們的一份子
[00:03:20.000 --> 00:03:25.000]  就會成為他們的一部分
[00:03:25.000 --> 00:03:29.000]  但是第三個情況就是
[00:03:29.000 --> 00:03:32.000]  耶和華神眼中有六個民族
[00:03:32.000 --> 00:03:34.000]  是犯的罪惡
[00:03:34.000 --> 00:03:41.000]  是遠遠不能夠在以色列盟中存留的
[00:03:41.000 --> 00:03:44.000]  因為會影響以色列盟跟隨耶和華神
[00:03:44.000 --> 00:03:50.000]  所以耶和華神下了一個滅絕令
[00:03:50.000 --> 00:03:57.000]  就是黑人 阿摩利人 加南人 比利時人 希美人和耶布斯人
[00:03:57.000 --> 00:04:01.000]  都要滅絕正盡
