
[00:00:00.000 --> 00:00:01.800]  今天要分享的是說
[00:00:01.800 --> 00:00:05.300]  生命成長必經之路
[00:00:05.300 --> 00:00:10.680]  這是皮奴與樂的經驗
[00:00:10.680 --> 00:00:13.640]  Penuel就是皮奴與樂
[00:00:13.640 --> 00:00:14.940]  你要聽我講
[00:00:14.940 --> 00:00:18.380]  就知道我講什麼了
[00:00:18.380 --> 00:00:22.080]  我一開始會先講一下
[00:00:22.080 --> 00:00:27.000]  我們今年興旺愛的意向跟方向
[00:00:27.000 --> 00:00:31.560]  還有我們凌涼總堂的意向跟方向
[00:00:31.560 --> 00:00:32.760]  就像我說的
[00:00:32.760 --> 00:00:36.440]  我們每一個月的第一個主日
[00:00:36.440 --> 00:00:39.400]  我們是掰餅意向主義
[00:00:39.400 --> 00:00:43.880]  所以我也會分享一下我們的意向
[00:00:43.880 --> 00:00:47.980]  今天那個生命成長必經之路
[00:00:47.980 --> 00:00:52.520]  有的人說這是雅各的畢業考
[00:00:52.520 --> 00:00:58.120]  那麼因為這個人他生來就愛抓
[00:00:58.120 --> 00:00:59.860]  他的名字 Jacob
[00:00:59.860 --> 00:01:02.360]  意思就是抓
[00:01:02.360 --> 00:01:05.900]  他天性也是非常的詭詐
[00:01:05.900 --> 00:01:12.340]  而且他神以詭詐代詭詐的人
[00:01:12.340 --> 00:01:15.780]  神以頑屈代頑屈的人
[00:01:15.780 --> 00:01:20.120]  他被神教訓了二十年
[00:01:20.120 --> 00:01:23.020]  所以我還差得很遠
[00:01:23.020 --> 00:01:27.960]  還有很多需要被扯平的拉直的
[00:01:27.960 --> 00:01:32.500]  最後他以神以人塞教
[00:01:32.500 --> 00:01:35.200]  然後改名叫以色列
[00:01:35.200 --> 00:01:39.840]  結論就是皮奴與樂的經驗
[00:01:39.840 --> 00:01:42.000]  Parallel
[00:01:42.000 --> 00:01:43.540]  好的
[00:01:43.540 --> 00:01:44.740]  讓我們低頭禱告
[00:01:44.740 --> 00:01:49.000]  Above我們感謝你們讚援
[00:01:49.000 --> 00:01:51.620]  求神再一次來高孩子的口
[00:01:51.620 --> 00:01:54.420]  高每一位弟兄姊妹的耳朵
[00:01:54.420 --> 00:01:57.480]  讓我們講的聽的都同德照舊
[00:01:57.480 --> 00:02:00.280]  神你自己使用這個講台
[00:02:00.280 --> 00:02:03.080]  釋放的信息是扎人心的
[00:02:03.080 --> 00:02:06.520]  感謝禱告讚奉主耶穌基督的名
[00:02:06.520 --> 00:02:07.820]  Amen
[00:02:07.820 --> 00:02:10.260]  好的我們來講我們的意向跟方向
[00:02:10.260 --> 00:02:12.300]  或我們教會的目標
[00:02:12.300 --> 00:02:14.560]  因為有的時候
[00:02:14.560 --> 00:02:15.740]  有人問我說
[00:02:15.740 --> 00:02:21.000]  穆斯拉教會的方向是什麼 意向是什麼
[00:02:21.000 --> 00:02:26.820]  其實我們最主要是要仰望神
[00:02:26.820 --> 00:02:31.460]  當然我等一下會再一次把方向講清楚
[00:02:31.460 --> 00:02:34.560]  林亮堂的意向跟方向是什麼呢
[00:02:34.560 --> 00:02:36.860]  如果你看周報
[00:02:36.860 --> 00:02:42.700]  他正面他有敬拜站
[00:02:42.700 --> 00:02:46.060]  Worship Praise 全地轉化
[00:02:46.060 --> 00:02:48.640]  Global Impact
[00:02:48.640 --> 00:02:51.380]  還有一個聖靈更新
[00:02:51.380 --> 00:02:53.880]  Holy Spirit Renewal
[00:02:53.880 --> 00:02:55.880]  還有全人眷顧
[00:02:55.880 --> 00:02:59.140]  叫做Holistic Ministry
[00:02:59.140 --> 00:03:03.220]  那麼這上面講的四樣就是比較老的
[00:03:03.220 --> 00:03:05.860]  我們以前是基督教徒講的
[00:03:05.860 --> 00:03:08.360]  後來呢
